N	2gram	Potebnia_M_1	Vvedenie
1	и т	6	42
2	т д	4	36
3	и в	39	32
4	в том	26	31
5	в этом	15	30
6	том что	16	26
7	может быть	27	26
8	не только	21	22
9	для того	3	21
10	того чтобы	2	20
11	таким образом	13	19
12	то что	10	16
13	потому что	52	15
14	так как	21	15
15	не может	22	14
16	в самом	3	13
17	в нем	20	13
18	о том	2	13
19	со стороны	8	13
20	в их	2	12
21	в его	5	12
22	того что	8	12
23	только в	25	12
24	и не	18	12
25	как на	3	12
26	как мы	2	11
27	в ее	1	11
28	в данном	1	11
29	что такое	1	11
30	языка и	17	10
31	что в	22	10
32	то же	6	9
33	в истории	7	9
34	и как	6	9
35	но в	9	9
36	по себе	10	9
37	между тем	5	9
38	этом смысле	4	9
39	а только	4	8
40	это не	7	8
41	не в	15	8
42	тем не	6	8
43	не менее	6	8
44	филологии и	1	8
45	с другой	7	8
46	именно в	1	8
47	самом деле	1	7
48	вопрос о	4	7
49	но не	8	7
50	все же	6	7
51	было бы	12	7
52	точки зрения	8	7
53	уже и	1	7
54	в применении	2	7
55	можно было	1	7
56	дело с	1	7
57	как нечто	1	7
58	прежде всего	4	7
59	смысле этого	1	7
60	о котором	3	7
61	и это	3	6
62	что история	1	6
63	из этих	4	6
64	как он	1	6
65	его в	1	6
66	с тем	5	6
67	как и	9	6
68	представить себе	3	6
69	вовсе не	5	6
70	в то	4	6
71	же время	4	6
72	тем что	9	6
73	не могут	4	6
74	один из	1	6
75	этот вопрос	2	6
76	и его	5	6
77	истории языка	2	6
78	и даже	4	6
79	до сих	1	6
80	но и	20	6
81	применении к	2	6
82	сих пор	1	6
83	все это	1	6
84	хотя бы	2	6
85	xviii в	2	6
86	одним из	2	5
87	а как	2	5
88	в целом	2	5
89	иное как	2	5
90	с их	1	5
91	так например	3	5
92	и тем	3	5
93	в них	3	5
94	но если	2	5
95	в которых	1	5
96	сказать что	3	5
97	могут быть	9	5
98	с течением	1	5
99	имеет дело	1	5
100	как например	2	5
101	так что	16	5
102	уже в	1	5
103	не есть	10	5
104	т п	4	5
105	что не	10	5
106	на этот	2	5
107	а не	21	5
108	она есть	1	5
109	в течение	2	5
110	как бы	6	5
111	в г	2	5
112	другой стороны	5	5
113	в какой	1	5
114	вместе с	8	5
115	и то	3	4
116	связи между	2	4
117	в чисто	1	4
118	в первом	5	4
119	той же	3	4
120	мы имеем	1	4
121	язык как	7	4
122	что иное	2	4
123	по отношению	13	4
124	независимо от	6	4
125	от этого	1	4
126	уже не	2	4
127	в себе	13	4
128	этот процесс	1	4
129	истории и	1	4
130	должен был	1	4
131	в своей	3	4
132	в котором	1	4
133	по крайней	2	4
134	не имеет	5	4
135	в разных	2	4
136	в каждом	4	4
137	здесь нет	1	4
138	на вопрос	1	4
139	времени и	2	4
140	внимание на	1	4
141	и что	10	4
142	крайней мере	2	4
143	как она	3	4
144	и история	1	4
145	еще не	6	4
146	к делу	1	4
147	что он	1	4
148	и ее	1	4
149	с одной	3	4
150	в виде	1	4
151	одно из	3	4
152	всяком случае	1	4
153	само по	4	4
154	этом отношении	1	4
155	даже и	2	4
156	одной стороны	3	4
157	научного исследования	1	4
158	по мере	6	4
159	еще и	1	4
160	быть названо	3	4
161	видит в	1	4
162	с этой	2	4
163	и для	5	4
164	только что	2	4
165	а в	5	4
166	не что	2	4
167	отношению к	13	4
168	во всяком	3	4
169	и есть	2	3
170	в основании	3	3
171	собственном смысле	1	3
172	как история	1	3
173	в сущности	2	3
174	не вполне	1	3
175	то это	5	3
176	в виду	2	3
177	и на	1	3
178	в различных	1	3
179	в чем	1	3
180	ответ на	1	3
181	сама по	3	3
182	стороны и	2	3
183	хотя и	3	3
184	с понятием	2	3
185	что это	3	3
186	все эти	1	3
187	в этой	3	3
188	в известном	1	3
189	что она	1	3
190	как оно	1	3
191	при этом	6	3
192	если бы	14	3
193	не как	1	3
194	отношений между	3	3
195	на этом	1	3
196	на нее	1	3
197	заключается в	3	3
198	и уже	1	3
199	мы видели	4	3
200	чем в	2	3
201	духовной жизни	2	3
202	нисколько не	2	3
203	в этих	7	3
204	понятно что	1	3
205	есть еще	1	3
206	однако в	4	3
207	тогда когда	9	3
208	дело в	2	3
209	связи с	3	3
210	как будто	2	3
211	в области	1	3
212	в каком	6	3
213	языка в	6	3
214	но все	2	3
215	должен быть	1	3
216	в ней	7	3
