N	3gram	Medvedev_V_1	NovoeSre
1	не может быть	8	4
2	подобно тому как	2	3
3	со всех сторон	1	3
4	не значит что	1	3
5	лицом к лицу	1	3
6	равно как и	4	2
7	в этом смысле	1	2
8	вместе с тем	3	2
9	так же как	1	2
10	с одной стороны	2	2
11	с другой стороны	8	2
12	вопрос о том	1	2
13	ни одна из	1	2
14	в существе своем	1	1
15	по существу своему	1	1
16	то время как	1	1
17	о природе и	1	1
18	в том числе	2	1
19	же как и	1	1
20	как это было	1	1
21	до сих пор	1	1
22	и во всех	1	1
23	и не может	2	1
24	том случае если	1	1
25	в зависимости от	5	1
26	сами по себе	1	1
27	но и в	1	1
28	том числе и	2	1
29	заключает в себе	1	1
30	можно было бы	2	1
31	в том случае	1	1
32	творческий процесс в	1	1
33	в том чтобы	2	1
34	не только в	2	1
35	но она не	1	1
36	как будто бы	1	1
37	не могут быть	1	1
38	не в том	2	1
39	во всяком случае	1	1
40	о том что	3	1
41	в то время	1	1
42	то что в	1	1
43	хотим сказать что	1	1
44	и вместе с	1	1
45	это и есть	3	1
46	та или иная	1	1
47	в этой системе	1	1
48	мы говорим о	1	1
49	в новое время	1	1
50	в том смысле	1	1
51	в том что	5	1
