N	2gram	Losev_Prob_2	Stilisti
1	и в	35	42
2	не только	24	27
3	как бы	4	27
4	прежде всего	11	22
5	хотя бы	12	17
6	то же	5	15
7	но и	16	15
8	и не	37	14
9	не может	13	12
10	может быть	18	12
11	мы уже	3	11
12	как и	5	11
13	точки зрения	2	11
14	отнюдь не	5	10
15	в этом	17	10
16	и как	4	10
17	как мы	5	10
18	мы должны	3	10
19	что мы	14	10
20	мы не	7	9
21	при этом	3	9
22	в то	6	9
23	для того	3	9
24	то что	38	9
25	в ней	2	8
26	все же	8	8
27	в себе	5	8
28	таким образом	4	8
29	тем самым	7	8
30	и это	5	8
31	слово как	1	8
32	с тем	3	8
33	что же	9	8
34	в зависимости	2	7
35	зависимости от	2	7
36	и на	5	7
37	было бы	8	7
38	и тем	4	7
39	так как	7	7
40	никогда не	1	7
41	потому что	13	7
42	того чтобы	2	7
43	ничего не	10	7
44	с его	1	7
45	слов и	1	7
46	только в	14	7
47	и его	1	7
48	мы можем	6	7
49	а не	10	7
50	и от	3	7
51	во всех	2	6
52	мы будем	1	6
53	в этой	9	6
54	но ведь	3	6
55	в нем	1	6
56	не в	2	6
57	или как	2	6
58	в области	6	6
59	когда мы	6	6
60	так и	7	6
61	другими словами	6	6
62	язык и	2	6
63	язык в	1	6
64	и так	1	6
65	в конце	7	6
66	или иной	5	6
67	речи и	1	6
68	той же	2	5
69	уже в	3	5
70	в нашем	3	5
71	что язык	1	5
72	в той	2	5
73	независимо от	2	5
74	и наконец	3	5
75	и с	10	5
76	того или	7	5
77	же мы	2	5
78	и той	4	5
79	тому что	3	5
80	а в	4	5
81	не является	7	5
82	же самое	6	5
83	в его	7	5
84	и следовательно	4	5
85	и является	3	5
86	и их	3	5
87	слова в	1	5
88	вместе с	2	5
89	как это	1	5
90	слова и	4	5
91	или иного	5	5
92	и то	10	4
93	самом деле	4	4
94	или иную	1	4
95	тем же	1	4
96	общения в	1	4
97	слово не	1	4
98	что именно	1	4
99	и к	3	4
100	но в	6	4
101	в самом	5	4
102	что это	1	4
103	так сказать	1	4
104	уже не	8	4
105	всех своих	1	4
106	можно было	5	4
107	в каждом	1	4
108	его в	3	4
109	ту или	1	4
110	и без	5	4
111	самого начала	2	4
112	на него	2	4
113	у нас	18	4
114	его внутренней	1	4
115	но все	2	4
116	к тому	3	4
117	той или	5	4
118	на это	2	4
119	языка и	5	4
120	с самого	3	4
121	если бы	4	4
122	о том	18	4
123	можно сказать	6	4
124	все время	1	4
125	того что	12	4
126	один из	3	4
127	в качестве	2	4
128	если мы	9	4
129	вопроса о	1	4
130	речь и	1	4
131	само собой	1	4
132	были бы	2	4
133	о своей	1	4
134	не просто	11	4
135	а с	1	4
136	в слове	3	4
137	то есть	39	4
138	к своему	1	4
139	не что	3	4
140	все это	4	4
141	не знаем	3	4
142	не существует	6	4
143	бы в	3	4
144	так же	5	4
145	человеческой речи	4	3
146	отношения к	1	3
147	словом и	1	3
148	на самом	4	3
149	и само	2	3
150	еще не	10	3
151	то он	1	3
152	нет и	3	3
153	или иное	2	3
154	перед нами	2	3
155	хотя и	3	3
156	если он	1	3
157	что всякое	2	3
158	их в	4	3
159	языком и	1	3
160	здесь мы	3	3
161	не будет	11	3
162	об этом	2	3
163	лишь в	3	3
164	это не	1	3
165	ведь в	1	3
166	этом мы	1	3
167	не мог	1	3
168	том что	19	3
169	что такое	18	3
170	бы мы	2	3
171	что было	1	3
172	необходимо чтобы	1	3
173	слово и	2	3
174	слова как	3	3
175	связи с	5	3
176	может показаться	1	3
177	чрезвычайно важно	1	3
178	да и	10	3
179	что оно	2	3
180	в виду	8	3
181	но при	2	3
182	то или	3	3
183	роль в	2	3
184	что у	1	3
185	мы в	3	3
186	и здесь	4	3
187	и поэтому	2	3
188	мы ни	2	3
189	то мы	1	3
190	конечно не	2	3
191	только на	9	3
192	в данной	1	3
193	не так	2	3
194	представить себе	4	3
195	в одном	1	3
196	содержание и	1	3
197	но что	1	3
198	от того	1	3
199	что и	2	3
200	и даже	11	3
201	и эта	1	3
202	конце концов	7	3
203	и уже	1	3
204	если не	4	3
205	ни на	1	3
206	в тех	2	3
207	как только	3	3
208	этом случае	7	3
209	в целом	3	3
210	как таковой	4	3
211	но для	1	3
212	тех или	3	3
213	и для	6	3
214	для нас	9	3
215	и все	5	3
216	язык не	2	3
217	но вот	2	3
218	о своем	2	3
219	не знает	3	3
220	сказать что	24	3
221	также и	12	2
222	нас не	3	2
223	что эти	1	2
224	в какой-то	2	2
225	и больше	1	2
226	и этот	3	2
227	от чего	2	2
228	и конечно	2	2
229	мы имеем	1	2
230	вопрос о	3	2
231	нам в	2	2
232	но даже	3	2
233	как не	1	2
234	значением слова	3	2
235	не нужно	3	2
236	между собой	5	2
237	иное как	3	2
238	все больше	1	2
239	но не	4	2
240	знак и	21	2
241	только потому	1	2
242	значение и	8	2
243	только тогда	3	2
244	должны были	3	2
245	в словарях	1	2
246	отношение к	1	2
247	себе и	2	2
248	оно является	2	2
249	форме и	1	2
250	нашего сознания	2	2
251	первый взгляд	1	2
252	как в	1	2
253	и нет	1	2
254	от нашего	1	2
255	которая и	2	2
256	как уже	1	2
257	как таковое	1	2
258	чего же	2	2
259	бы и	7	2
260	представляет собой	2	2
261	все эти	7	2
