N	4gram	Losev_Prob_1	Psycholo
1	заключается в том что	1	7
2	и в самом деле	1	4
3	в то время как	1	2
4	ни в каком случае	3	1
5	одно и то же	1	1
6	и то что мы	1	1
7	не что иное как	2	1
8	во что бы то	1	1
9	то это значит что	1	1
10	каком случае не может	2	1
11	то же самое и	1	1
12	бы то ни стало	1	1
13	свидетельствует о том что	2	1
14	в связи с этим	1	1
15	к тому или иному	1	1
16	и тем не менее	8	1
17	случае не может быть	1	1
18	одного и того же	2	1
19	что бы то ни	1	1
20	имеют ничего общего с	1	1
21	не имеют ничего общего	4	1
22	указывает на то что	3	1
23	в том что все	1	1
24	в каком случае не	2	1
25	если же мы возьмем	1	1
26	образом свидетельствует о том	1	1
27	с тем что в	1	1
28	же самое и в	1	1
29	и до наших дней	1	1
30	так же как и	1	1
31	есть не что иное	2	1
