N	3gram	Tiupa_Anal_2	Problemy
1	с точки зрения	2	9
2	не может быть	1	8
3	по отношению к	4	5
4	то же время	2	5
5	в то же	2	5
6	друг с другом	1	5
7	в самом деле	1	4
8	то есть в	2	4
9	более или менее	1	3
10	как раз и	1	3
11	в отличие от	2	3
12	с самим собою	1	3
13	ведь и сам	1	3
14	с другой стороны	2	3
15	как и в	3	3
16	в системе языка	1	2
17	на себя внимание	3	2
18	и в словах	1	2
19	в этом смысле	2	2
20	сами по себе	1	2
21	но и в	1	2
22	можно было бы	2	2
23	на этот вопрос	1	2
24	в том что	6	2
25	о том что	6	2
26	с оглядкой на	1	2
27	в свое время	1	2
28	о том же	1	2
29	можно сказать что	1	2
30	от автора и	1	2
31	той или иной	3	2
32	в этих случаях	1	2
33	в отношении к	1	2
34	сама по себе	1	2
35	выходят за пределы	1	2
36	с самим собой	1	2
37	изо всей силы	1	1
38	если бы он	1	1
39	противопоставлены в произведении	1	1
40	прежде всего в	1	1
41	одним и тем	1	1
42	и даже не	1	1
43	определенных языковых стилей	1	1
44	те же самые	1	1
45	а между тем	1	1
46	в этом случае	4	1
47	они сопоставлены или	1	1
48	с установкой на	1	1
49	и там и	1	1
50	и во всех	1	1
51	хотя бы и	1	1
52	под каким диалогическим	1	1
53	наличии определенных языковых	1	1
54	каким диалогическим углом	1	1
55	героя с самим	1	1
56	между тем как	1	1
57	в самом наличии	1	1
58	одно и то	1	1
59	ибо и в	1	1
60	в значительной степени	2	1
61	не совпадает с	1	1
62	в том или	2	1
63	не в самом	1	1
64	в данном случае	5	1
65	и тем же	1	1
66	в том под	1	1
67	стилей социальных диалектов	1	1
68	с одной стороны	4	1
69	и то же	1	1
70	а как бы	1	1
71	как один из	1	1
72	как мы это	1	1
73	до некоторой степени	1	1
74	так или иначе	1	1
75	времени как бы	1	1
76	в связи с	1	1
77	словам того же	1	1
78	языковых стилей социальных	1	1
79	к тому же	4	1
80	а затем и	1	1
81	внешней и внутренней	1	1
82	как бы не	1	1
83	том под каким	1	1
84	о себе не	1	1
85	из того же	1	1
86	сопоставлены или противопоставлены	1	1
87	или противопоставлены в	1	1
88	но и на	1	1
89	другой стороны и	1	1
90	не только в	2	1
91	и не знает	1	1
92	самом наличии определенных	1	1
93	к тому что	1	1
94	углом они сопоставлены	1	1
95	не о том	1	1
96	дело не в	1	1
97	никак не может	1	1
98	диалогическим углом они	1	1
