N	3gram	Tiupa_Narr_2	OGranits
1	с точки зрения	2	5
2	не может быть	2	4
3	по отношению к	5	3
4	что иное как	1	2
5	в самом деле	1	2
6	в зависимости от	1	2
7	в данном случае	6	2
8	с одной стороны	5	2
9	того или иного	3	2
10	есть не что	1	2
11	не что иное	1	2
12	в том что	8	2
13	сказал что они	1	1
14	в чем же	1	1
15	этой точки зрения	1	1
16	иметь в виду	1	1
17	более или менее	1	1
18	в которых он	1	1
19	на самом деле	2	1
20	подобно тому как	2	1
21	то же самое	1	1
22	как это обычно	1	1
23	и не может	2	1
24	в отличие от	5	1
25	не может иметь	1	1
26	в этом отношении	3	1
27	следует иметь в	1	1
28	можно было бы	1	1
29	с этой точки	1	1
30	которым можно было	1	1
31	для того чтобы	1	1
32	так же как	2	1
33	далеко не всегда	1	1
34	но в действительности	1	1
35	если говорить о	1	1
36	состоит в том	4	1
37	а также и	1	1
38	не входит в	1	1
39	тем не менее	4	1
40	в связи с	1	1
41	все то что	2	1
42	то же время	3	1
43	что в ней	1	1
44	собственно говоря и	1	1
45	в конечном счете	3	1
46	в то же	3	1
47	к тому что	3	1
48	тому что он	2	1
