N	3gram	Berdyaev_O_1	StatiiOP
1	в том что	1	17
2	о том что	1	11
3	для того чтобы	3	10
4	в этом отношении	1	7
5	во всяком случае	1	6
6	в самом деле	1	5
7	не может быть	2	5
8	на то что	1	4
9	том что в	1	3
10	и в этом	2	3
11	и в самом	1	3
12	и в том	1	2
13	в иных случаях	1	2
14	но и в	2	2
15	и то что	1	2
16	а иногда и	1	2
17	не в том	1	2
18	то что в	1	2
19	он должен был	1	2
20	нужно искать не	2	2
21	как и в	1	2
22	в другом месте	1	1
23	никогда не было	2	1
24	том-то и дело	1	1
25	и дело что	1	1
26	а не в	2	1
27	это бы еще	1	1
28	должен был бы	1	1
29	влагает в уста	1	1
30	вовсе не так	1	1
31	в том случае	1	1
32	о том как	1	1
33	как будто бы	1	1
34	а вовсе не	1	1
35	что же это	2	1
36	имею в виду	1	1
37	в россии в	1	1
38	не могут и	1	1
39	даже и в	1	1
40	смысле этого слова	1	1
41	я имею в	1	1
42	в том-то и	1	1
43	и никогда не	2	1
44	и не может	1	1
45	отличается от всех	1	1
46	же это за	2	1
47	потому что ведь	1	1
48	в каждом из	1	1
49	после того как	1	1
50	и не в	1	1
51	он не только	1	1
