N	3gram	Nazirov_Vr_1	Psycholo
1	в том что	2	12
2	о том что	1	10
3	на то что	1	6
4	что в нем	1	5
5	с точки зрения	2	4
6	как раз в	2	4
7	точно так же	1	3
8	и что в	2	3
9	так же как	1	3
10	в конце концов	1	3
11	и в этом	1	3
12	во всяком случае	1	3
13	шаг за шагом	1	3
14	заключается в том	1	3
15	это и есть	1	3
16	до сих пор	1	3
17	это не просто	1	3
18	о том как	1	2
19	в это время	1	2
20	что в этой	1	2
21	и что он	1	2
22	с другой стороны	1	2
23	в то время	1	2
24	что в ней	1	2
25	не только не	1	2
26	и в самом	1	2
27	речь идет о	1	2
28	записи в дневнике	1	2
29	это то что	1	1
30	равно как и	1	1
31	в той же	1	1
32	в третий раз	1	1
33	не было бы	1	1
34	то же время	4	1
35	и не может	1	1
36	во второй раз	1	1
37	на первый взгляд	1	1
38	и в то	1	1
39	а с другой	1	1
40	в свою очередь	1	1
41	в этой сцене	1	1
42	мы знаем о	1	1
43	как бы в	1	1
44	у него в	1	1
45	не может быть	2	1
46	но об этом	1	1
47	имел в виду	3	1
48	не забудем что	1	1
49	и никогда не	1	1
50	которых не было	1	1
51	уже в конце	1	1
52	они как бы	1	1
53	в этом смысле	1	1
54	в то же	4	1
55	в каком направлении	1	1
56	но в этом	1	1
57	в глубине души	1	1
