N	3gram	Ircho_Kome_2	NovoeSre
1	не может быть	1	4
2	в наше время	1	3
3	в этом смысле	2	2
4	что в нем	1	2
5	вместе с тем	4	2
6	с одной стороны	2	2
7	с другой стороны	1	2
8	я думаю что	1	1
9	между небом и	1	1
10	только потому что	2	1
11	прежде всего они	1	1
12	по существу своему	1	1
13	то время как	2	1
14	в том числе	3	1
15	а не для	1	1
16	как это было	1	1
17	до сих пор	2	1
18	и во всех	1	1
19	том случае если	1	1
20	в отличие от	2	1
21	о том чтобы	1	1
22	наряду с этим	1	1
23	но и в	1	1
24	том числе и	1	1
25	можно было бы	2	1
26	в том случае	1	1
27	не только в	1	1
28	как будто бы	1	1
29	то что он	2	1
30	в нем не	2	1
31	во всяком случае	2	1
32	может быть сам	1	1
33	о том что	4	1
34	в то время	3	1
35	то что в	1	1
36	всякое значение для	1	1
37	в большинстве случаев	1	1
38	и не менее	1	1
39	в том что	5	1
