N	2gram	Berdyaev_N_1	UchenyiS
1	и в	16	14
2	а не	17	10
3	не только	5	10
4	и не	11	8
5	прежде всего	4	8
6	в этом	7	7
7	вот почему	2	7
8	не может	16	7
9	то что	4	7
10	может быть	7	6
11	и только	1	5
12	все это	5	5
13	перестает быть	4	5
14	хотя бы	2	5
15	что такое	3	4
16	с другой	3	4
17	конечно не	3	4
18	но и	3	4
19	в этой	1	4
20	в россии	3	4
21	у нас	1	3
22	в своей	3	3
23	в то	2	3
24	и формы	2	3
25	для этого	2	3
26	другой стороны	2	3
27	в области	1	3
28	но в	2	3
29	было бы	1	3
30	это не	4	3
31	как и	7	3
32	не столько	1	2
33	и через	1	2
34	для всех	1	2
35	в себе	2	2
36	и с	2	2
37	не случайно	1	2
38	по себе	1	2
39	все они	2	2
40	но не	2	2
41	с его	6	2
42	по существу	2	2
43	и у	1	2
44	этом смысле	2	2
45	тем что	1	2
46	и для	4	2
47	превращается в	1	2
48	вопроса о	1	2
49	что она	2	2
50	это было	3	2
51	что он	1	2
52	что все	2	2
53	формы и	2	2
54	должна быть	3	2
55	в том	8	2
56	только в	1	2
57	это уже	1	2
58	в его	1	2
59	сих пор	1	2
60	могут быть	2	2
61	что мы	1	2
62	не в	6	2
63	в самом	1	2
64	мы не	2	2
65	в конце	1	2
66	но это	6	2
67	не есть	3	2
68	том что	2	2
69	не могут	1	2
70	до сих	1	2
71	и что	2	1
72	в которой	1	1
73	он не	8	1
74	не ставит	2	1
75	переходит в	1	1
76	приводит к	1	1
77	все что	1	1
78	в значительной	1	1
79	с тем	3	1
80	он может	1	1
81	это значит	1	1
82	этого конечно	1	1
83	обращение к	2	1
84	споров о	1	1
85	в виду	1	1
86	в известном	1	1
87	этого не	1	1
88	же как	2	1
89	но тут	1	1
90	природе и	2	1
91	тут мы	1	1
92	в период	1	1
93	можно сказать	1	1
94	изжит и	1	1
95	она не	3	1
96	себя на	1	1
97	но он	1	1
98	сказать что	3	1
99	о том	4	1
100	не существует	3	1
101	было и	1	1
102	и потому	4	1
103	только для	1	1
104	и бессодержательной	1	1
105	и быть	1	1
106	и вся	1	1
107	равно как	2	1
108	всего что	1	1
109	что в	9	1
110	механическое сцепление	1	1
111	а это	1	1
112	для себя	1	1
113	как на	1	1
114	от вопроса	1	1
115	и техники	1	1
116	с одной	2	1
117	должно быть	4	1
118	в этот	1	1
119	уже не	2	1
120	так много	1	1
121	так и	2	1
122	быть не	1	1
123	последние годы	1	1
124	человека и	3	1
125	вверх ногами	1	1
126	себе нового	1	1
127	но если	1	1
128	если нет	2	1
129	в той	1	1
130	нет и	2	1
131	и все	4	1
132	и это	2	1
133	отказаться от	1	1
134	не было	4	1
135	одной стороны	2	1
136	нужно будет	1	1
137	никогда не	6	1
138	он в	1	1
139	и даже	2	1
140	приобретает характер	1	1
141	в котором	1	1
142	быть в	2	1
143	к лицу	3	1
144	и истории	1	1
145	у него	2	1
146	и возвращается	1	1
147	за пределы	3	1
148	в нем	5	1
149	что этот	1	1
150	в ней	5	1
151	все в	1	1
152	реакцией против	2	1
153	слова а	1	1
154	гораздо больше	1	1
155	была уже	1	1
156	но также	1	1
157	она должна	1	1
158	он и	1	1
159	смысле и	1	1
160	не для	1	1
161	их в	1	1
162	в последние	1	1
163	и формального	1	1
164	но для	2	1
165	в своем	1	1
166	не значит	3	1
167	к созданию	2	1
168	нам далеко	1	1
