N	2gram	Propp_Isto_7	ViktorSh
1	в книге	1	3
2	и в	24	2
3	том что	10	2
4	в том	7	2
5	в конце	3	2
6	ничуть не	1	1
7	и только	1	1
8	тем более	2	1
9	здесь достаточно	1	1
10	все дело	2	1
11	под влиянием	1	1
12	в другом	1	1
13	хотя бы	1	1
14	и не	4	1
15	и его	3	1
16	потому что	9	1
17	я не	1	1
18	сводится к	1	1
19	один пример	1	1
20	и то	1	1
21	же с	1	1
22	самом деле	1	1
23	другом месте	1	1
24	все это	8	1
25	совершенно ясно	4	1
26	именно в	1	1
27	этом и	2	1
28	по своим	3	1
29	чего не	1	1
30	в их	4	1
31	то чего	1	1
32	дело в	1	1
33	в частности	1	1
34	так в	4	1
35	уже известно	1	1
36	стоит на	1	1
37	в которых	1	1
38	не играет	1	1
39	в самом	2	1
40	только в	6	1
41	роли не	1	1
42	то же	8	1
43	на заре	1	1
44	ясно что	1	1
45	так как	8	1
46	далеко не	1	1
47	но это	3	1
48	в этом	12	1
49	имеется в	2	1
50	а только	1	1
51	по существу	4	1
52	к этому	2	1
