N	2gram	Losev_Vlad_2	Literetu
1	не только	12	24
2	при этом	5	19
3	в качестве	1	17
4	но и	8	17
5	а не	7	16
6	в том	18	16
7	в частности	2	15
8	том что	12	14
9	в году	24	13
10	может быть	7	13
11	и не	18	12
12	в этом	20	12
13	прежде всего	6	11
14	своего рода	1	11
15	в своем	8	11
16	то что	20	10
17	такого рода	2	10
18	в русской	1	10
19	или иначе	3	9
20	не в	9	8
21	как это	7	8
22	в целом	4	8
23	только в	6	8
24	и в	30	8
25	так или	3	8
26	в себе	6	7
27	как бы	5	7
28	не менее	7	7
29	я и	2	7
30	в его	11	7
31	уже не	3	7
32	я не	4	7
33	как и	5	6
34	связи с	8	6
35	в жизни	1	6
36	точки зрения	7	6
37	то есть	7	6
38	и я	5	6
39	того что	5	6
40	и сам	2	6
41	xix века	1	6
42	себя в	2	6
43	одним из	1	5
44	же время	3	5
45	не может	9	5
46	для себя	5	5
47	же в	2	5
48	то же	4	5
49	в отличие	3	5
50	отличие от	3	5
51	в то	9	5
52	с этой	4	5
53	я в	3	5
54	не столько	3	5
55	казалось бы	2	5
56	с его	4	5
57	а также	10	5
58	как в	3	5
59	что он	13	5
60	уже в	3	5
61	в данном	3	5
62	все же	9	4
63	еще не	1	4
64	данном случае	2	4
65	в связи	8	4
66	так и	5	4
67	по преимуществу	1	4
68	в конце	13	4
69	в своей	5	4
70	для этого	1	4
71	но не	3	4
72	это не	2	4
73	никогда не	7	4
74	и его	6	4
75	лишь в	1	4
76	со стороны	4	4
77	в стихотворении	2	4
78	друг друга	2	4
79	в этой	4	4
80	с собой	1	4
81	в своих	2	4
82	и тем	1	4
83	как раз	1	4
84	из них	1	4
85	еще в	2	4
86	во всяком	6	3
87	тех же	1	3
88	жизни и	6	3
89	еще и	6	3
90	не было	10	3
91	таким образом	3	3
92	например в	1	3
93	этом в	1	3
94	и есть	2	3
95	ли не	1	3
96	а в	11	3
97	его в	4	3
98	сводится к	1	3
99	что в	12	3
100	при всем	1	3
101	потому что	9	3
102	более чем	1	3
103	и даже	10	3
104	на рубеже	1	3
105	и прежде	2	3
106	в душе	1	3
107	несмотря на	4	3
108	что его	4	3
109	да и	3	3
110	же и	2	3
111	в их	2	3
112	и др	1	3
113	дело в	3	3
114	же году	2	3
115	у него	19	3
116	том же	3	3
117	в самом	2	3
118	далеко не	1	3
119	не мог	8	3
120	также и	6	3
121	но в	8	3
122	той же	4	3
123	в области	3	3
124	такие как	1	3
125	свое собственное	1	3
126	в виду	2	3
127	он и	3	3
128	все эти	5	2
129	и того	1	2
130	поэзии и	1	2
131	свое одиночество	1	2
132	в столь	1	2
133	же это	2	2
134	так называемого	1	2
135	бы на	1	2
136	не исключают	1	2
137	мир и	1	2
138	того же	5	2
139	на том	1	2
140	жизни с	2	2
141	для своего	1	2
142	ко всему	4	2
143	было у	2	2
144	человеческого духа	1	2
145	себе в	2	2
146	о своем	2	2
147	не к	1	2
148	и является	1	2
149	для них	1	2
150	здесь как	1	2
151	не говоря	3	2
152	то он	1	2
153	и м	1	2
154	в сознании	1	2
155	говоря уже	2	2
156	в нем	4	2
157	даже в	2	2
158	хотя бы	3	2
159	освобождения от	1	2
160	дело не	1	2
161	та же	1	2
162	что я	3	2
163	а только	1	2
