N	2gram	Losev_Dial_2	StatiiOP
1	и в	19	44
2	в том	14	36
3	и т	17	30
4	что в	7	30
5	том что	10	29
6	в этом	8	21
7	т д	15	21
8	вовсе не	13	19
9	не только	19	18
10	то что	14	18
11	было бы	3	17
12	о том	5	17
13	а в	4	17
14	а не	16	16
15	и не	30	16
16	может быть	20	15
17	т е	30	15
18	в области	2	14
19	в данном	3	14
20	как в	2	13
21	не в	8	12
22	самом деле	4	11
23	в этой	3	11
24	я думаю	1	11
25	точки зрения	12	11
26	но в	2	10
27	ясно что	4	10
28	что он	6	10
29	только в	5	10
30	но и	12	10
31	также и	2	9
32	как и	10	9
33	в то	6	9
34	так и	10	9
35	того что	6	9
36	в его	1	9
37	т п	2	9
38	с другой	5	9
39	например в	2	8
40	во всех	2	8
41	все же	4	8
42	но ведь	2	8
43	это не	10	8
44	из них	3	8
45	с точки	8	8
46	у пушкина	2	8
47	и его	5	8
48	не может	9	8
49	на эти	1	7
50	я не	6	7
51	что они	6	7
52	в самом	5	7
53	таким образом	4	7
54	другой стороны	4	7
55	этом отношении	1	7
56	до сих	2	7
57	прежде всего	8	7
58	сих пор	2	7
59	сказать что	10	7
60	на самом	2	6
61	из этих	1	6
62	в своей	8	6
63	потому что	14	6
64	данном случае	2	6
65	что и	5	6
66	всяком случае	2	6
67	так что	7	6
68	именно в	2	6
69	в той	3	6
70	что же	2	6
71	но это	7	6
72	хотя бы	4	6
73	во всяком	2	6
74	и то	7	5
75	то же	12	5
76	уже о	2	5
77	в целом	1	5
78	все эти	2	5
79	в нем	10	5
80	и по	4	5
81	в котором	1	5
82	не менее	3	5
83	никогда не	9	5
84	могут быть	4	5
85	думаю что	3	5
86	мне кажется	1	5
87	так как	14	5
88	тем что	2	5
89	и даже	14	5
90	несколько примеров	1	5
91	там где	1	5
92	что мы	2	5
93	все это	4	5
94	была бы	3	5
95	совершенно не	7	5
96	жизни и	6	5
97	так же	2	5
98	речь идет	1	4
99	как это	7	4
100	это и	3	4
101	в которой	2	4
102	вопрос о	3	4
103	в основу	1	4
104	в новом	1	4
105	бы и	2	4
106	что это	10	4
107	на то	1	4
108	что она	14	4
109	является не	1	4
110	но все	2	4
111	но я	3	4
112	но если	1	4
113	том как	2	4
114	и сейчас	1	4
115	случае в	1	4
116	времени не	1	4
117	и очень	1	4
118	можно ли	3	4
119	дело не	2	4
120	не имеет	1	4
121	же время	5	4
122	это слово	1	4
123	как будто	7	4
124	том отношении	1	4
125	в ее	4	4
126	что у	2	4
127	и что	5	4
128	заключается в	4	4
129	же и	9	4
130	мы находим	3	4
131	как раз	5	4
132	не было	3	4
133	даже не	1	4
134	к которому	1	4
135	в частности	2	4
136	как бы	14	4
137	тем более	1	4
138	или иного	1	4
139	того или	2	4
140	это в	1	4
141	гораздо более	1	4
142	же как	3	3
143	я уже	2	3
144	того же	1	3
145	тем же	2	3
146	должна быть	5	3
147	то это	2	3
148	в ней	2	3
149	еще не	4	3
150	он был	1	3
151	в чем	3	3
152	из двух	1	3
153	но не	6	3
154	не все	1	3
155	или иное	4	3
156	к сожалению	2	3
157	и я	2	3
158	в истории	2	3
159	общего с	1	3
160	с этим	3	3
161	что касается	1	3
162	это просто	1	3
163	то в	1	3
164	это можно	1	3
165	во многих	1	3
166	в чужую	1	3
167	задний план	1	3
168	ведь и	1	3
169	не значит	3	3
170	же это	4	3
171	в каждом	2	3
172	связанные с	1	3
173	за то	1	3
174	в другом	4	3
175	и с	5	3
176	и тем	1	3
177	даже в	3	3
178	ни в	10	3
179	чем в	1	3
180	что не	6	3
181	тому что	2	3
182	во время	2	3
183	в конце	2	3
184	не по	2	3
185	в основе	1	3
186	в каком	4	3
187	должны быть	3	3
188	что оно	4	3
189	должен быть	1	3
190	то или	4	3
191	об этом	3	3
192	и вообще	6	3
193	внимание на	1	3
194	тем или	2	3
195	между тем	2	3
196	и только	4	3
197	значит что	12	3
198	но с	1	3
199	в какой	2	3
200	с одной	2	3
201	если это	1	3
202	в виде	2	3
203	ни с	4	3
204	в очень	2	3
205	а именно	5	3
206	говорит о	1	3
207	в тех	2	3
208	да и	6	3
209	эти вопросы	3	3
210	с этой	1	3
211	видно что	1	3
212	вопрос в	1	3
213	не существует	1	3
214	в результате	2	3
215	или иным	2	3
216	будто бы	3	3
217	пушкина а	1	3
218	в таком	4	3
219	е как	1	2
220	мере в	2	2
221	по его	1	2
222	мы имеем	3	2
223	мы не	1	2
224	не была	1	2
225	в сущности	2	2
226	время как	7	2
227	литературы и	1	2
228	быть в	4	2
229	совсем не	1	2
230	евгений онегин	1	2
231	за пределы	4	2
232	идет о	1	2
233	в своем	4	2
234	есть в	2	2
235	в каком-то	4	2
236	от этого	3	2
