N	2gram	Berdyaev_V_1	Tvorches
1	и в	16	21
2	как бы	5	17
3	то же	1	13
4	в его	4	13
5	то есть	1	12
6	как и	4	12
7	что в	3	12
8	с его	3	11
9	том что	2	11
10	все это	5	10
11	как в	1	8
12	то что	9	8
13	и на	1	7
14	но в	3	7
15	не только	2	7
16	у него	1	7
17	и не	20	7
18	в том	3	7
19	в этом	4	6
20	человека в	1	6
21	в котором	4	6
22	и все	4	6
23	что он	4	6
24	для него	2	6
25	а в	2	6
26	жизни в	1	6
27	все же	1	5
28	в этой	1	5
29	вовсе не	1	5
30	в своих	1	5
31	потому что	4	5
32	только в	2	5
33	может быть	1	5
34	а не	7	5
35	но это	3	5
36	хотя бы	3	5
37	человека и	6	4
38	не имеют	1	4
39	в своем	1	4
40	в целом	1	4
41	в человеке	1	4
42	это не	2	4
43	в своей	3	4
44	не случайно	1	4
45	в мире	5	4
46	прежде всего	2	4
47	и от	1	4
48	один из	2	4
49	о свободе	2	3
50	и т	2	3
51	я не	1	3
52	не был	1	3
53	что я	3	3
54	хотя и	5	3
55	в самом	1	3
56	в нем	4	3
57	на земле	7	3
58	и по	1	3
59	что все	4	3
60	и с	1	3
61	своей личности	1	3
62	в их	1	3
63	не по	1	3
64	никогда не	3	3
65	вот почему	2	3
66	и другие	1	3
67	с ним	2	3
68	добра и	4	3
69	того что	5	3
70	уже не	2	3
71	уже в	1	3
72	в виде	1	3
73	говорит о	1	3
74	не так	2	3
75	так как	9	3
76	в которой	1	3
77	с другой	1	3
78	но и	5	3
79	что человек	1	3
80	к человеку	1	3
81	но не	2	3
82	он говорит	1	3
83	для человека	2	3
84	не существует	1	3
85	это как	1	3
86	жизни и	3	3
87	ее в	2	3
88	это в	1	3
89	так же	1	3
90	человеческой души	1	2
91	есть не	1	2
92	но она	1	2
93	кто же	1	2
94	в ней	4	2
95	людей в	3	2
96	во имя	32	2
97	в чем	3	2
98	если в	1	2
99	говорит что	1	2
100	бога есть	1	2
101	от людей	1	2
102	не будет	2	2
103	и тем	1	2
104	свежего воздуха	1	2
105	когда я	2	2
106	ведет к	1	2
107	бога и	5	2
108	в этих	3	2
109	но христос	1	2
110	жизни с	1	2
111	не в	3	2
112	по крайней	1	2
113	и против	3	2
114	одна из	2	2
115	свободы и	12	2
116	людей и	2	2
117	иван карамазов	1	2
118	в духе	2	2
119	могут быть	2	2
120	к тому	3	2
121	отказаться от	1	2
122	в жизни	3	2
123	в виду	1	2
124	в себя	2	2
125	во главе	2	2
126	верит в	2	2
127	на том	2	2
128	так и	4	2
129	за то	3	2
130	живет в	1	2
131	быть может	1	2
132	и будет	3	2
133	других людей	1	2
134	что и	3	2
135	себя но	1	2
136	крайней мере	1	2
137	вслед за	2	2
138	вот в	1	2
139	в лице	1	2
140	и мир	1	2
141	в двух	1	2
142	тот же	3	2
143	же и	1	2
144	времени по	1	2
145	что не	4	2
146	в образах	1	2
147	с которым	1	2
148	мира в	2	2
149	человека как	2	2
150	вместе с	1	2
151	к жизни	1	2
152	несравненно более	1	2
153	в мир	1	2
154	так ли	1	2
155	в одно	1	2
156	ее и	2	2
157	в новых	1	2
158	личности и	3	2
159	всех на	1	2
160	и зла	2	2
161	что ты	3	2
162	вся история	1	2
163	к этому	1	2
164	верит что	2	1
165	от этой	1	1
166	эта идея	1	1
167	утверждении своей	1	1
168	к небытию	4	1
169	и есть	4	1
170	этого мира	3	1
171	и до	1	1
172	места в	1	1
173	которое может	1	1
174	тоску по	1	1
175	их и	1	1
176	человеческой природы	1	1
177	и тут	1	1
178	для раскрытия	1	1
179	говорить о	4	1
180	то это	3	1
181	еще не	8	1
182	по этому	3	1
183	идет за	1	1
184	он был	1	1
185	бы то	1	1
186	во всех	3	1
187	это имеет	1	1
188	я был	1	1
189	тогда как	1	1
190	земли с	1	1
191	в истории	8	1
192	человечества не	1	1
193	государства и	2	1
194	найти в	1	1
195	и великим	1	1
196	его свободы	1	1
197	его к	2	1
198	личности а	2	1
199	от своей	2	1
200	со своей	1	1
201	к чему	3	1
202	бы и	3	1
203	что это	1	1
204	небытию в	1	1
205	все эти	3	1
206	бога в	1	1
207	в известном	1	1
208	это тот	1	1
209	им в	1	1
210	человеке и	1	1
211	зла в	1	1
212	и если	1	1
213	для счастья	2	1
214	все тот	2	1
215	да и	2	1
216	т д	2	1
217	среди людей	1	1
218	перестает быть	1	1
219	чем у	1	1
220	не к	2	1
221	зла и	1	1
222	и вот	1	1
223	природы человека	1	1
224	с миллионами	1	1
225	на этом	1	1
226	восстает против	3	1
227	то ни	1	1
228	значение в	1	1
229	его не	2	1
230	мечту о	1	1
231	по смыслу	1	1
232	в бездну	1	1
233	которого не	1	1
234	религии о	1	1
235	в глазах	1	1
236	не совместима	1	1
237	роль в	1	1
238	лишь на	1	1
239	весь мир	1	1
240	людям в	1	1
241	ни в	3	1
242	для них	2	1
243	люди не	2	1
244	но мы	2	1
245	в них	3	1
246	все равно	2	1
247	их для	1	1
248	с этой	1	1
249	с тем	2	1
250	и уже	1	1
251	конечно о	1	1
252	жизни но	1	1
253	и было	1	1
254	о которой	1	1
255	их на	1	1
256	и ее	1	1
257	их сознания	1	1
258	еще с	1	1
259	история человечества	1	1
260	и уж	1	1
261	было написано	1	1
262	своей свободы	2	1
263	если нет	1	1
264	тому что	3	1
265	человеку не	1	1
266	в атмосфере	1	1
267	какие бы	1	1
268	и другое	1	1
269	не имеет	3	1
270	заботиться о	1	1
271	что их	2	1
272	а ты	1	1
273	на него	1	1
274	в процессе	1	1
275	снисхождение к	1	1
276	мы все	1	1
277	в вечность	1	1
278	это еще	4	1
279	это мы	2	1
280	нельзя не	1	1
281	жизни не	1	1
282	на себя	5	1
283	природы в	1	1
284	сложность и	1	1
285	в русском	1	1
286	как она	1	1
287	в творческую	1	1
288	до того	2	1
289	у нас	1	1
290	дьявольская сила	1	1
291	не могут	2	1
292	но все	1	1
293	чтобы человек	1	1
294	что оно	1	1
295	что на	1	1
296	ли что	1	1
297	не есть	6	1
298	до состояния	1	1
299	оно не	3	1
300	она не	1	1
301	и это	2	1
302	духа но	2	1
303	в конце	3	1
304	меня в	1	1
305	в ее	1	1
306	к нам	2	1
307	над людьми	1	1
308	другой стороны	1	1
309	не поддался	1	1
310	более так	1	1
311	и говорит	1	1
312	ушел от	1	1
313	если они	1	1
314	в образе	4	1
315	ли это?	1	1
316	и жаждал	1	1
317	остается не	1	1
318	которая в	1	1
319	нас и	3	1
320	смысл бытия	1	1
321	и что	3	1
322	религии и	1	1
323	ее окончательно	1	1
324	в которую	1	1
325	к нему	1	1
326	мира сего	4	1
327	между тем	2	1
328	от них	1	1
329	человек был	1	1
330	сто тысяч	2	1
331	свобода и	1	1
332	я тогда	1	1
333	отказался от	1	1
334	от свободы	2	1
335	происхождение и	1	1
336	так говорит	1	1
337	и самые	1	1
338	что человечество	1	1
339	известном смысле	1	1
340	себя с	1	1
341	с ними	1	1
342	по закону	1	1
343	в разные	1	1
344	это очень	1	1
345	человечество на	2	1
346	идет к	1	1
347	их не	1	1
348	вот что	1	1
349	человека к	1	1
350	и любви	2	1
