N	4gram	Vinokur_Ku_2	Psycholo
1	заключается в том что	1	4
2	совершенно ясно что в	1	2
3	до тех пор пока	1	2
4	не что иное как	1	2
5	в зависимости от того	1	2
6	состоит в том что	1	2
7	одной и той же	1	2
8	ответ на этот вопрос	1	2
9	я имею в виду	1	1
10	в каждый данный момент	2	1
11	есть одна из основных	1	1
12	в каждом данном случае	1	1
13	в том что мы	1	1
14	что в самом деле	1	1
15	в том или ином	1	1
16	что это действительно так	1	1
17	с этой точки зрения	2	1
18	той обстановки в которой	1	1
19	несмотря на то что	1	1
20	только потому что оно	1	1
21	и в самом деле	2	1
22	в самом деле это	1	1
23	приводит к тому что	1	1
24	есть contradictio in adjecto	1	1
25	том или ином виде	1	1
26	в то время как	1	1
27	дело в том что	1	1
