N	2gram	Bakhtin_KF_1	OGranits
1	и в	24	13
2	и его	17	12
3	прежде всего	2	9
4	может быть	45	8
5	не может	27	8
6	и не	26	8
7	и т.п	1	7
8	в его	40	7
9	и их	6	7
10	и пр	3	7
11	точки зрения	12	7
12	только в	16	6
13	как бы	9	6
14	не только	5	6
15	то что	7	6
16	мы должны	1	6
17	и т.д	2	5
18	все же	5	5
19	и наконец	1	5
20	но ведь	5	5
21	с точки	9	5
22	в процессе	2	5
23	хотя бы	4	5
24	и эта	2	5
25	мы не	3	4
26	но мы	1	4
27	но в	5	4
28	мы можем	1	4
29	то же	5	4
30	лишь в	8	4
31	в сознании	2	4
32	в своей	10	4
33	было бы	8	4
34	все это	10	4
35	не является	1	4
36	в каждом	3	4
37	и то	2	3
38	в ее	16	3
39	самом деле	3	3
40	так и	2	3
41	говорить о	2	3
42	в их	8	3
43	по отношению	26	3
44	только путем	1	3
45	с этим	1	3
46	в которой	1	3
47	ни один	1	3
48	в себе	21	3
49	к единству	1	3
50	не как	4	3
51	в одном	4	3
52	так как	1	3
53	здесь мы	4	3
54	но и	9	3
55	как и	5	3
56	и уже	1	3
57	не в	12	3
58	но для	2	3
59	и для	9	3
60	никогда не	5	3
61	и все	7	3
62	превращается в	1	3
63	отношению к	22	3
64	что в	4	3
65	в искусстве	1	3
66	ничего общего	2	3
67	смысле слова	1	2
68	для себя	5	2
69	ни одно	5	2
70	и др	1	2
71	зависимости от	1	2
72	и может	3	2
73	и этот	3	2
74	конечно в	2	2
75	мы уже	1	2
76	мог бы	1	2
77	подойти к	1	2
78	если бы	8	2
79	к предмету	1	2
80	и должно	1	2
81	в ней	3	2
82	ее в	1	2
83	в чем	4	2
84	эта интонация	1	2
85	между тем	4	2
86	лишь путем	1	2
87	нуждается в	1	2
88	во всей	4	2
89	может иметь	2	2
90	его на	2	2
91	как в	2	2
92	в данном	2	2
93	в этом	14	2
94	в том	6	2
95	мы видим	1	2
96	тот же	1	2
97	с ними	3	2
98	в действительности	1	2
99	или иного	3	2
100	от этого	2	2
101	в этот	1	2
102	в интонации	1	2
103	в целом	10	2
104	и тем	3	2
105	все эти	10	2
106	думать что	2	2
107	мы получим	2	2
108	кажется что	2	2
109	в нем	28	2
110	при этом	4	2
111	для него	8	2
112	в другом	3	2
113	говорить об	1	2
114	отношений между	1	2
115	вовсе не	7	2
116	в зависимости	1	2
117	тем что	3	2
118	связанных с	1	2
119	в области	2	2
120	всей своей	2	2
121	а как	2	2
122	в самом	1	2
123	входит в	3	2
124	того или	3	2
125	может стать	1	2
126	она является	1	2
127	соответствии с	2	2
128	а не	17	2
129	там где	5	2
130	не мог	1	2
131	и случайное	1	2
132	несмотря на	1	2
