N	2gram	Vinokur_St_1	formyVre
1	и в	44	50
2	то есть	2	33
3	в этом	21	25
4	в нем	5	24
5	и его	8	16
6	прежде всего	7	15
7	как мы	1	14
8	и не	16	14
9	в его	9	13
10	вовсе не	19	13
11	как раз	4	13
12	по существу	2	12
13	так и	9	12
14	то же	5	11
15	таким образом	7	11
16	может быть	15	11
17	но в	10	10
18	времени и	1	10
19	с его	1	9
20	все эти	5	9
21	не только	18	9
22	в то	9	9
23	ничего не	2	9
24	же время	4	9
25	в том	36	9
26	в конце	3	9
27	в других	2	9
28	и др	1	9
29	и т	30	8
30	того же	3	8
31	и на	1	8
32	в самом	7	8
33	ни в	3	8
34	т п	9	8
35	его жизни	3	8
36	но и	10	8
37	и их	2	8
38	как и	9	8
39	жизни и	5	8
40	это время	1	7
41	для себя	3	7
42	времени в	1	7
43	и во	2	7
44	не было	4	7
45	например в	8	6
46	время в	1	6
47	во всех	8	6
48	как в	13	6
49	с этим	3	6
50	все же	8	6
51	не оставляет	1	6
52	лишь в	3	6
53	это не	8	6
54	так как	5	6
55	в ее	4	6
56	у него	2	6
57	то что	18	6
58	в частности	4	6
59	не может	8	6
60	так же	5	6
61	в результате	3	6
62	и все	2	6
63	отношению к	3	5
64	и до	1	5
65	время как	2	5
66	еще не	3	5
67	но не	3	5
68	и речи	2	5
69	и у	2	5
70	не в	12	5
71	он не	2	5
72	всех этих	2	5
73	в основе	3	5
74	того чтобы	11	5
75	точки зрения	11	5
76	не могло	1	5
77	в разных	1	5
78	только и	1	5
79	могут быть	5	5
80	но все	4	5
81	если бы	9	5
82	для того	10	5
83	что в	30	5
84	и другие	1	5
85	и то	5	4
86	и это	2	4
87	конечно и	3	4
88	в ней	3	4
89	в своем	2	4
90	конечно не	2	4
91	то время	2	4
92	раз в	2	4
93	но на	2	4
94	время и	1	4
95	и с	3	4
96	в них	1	4
97	том что	29	4
98	в котором	5	4
99	в процессе	1	4
100	не имеет	4	4
101	потому что	6	4
102	только в	10	4
103	до конца	1	4
104	в той	6	4
105	все это	5	4
106	между собой	1	4
107	кроме того	1	4
108	и для	3	4
109	том числе	2	4
110	отношения к	2	3
111	не имеют	1	3
112	в какой-то	1	3
113	а как	2	3
114	мы не	2	3
115	в сущности	2	3
116	в виду	1	3
117	по отношению	3	3
118	к концу	2	3
119	хотя и	1	3
120	нет здесь	1	3
121	всего необходимо	1	3
122	в себе	2	3
123	и те	2	3
124	при этом	2	3
125	вообще не	2	3
126	в основу	4	3
127	его в	2	3
128	входит в	1	3
129	и других	1	3
130	и дает	1	3
131	здесь нет	1	3
132	для них	1	3
133	место и	1	3
134	и уже	2	3
135	в этих	2	3
136	в отношении	9	3
137	но эта	1	3
138	что было	1	3
139	их в	2	3
140	но они	1	3
141	чем не	1	3
142	этом отношении	7	3
143	не могут	1	3
144	к тому	1	3
145	все его	1	3
146	что и	6	3
147	во всей	1	3
148	в форме	1	3
149	с нашей	2	3
150	одной из	1	3
151	с одной	3	3
152	со всеми	2	3
153	в качестве	4	3
154	в начале	3	3
155	был бы	1	3
156	одно из	2	3
157	в одном	1	3
158	до сих	7	3
159	именно в	6	3
160	что не	3	3
161	более того	1	3
162	с тем	1	3
163	а не	16	3
164	нашей точки	1	3
165	в одно	1	3
166	вместе с	1	3
167	и потому	2	3
168	да и	3	3
169	сих пор	7	3
170	или в	1	3
171	еще более	4	3
172	а в	17	3
173	всеми его	1	3
174	не знает	2	3
175	сказать что	7	3
176	они не	1	3
177	к этому	1	3
