N	3gram	Tiupa_Lite_1	OGranits
1	с точки зрения	2	5
2	не может быть	1	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	по отношению к	2	3
6	автора героя и	1	2
7	в самом деле	1	2
8	в зависимости от	1	2
9	эстетический объект и	1	2
10	в данном случае	4	2
11	с одной стороны	2	2
12	с другой стороны	1	2
13	ничего общего с	1	2
14	с самого начала	1	2
15	в том что	11	2
16	мы чувствуем что	1	1
17	в другом месте	1	1
18	литературного произведения как	1	1
19	только потому что	1	1
20	этой точки зрения	3	1
21	в хх веке	5	1
22	иметь в виду	1	1
23	на самом деле	1	1
24	подобно тому как	2	1
25	в отличие от	5	1
26	между тем как	1	1
27	только то что	1	1
28	в этом отношении	2	1
29	можно было бы	1	1
30	предстает не как	1	1
31	с этой точки	3	1
32	ту или иную	2	1
33	в последнее время	1	1
34	далеко не всегда	1	1
35	если говорить о	1	1
36	состоит в том	5	1
37	а также и	1	1
38	тем не менее	2	1
39	но может быть	1	1
40	в связи с	4	1
41	автора и его	1	1
42	а не как	1	1
43	чуть ли не	2	1
44	прежде всего в	3	1
45	появляется и у	1	1
46	не мог бы	1	1
47	то же время	5	1
48	может быть это	3	1
49	собственно говоря и	1	1
50	не только на	1	1
51	но в то	1	1
52	в конечном счете	4	1
53	на то что	1	1
54	существует как бы	1	1
55	но не менее	1	1
56	в то же	5	1
57	тех или иных	1	1
