N	3gram	Potebnia_M_3	Problema
1	по отношению к	5	19
2	и т п	2	13
3	не может быть	3	11
4	в данном случае	1	4
5	в художественном произведении	1	4
6	с другой стороны	4	4
7	в противном случае	1	3
8	на самом деле	1	3
9	в самом деле	1	3
10	может быть только	3	3
11	далеко не всегда	1	3
12	все то что	1	3
13	с одной стороны	3	3
14	то же время	5	3
15	в том что	16	3
16	в то же	5	3
17	тем не менее	3	3
18	и проч но	1	3
19	в чем не	1	2
20	можно сказать что	2	2
21	то же самое	1	2
22	в том же	2	2
23	со всех сторон	1	2
24	в строгом смысле	1	2
25	но и в	4	2
26	нас за пределы	1	2
27	к миру и	1	2
28	не только в	4	2
29	не могут быть	2	2
30	может и не	1	2
31	так и в	2	2
32	и тем самым	1	2
33	для того чтобы	3	2
34	в этом отношении	2	2
35	формы и содержания	1	2
36	именно в том	2	1
37	и может быть	2	1
38	а между тем	2	1
39	относится к содержанию	1	1
40	и теперь еще	1	1
41	тем что оно	1	1
42	в свою очередь	3	1
43	дает нам право	1	1
44	далеко не все	3	1
45	значение слова для	1	1
46	не говоря уже	1	1
47	в этом последнем	2	1
48	подобно тому как	2	1
49	и проч а	1	1
50	одной стороны и	1	1
51	в искусстве по	1	1
52	искусства может быть	1	1
53	до сих пор	3	1
54	говоря уже о	1	1
55	именно то что	2	1
56	и в других	1	1
57	в таких случаях	1	1
58	сами по себе	1	1
59	то есть вне	1	1
60	бы ни было	1	1
61	что все эти	1	1
62	но каким образом	1	1
63	в поэтическом произведении	1	1
64	и не менее	1	1
65	от них в	1	1
66	на то что	1	1
67	могли бы быть	1	1
68	но не все	1	1
69	не имели бы	1	1
70	не может но	1	1
71	всего человека с	1	1
72	то время как	1	1
73	его связь с	1	1
74	если бы мы	1	1
75	таким образом и	1	1
76	смысле этого слова	7	1
77	отношения к миру	1	1
78	не есть ни	4	1
79	например при восприятии	1	1
80	притом не только	1	1
81	не в том	5	1
82	то есть не	4	1
83	в том смысле	3	1
84	в том как	3	1
85	только в таком	1	1
86	и в том	2	1
87	строгом смысле этого	1	1
88	внутреннего и внешнего	1	1
89	уже не к	1	1
90	в свое время	1	1
91	по себе не	1	1
92	а в том	5	1
93	при восприятии не	1	1
94	и содержание в	1	1
95	и проч и	1	1
96	с ними в	1	1
97	таким образом в	1	1
98	равно как и	1	1
99	относится к нему	1	1
100	том смысле что	1	1
101	в то время	4	1
102	не могла бы	2	1
103	тем самым и	1	1
104	его отношение к	1	1
105	и т д	3	1
106	скажем только что	1	1
107	и в самом	2	1
108	не может стать	1	1
109	в слове как	1	1
110	в себе все	1	1
111	как мы уже	1	1
112	к тому что	2	1
113	в первом случае	2	1
114	значение только как	1	1
115	имеет для него	2	1
116	к вопросу о	1	1
117	так относится к	1	1
118	форму в художественном	1	1
119	художественное произведение и	1	1
120	быть не может	1	1
121	проч но не	1	1
122	так и художественное	1	1
123	может быть объяснено	1	1
124	как и в	2	1
125	то что называют	1	1
126	то есть к	3	1
