N	3gram	Voloshinov_1	Istorich
1	с одной стороны	1	7
2	в том что	1	5
3	до сих пор	3	4
4	о том что	2	4
5	мы имеем в	1	4
6	вместе с тем	1	3
7	в данном случае	1	3
8	не может быть	3	3
9	уже знаем что	1	2
10	на первый план	1	2
11	заранее обречены на	1	2
12	так как он	1	2
13	то же мы	1	2
14	таким образом и	1	2
15	же мы видим	1	2
16	во всяком случае	3	2
17	можно было бы	1	2
18	но мы уже	1	2
19	мы уже знаем	1	2
20	что иное как	1	1
21	уже не может	1	1
22	через некоторое время	1	1
23	нам кажется что	2	1
24	а потом и	1	1
25	же как и	1	1
26	зависимости от окружающей	1	1
27	что не удается	2	1
28	друг на друга	2	1
29	в свою противоположность	1	1
30	по аналогии с	2	1
31	на первый взгляд	1	1
32	а иногда и	1	1
33	со всех сторон	1	1
34	с этой точки	1	1
35	своем месте и	1	1
36	так же как	2	1
37	ранних ступенях развития	1	1
38	здесь только что	1	1
39	на своем месте	1	1
40	еще не имеет	1	1
41	как один из	1	1
42	а с другой	1	1
43	всяком случае не	1	1
44	но вместе с	1	1
45	в том смысле	1	1
46	в свое время	1	1
47	поэтому и не	1	1
48	этой точки зрения	1	1
49	по ту сторону	4	1
50	вместе с ним	1	1
51	мы видим и	1	1
52	так и в	1	1
53	они не будут	1	1
54	обречены на неудачу	1	1
55	подобно тому как	1	1
56	можно сказать что	3	1
57	не что иное	1	1
58	первый план выдвигается	1	1
59	друг с другом	1	1
60	для того чтобы	1	1
61	что между ними	1	1
