N	3gram	Vinokur_Vv_1	OGranits
1	с точки зрения	2	5
2	не может быть	8	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	по отношению к	4	3
6	одно и то	1	3
7	что иное как	4	2
8	истории языка и	3	2
9	в самом деле	5	2
10	в зависимости от	1	2
11	в данном случае	4	2
12	с одной стороны	4	2
13	и то же	1	2
14	с другой стороны	5	2
15	того или иного	1	2
16	есть не что	2	2
17	с самого начала	1	2
18	не что иное	4	2
19	в том что	12	2
20	языка и истории	1	2
21	в другом месте	2	1
22	том что в	1	1
23	между тем мы	1	1
24	что в этом	2	1
25	только потому что	1	1
26	и его учеников	1	1
27	в чем же	3	1
28	этой точки зрения	1	1
29	наукой о языке	1	1
30	всегда связана с	1	1
31	на самом деле	1	1
32	подобно тому как	1	1
33	то же самое	2	1
34	в достаточной мере	1	1
35	же время в	1	1
36	можно говорить о	1	1
37	в отличие от	3	1
38	только то что	1	1
39	в этом отношении	3	1
40	нужно сказать что	1	1
41	в собственном смысле	2	1
42	и т.д и	1	1
43	можно было бы	3	1
44	может быть и	2	1
45	в значительной мере	1	1
46	с этой точки	1	1
47	то или иное	1	1
48	и должно составить	1	1
49	но одно дело	1	1
50	ту или иную	1	1
51	для того чтобы	21	1
52	в особенности в	1	1
53	так же как	1	1
54	может быть не	1	1
55	или же только	1	1
56	один из наиболее	1	1
57	состоит в том	2	1
58	а также и	2	1
59	быть и речи	1	1
60	тем не менее	8	1
61	предисловии к этому	1	1
62	в одном случае	1	1
63	в связи с	2	1
64	само по себе	3	1
65	прежде всего в	1	1
66	собственном смысле слова	1	1
67	в этот вопрос	1	1
68	здесь нет никакого	1	1
69	того же автора	1	1
70	все то что	1	1
71	то же время	5	1
72	что в ней	1	1
73	и никогда не	1	1
74	но в то	3	1
75	с историей не	1	1
76	в то же	5	1
77	к тому что	1	1
78	о языке и	1	1
79	тех или иных	3	1
80	в предисловии к	1	1
81	и это особенно	1	1
82	уже из того	1	1
