N	3gram	Tiupa_Anal_2	Istorich
1	в этих случаях	1	8
2	точно так же	1	6
3	в этом случае	4	5
4	в том что	6	5
5	со всех сторон	1	4
6	не только в	2	4
7	в связи с	1	4
8	по отношению к	4	3
9	подобно тому как	3	3
10	можно было бы	2	3
11	с одной стороны	4	3
12	что иное как	1	2
13	в таких случаях	1	2
14	но и в	1	2
15	во всех этих	1	2
16	только с одним	1	2
17	не что иное	1	2
18	с другой стороны	2	2
19	не может быть	1	2
20	в третий раз	1	2
21	всех этих случаях	1	2
22	о том что	6	2
23	на то что	2	2
24	дело не в	1	2
25	к тому же	4	2
26	не в состоянии	1	1
27	при встрече с	1	1
28	следует понимать как	1	1
29	не столько с	1	1
30	таит в себе	1	1
31	в отличие от	2	1
32	что она не	1	1
33	несмотря на то	1	1
34	в обоих случаях	2	1
35	в сущности это	1	1
36	и то же	1	1
37	как один из	1	1
38	тем не менее	3	1
39	так или иначе	1	1
40	смерти на лице	1	1
41	в этой связи	1	1
42	из них не	1	1
43	очень близки к	1	1
44	которые следует понимать	1	1
45	в тех случаях	1	1
46	т е к	2	1
47	есть не что	1	1
48	и нисколько не	1	1
49	видит не только	1	1
50	не только не	2	1
51	есть то самое	1	1
52	не только на	1	1
53	тех случаях когда	1	1
54	то что она	1	1
55	в силу своей	1	1
56	жизнью и смертью	1	1
57	друг с другом	1	1
58	могут быть поставлены	1	1
