N	3gram	Losev_Vlad_2	NovoeSre
1	в высшей степени	1	6
2	не может быть	1	4
3	равно как и	1	2
4	в этом смысле	1	2
5	он не может	1	2
6	что в нем	1	2
7	вместе с тем	1	2
8	и в ней	1	1
9	что в этом	1	1
10	по существу своему	1	1
11	а не с	1	1
12	то время как	1	1
13	будет сказать что	1	1
14	в том числе	1	1
15	не было и	1	1
16	до сих пор	1	1
17	в отличие от	3	1
18	наряду с этим	1	1
19	от того чтобы	1	1
20	можно было бы	2	1
21	и не в	1	1
22	и стремится к	1	1
23	в том чтобы	2	1
24	не только в	2	1
25	к одному из	1	1
26	не в том	3	1
27	сказать что все	1	1
28	то что он	3	1
29	оснований думать что	1	1
30	это конечно не	1	1
31	во всяком случае	6	1
32	ни в какие	1	1
33	о том что	3	1
34	в то время	6	1
35	то что в	1	1
36	это значит что	1	1
37	в последние годы	1	1
38	в том что	9	1
39	конечно не в	1	1
