N	3gram	Ircho_Kome_1	Otkroven
1	для того чтобы	1	3
2	у него не	1	2
3	что у него	1	2
4	но и в	2	2
5	до самого конца	2	2
6	смысле этого слова	1	1
7	как будто бы	1	1
8	хотя и не	1	1
9	так и против	1	1
10	том что в	1	1
11	дело доходит до	1	1
12	и в том	1	1
13	бросается в глаза	1	1
14	во всяком случае	2	1
15	сам по себе	1	1
16	для своих целей	1	1
17	после того как	3	1
18	о том что	3	1
19	в этом отношении	3	1
20	и все это	1	1
21	в этот период	1	1
22	и прежде всего	1	1
23	в том что	9	1
24	на то что	2	1
25	в самом начале	1	1
26	как и в	2	1
