N	3gram	Kanaev_Sov_1	Myslijsy
1	в том что	1	16
2	по отношению к	1	5
3	заключает в себе	1	5
4	по крайней мере	1	5
5	не в том	1	5
6	то же время	1	5
7	в то же	1	5
8	до сих пор	1	3
9	может быть только	1	3
10	с одной стороны	1	3
11	в том как	1	3
12	в свою очередь	2	3
13	тем не менее	2	3
14	не может быть	4	3
15	с одной и	1	2
16	и может быть	1	2
17	но тем не	1	2
18	мы не знаем	1	2
19	не могут быть	1	2
20	и той же	1	2
21	именно в том	1	2
22	в первое время	1	2
23	мы не можем	6	2
24	что в ней	1	2
25	одной и той	1	2
26	точки зрения и	1	1
27	мы видим не	1	1
28	одной стороны и	1	1
29	если бы эти	1	1
30	в свое время	1	1
31	равно как и	1	1
32	на самом деле	1	1
33	в самом деле	1	1
34	но мы этого	1	1
35	то же самое	2	1
36	не подлежит сомнению	2	1
37	сами по себе	1	1
38	и та же	1	1
39	а может быть	1	1
40	может находиться в	1	1
41	вместе с ним	1	1
42	не может но	1	1
43	в том случае	1	1
44	в данном случае	1	1
45	и тот же	1	1
46	он уже не	1	1
47	одна и та	1	1
48	а но это	1	1
49	заключать в себе	1	1
50	один и тот	1	1
51	в каждом отдельном	5	1
52	каждого из них	2	1
53	это значит что	1	1
54	мы этого не	1	1
55	друг с другом	2	1
56	том случае когда	1	1
