N	3gram	Berdyaev_V_1	KulturaY
1	в том что	2	8
2	и т д	2	8
3	и в этом	1	4
4	после того как	1	4
5	с другой стороны	1	3
6	так и в	1	3
7	с тем чтобы	1	2
8	в известном смысле	1	2
9	не могут быть	1	2
10	есть один из	1	1
11	то ни стало	1	1
12	есть прежде всего	1	1
13	т д и	1	1
14	и в русском	1	1
15	во что бы	1	1
16	то что мы	3	1
17	это еще не	2	1
18	бы то ни	1	1
19	но и в	2	1
20	является и будет	1	1
21	по крайней мере	1	1
22	и что ты	1	1
23	лишь в процессе	1	1
24	вместе с тем	1	1
25	хотя бы и	1	1
26	что бы то	1	1
27	в этих словах	1	1
28	нет и что	1	1
29	речь идет конечно	1	1
30	не могут и	1	1
31	д и т	1	1
32	против того что	1	1
33	и вместе с	1	1
34	есть еще и	1	1
35	но все же	1	1
36	в вопросе о	2	1
37	не будет уже	2	1
38	к тому что	3	1
39	получается в результате	1	1
40	a с другой	1	1
41	и в вопросе	1	1
