N	2gram	Berdyaev_V_1	Myshleni
1	в том	3	33
2	том что	2	27
3	то что	9	20
4	в этом	4	19
5	того что	5	17
6	не только	2	15
7	и в	16	15
8	что в	3	14
9	того чтобы	2	12
10	что он	4	12
11	в самом	1	11
12	в процессе	1	11
13	мы не	2	10
14	в целом	1	10
15	для того	1	10
16	но и	5	10
17	в своем	1	9
18	может быть	1	9
19	что мы	4	9
20	не в	3	8
21	никогда не	3	8
22	так и	4	8
23	и что	3	8
24	к тому	3	7
25	тот же	3	7
26	потому что	4	7
27	как бы	5	7
28	и не	20	7
29	во всяком	2	7
30	зависимости от	1	6
31	в этой	1	6
32	в истории	8	6
33	что это	1	6
34	как и	4	6
35	как мы	1	6
36	в виду	1	6
37	но в	3	6
38	по этому	3	6
39	вовсе не	1	6
40	с другой	1	6
41	вместе с	1	6
42	как это	1	6
43	то же	1	5
44	вопрос о	1	5
45	говорит что	1	5
46	уже в	1	5
47	это не	2	5
48	можно было	2	5
49	сравнению с	1	5
50	все что	4	5
51	по сравнению	1	5
52	хотя бы	3	4
53	с его	3	4
54	как в	1	4
55	все же	1	4
56	могли бы	1	4
57	в которой	1	4
58	что все	4	4
59	в них	3	4
60	в своей	3	4
61	к этому	1	4
62	их в	3	4
63	не имеет	3	4
64	того как	1	4
65	что оно	1	4
66	и с	1	4
67	мы видим	1	4
68	так как	9	4
69	только в	2	4
70	потребность в	1	4
71	а с	2	4
72	прежде всего	2	4
73	так же	1	4
74	все это	5	4
75	для нас	2	4
76	а в	2	4
77	человека и	6	3
78	и до	1	3
79	первые слова	1	3
80	и ее	1	3
81	мы будем	1	3
82	что они	7	3
83	бы и	3	3
84	все эти	3	3
85	и по	1	3
86	лишь в	3	3
87	уже сказано	1	3
88	таким же	1	3
89	в которых	1	3
90	для себя	1	3
91	и это	2	3
92	и сам	2	3
93	с ним	2	3
94	ничего не	1	3
95	но мы	2	3
96	не надо	1	3
97	значение в	1	3
98	но не	2	3
99	вот почему	2	3
100	для него	2	3
101	ничем не	1	3
102	а не	7	3
103	он говорит	1	3
104	этого слова	1	3
105	о мире	1	3
106	не существует	1	3
107	в результате	1	3
108	и все	4	3
109	они не	1	3
110	речь идет	1	2
111	людей что	2	2
112	и есть	4	2
113	в котором	4	2
114	в первый	3	2
115	говорить о	4	2
116	в их	1	2
117	во всех	3	2
118	нет и	2	2
119	которые не	2	2
120	его к	2	2
121	в противоположность	1	2
122	от этого	3	2
123	к чему	3	2
124	в известном	1	2
125	и мы	3	2
126	ни в	3	2
127	все равно	2	2
128	с такой	1	2
129	должно быть	3	2
130	и тогда	2	2
131	в этих	3	2
132	быть может	1	2
133	и вообще	1	2
134	и другое	1	2
135	находится в	1	2
136	под этим	2	2
137	во всем	1	2
138	и теперь	2	2
139	уже и	1	2
140	что на	1	2
141	не могут	2	2
142	могут быть	2	2
143	но все	1	2
144	его с	1	2
145	в себя	2	2
146	на том	2	2
147	за то	3	2
148	живет в	1	2
149	когда в	2	2
150	в его	4	2
151	что и	3	2
152	и можно	1	2
153	к личности	4	2
154	бы ни	1	2
155	и тем	1	2
156	теперь в	1	2
157	каким образом	1	2
158	в одном	1	2
159	но что	1	2
160	у него	1	2
161	тем что	2	2
162	не хотим	1	2
163	на которых	1	2
164	для человека	2	2
165	связь с	1	2
166	человека к	1	2
167	человек с	1	2
168	с этой	1	2
169	общественной жизни	1	2
170	но с	1	2
171	и для	3	2
172	мира и	1	2
173	у них	1	2
174	вообще в	1	2
175	по пути	5	2
176	это все	2	2
177	мы увидим	1	2
178	и идеи	1	2
179	ее в	2	2
180	и эта	1	2
181	от этой	1	1
182	по которым	2	1
183	не имеют	1	1
184	со своей	1	1
185	есть не	1	1
186	что уже	1	1
187	нас это	1	1
