N	2gram	Tiupa_Anal_2	Morfolog
1	может быть	6	52
2	и т	1	49
3	таким образом	2	20
4	представляет собой	8	17
5	не может	4	17
6	в этих	2	16
7	т е	2	16
8	могут быть	10	15
9	этих случаях	2	14
10	и в	16	13
11	в этом	18	13
12	так как	1	12
13	перед нами	1	11
14	связи с	1	11
15	мы видим	1	11
16	представляют собой	2	10
17	то же	4	9
18	мы имеем	3	9
19	так и	15	9
20	этом случае	4	9
21	прежде всего	3	9
22	а не	10	9
23	в связи	1	9
24	и не	12	9
25	а затем	2	8
26	что и	3	8
27	с другой	6	8
28	по существу	2	8
29	в результате	3	8
30	в качестве	11	7
31	в тех	1	7
32	но если	1	7
33	но не	4	6
34	это не	1	6
35	подобно тому	3	6
36	и здесь	1	6
37	а также	7	6
38	в том	12	6
39	а в	3	6
40	во всех	4	5
41	не все	1	5
42	тому как	3	5
43	то что	7	5
44	в образе	1	5
45	в ходе	4	5
46	далеко не	1	5
47	не менее	4	5
48	потому что	1	5
49	в поле	4	5
50	или в	3	5
51	вслед за	2	5
52	один из	2	5
53	как бы	10	5
54	это явление	1	5
55	также и	1	4
56	тех же	1	4
57	что его	1	4
58	как в	4	4
59	хотя и	4	4
60	и как	1	4
61	ни одна	1	4
62	не только	16	4
63	на его	3	4
64	на этом	4	4
65	следующим образом	1	4
66	об этом	1	4
67	его в	2	4
68	было бы	3	4
69	вовсе не	2	4
70	как и	14	4
71	несмотря на	3	4
72	точки зрения	4	4
73	с точки	2	4
74	тем не	3	4
75	на котором	2	4
76	ничего не	9	4
77	тем что	3	4
78	героя а	1	4
79	как мы	3	4
80	по отношению	4	4
81	другой стороны	2	4
82	так же	2	4
83	отношению к	4	4
84	что в	2	4
85	получает в	1	3
86	самом деле	1	3
87	в первом	1	3
88	и для	2	3
89	независимо от	1	3
90	но в	6	3
91	в целом	8	3
92	в нашем	3	3
93	в пределах	9	3
94	и по	1	3
95	прежде чем	1	3
96	входит в	1	3
97	из них	3	3
98	ни в	1	3
99	в один	4	3
100	том что	12	3
101	в то	2	3
102	реагирует на	1	3
103	в сущности	4	3
104	на него	2	3
105	с собой	1	3
106	если бы	3	3
107	но и	12	3
108	он не	2	3
109	к нему	1	3
110	в какой	1	3
111	и ее	1	3
112	узнает о	2	3
113	в начале	1	3
114	а то	2	3
115	связывается с	2	3
116	не является	1	3
117	то можно	1	3
118	в карты	1	3
119	но это	1	3
120	мы должны	1	3
121	только что	1	3
122	же в	1	3
123	героя и	1	3
124	если же	1	3
125	как это	6	2
126	относятся к	1	2
127	тем же	1	2
128	со смертью	3	2
129	совсем не	1	2
130	себя за	1	2
131	тех случаях	1	2
132	как уже	3	2
133	и к	5	2
134	более или	1	2
135	из его	2	2
136	состоит в	8	2
137	можно было	3	2
138	и за	3	2
139	в другом	1	2
140	мы уже	1	2
141	это было	2	2
142	обоих случаях	2	2
143	в ином	1	2
144	этого не	1	2
145	и тогда	1	2
146	или менее	1	2
147	для него	4	2
148	и при	1	2
149	имеется в	1	2
150	таких случаях	1	2
151	дается в	1	2
152	героя из	1	2
153	и более	1	2
154	однако в	1	2
155	и наоборот	2	2
156	все эти	1	2
157	в таких	2	2
158	с теми	1	2
159	в обоих	2	2
160	не имеет	2	2
161	одна из	1	2
