N	2gram	Propp_Morf_1	FransuaR
1	и в	13	56
2	в его	1	18
3	таким образом	21	17
4	все эти	2	15
5	в этом	14	14
6	в том	6	13
7	так и	6	13
8	он был	1	12
9	в то	3	12
10	и его	1	12
11	то же	7	11
12	в них	1	11
13	в этих	13	11
14	как бы	3	11
15	и до	1	10
16	мы уже	1	10
17	еще не	3	10
18	и не	12	9
19	только в	2	9
20	но и	4	9
21	в сущности	3	8
22	во всех	4	8
23	не только	4	8
24	и с	1	8
25	и их	2	8
26	и даже	1	8
27	до сих	1	8
28	и др	10	8
29	по своему	2	8
30	сих пор	1	8
31	том что	4	8
32	и на	1	7
33	в большинстве	3	7
34	как мы	6	7
35	у него	1	7
36	в частности	2	7
37	в этой	2	6
38	но в	2	6
39	на его	4	6
40	точки зрения	2	6
41	вовсе не	4	6
42	мы видим	13	6
43	связи с	10	6
44	большинстве случаев	3	6
45	прежде всего	9	6
46	в той	1	6
47	все они	1	6
48	и все	1	6
49	потому что	3	6
50	одним из	1	5
51	с ее	1	5
52	с его	2	5
53	но не	4	5
54	в пределах	3	5
55	он не	3	5
56	такой же	1	5
57	во время	6	5
58	в области	1	5
59	один из	5	5
60	как и	3	5
61	в результате	7	5
62	что в	8	5
63	есть и	4	5
64	и другие	6	5
65	они не	1	5
66	ту же	2	4
67	например в	2	4
68	и к	4	4
69	в которой	3	4
70	что это	1	4
71	в главе	1	4
72	в себе	1	4
73	при этом	1	4
74	их в	1	4
75	переходим к	1	4
76	и ее	3	4
77	и более	1	4
78	даже в	1	4
79	одна из	4	4
80	того чтобы	3	4
81	во всем	1	4
82	и несколько	1	4
83	форм и	1	4
84	в совершенно	1	4
85	о том	2	4
86	с одной	1	4
87	в качестве	5	4
88	так как	16	4
89	в особенности	1	4
90	в основе	1	4
91	перед нами	10	3
92	кроме того	1	3
93	и наконец	1	3
94	главным образом	4	3
95	здесь нет	1	3
96	имен и	1	3
97	не в	3	3
98	но он	1	3
99	в таких	2	3
100	в форме	6	3
101	здесь мы	3	3
102	и был	1	3
103	в другом	2	3
104	в образе	4	3
105	и здесь	5	3
106	настоящее время	3	3
107	а также	4	3
108	между тем	5	3
109	как например	2	3
110	одной из	1	3
111	так что	1	3
112	уже не	2	3
113	мы находим	1	3
114	что и	7	3
115	может быть	52	3
116	еще и	1	3
117	в некоторых	3	3
118	не на	2	3
119	сказать что	2	3
120	там где	5	3
121	с помощью	1	3
122	образом и	1	3
123	на эту	1	3
124	в первой	1	3
125	в связи	9	3
126	в настоящее	3	3
127	то что	8	3
128	также и	4	2
129	и то	1	2
130	самом деле	4	2
131	на самом	4	2
132	что эти	2	2
133	мы не	8	2
134	к началу	4	2
135	конечно в	1	2
136	бы то	3	2
137	с другой	8	2
138	совсем не	3	2
139	значение и	1	2
140	что они	2	2
141	вот как	1	2
142	все остальные	1	2
143	хотя и	3	2
144	целый ряд	3	2
145	и как	5	2
146	за это	1	2
147	в нашем	3	2
148	что она	2	2
149	ни было	2	2
150	в виде	2	2
151	так например	3	2
152	его в	2	2
153	здесь как	1	2
154	не простое	1	2
155	по всему	2	2
156	ни в	1	2
157	из нее	1	2
158	превращаются в	1	2
159	с тем	2	2
160	несмотря на	4	2
161	между собою	2	2
162	и некоторые	1	2
163	или менее	2	2
164	для него	1	2
165	и при	1	2
166	в своей	1	2
167	еще недостаточно	1	2
168	с точки	2	2
169	в которых	2	2
170	если бы	2	2
171	на котором	3	2
172	дело в	1	2
173	дело не	2	2
174	того как	2	2
175	к концу	1	2
176	характерен для	1	2
177	в каком	2	2
178	не потому	1	2
179	он называет	1	2
180	более широкой	1	2
181	нашей работы	2	2
182	данном случае	1	2
183	то время	3	2
184	и совершенно	1	2
185	с собой	3	2
186	когда в	1	2
187	этих условиях	1	2
188	можно сказать	2	2
189	и были	1	2
190	к нему	3	2
191	грань между	1	2
192	этот момент	3	2
193	на одном	1	2
194	во всей	1	2
195	было бы	3	2
196	но с	1	2
197	что он	4	2
198	действующих лиц	11	2
199	очень много	1	2
200	это не	6	2
201	только на	1	2
202	из них	3	2
203	характерно что	1	2
204	в одном	1	2
205	как раз	1	2
206	в других	3	2
207	для того	2	2
208	момент в	1	2
209	видим что	10	2
210	далеко не	5	2
211	одной стороны	1	2
212	а на	3	2
213	то ни	3	2
214	точек зрения	1	2
215	не может	14	2
216	так же	3	2
217	из которых	3	2
218	названия а	1	2
219	в данном	1	2
220	а не	11	2
221	с этой	1	2
222	весь этот	1	2
223	благодаря этому	3	2
224	но это	6	2
225	все же	7	2
226	и для	2	2
227	а в	7	2
228	между ними	1	2
229	другой стороны	4	2
230	они вступают	1	2
231	более или	2	2
232	к этому	3	2
233	смысле слова	4	1
234	только он	1	1
235	в этот	1	1
236	начинается с	3	1
237	из самых	1	1
238	явления и	1	1
239	почти всегда	1	1
240	свою помощь	1	1
241	момент когда	2	1
242	или наоборот	1	1
243	на той	2	1
244	большую роль	1	1
245	вопрос о	7	1
246	его могиле	3	1
247	что многие	1	1
248	со смертью	2	1
249	вступают в	3	1
250	равно как	1	1
251	так чтобы	1	1
252	и такой	1	1
253	вместо того	1	1
254	и невозможность	1	1
255	ему в	1	1
256	один пример	1	1
257	то это	3	1
258	и со	1	1
259	форм мы	1	1
260	собой в	2	1
261	положительной или	1	1
262	между собой	4	1
263	в чем	1	1
264	видим таким	1	1
265	некоторые другие	1	1
266	там и	1	1
267	особой логической	1	1
268	одним словом	1	1
269	друг к	2	1
270	мы еще	1	1
271	которых один	1	1
272	чем это	2	1
273	себе он	1	1
274	в эти	1	1
275	по отношению	4	1
276	некоторые черты	1	1
277	значение для	1	1
278	себя в	1	1
279	которые не	1	1
280	чем же	1	1
281	в одной	1	1
282	как в	3	1
283	для всех	1	1
284	предметы и	1	1
285	понятия не	1	1
286	развития все	1	1
287	на войну	1	1
288	существенных недостатков	1	1
289	пример в	1	1
290	ход действия	5	1
291	не можем	1	1
292	та же	2	1
293	и у	1	1
294	другие элементы	2	1
295	к месту	2	1
296	из этих	1	1
297	им в	1	1
298	таких героев	2	1
299	во многих	1	1
300	но ведь	1	1
301	но на	1	1
302	можно лишь	1	1
303	друг за	2	1
304	вообще не	1	1
305	момента в	1	1
306	состоит в	2	1
307	и вот	1	1
308	в доме	1	1
309	подобно тому	6	1
310	в нее	1	1
311	можно было	2	1
312	в основу	2	1
313	больше всего	1	1
314	по-видимому не	1	1
315	же не	1	1
316	связанные с	1	1
317	те же	1	1
318	в ход	1	1
319	на все	1	1
320	всегда очень	1	1
321	это было	3	1
322	с другими	1	1
323	из первых	2	1
324	предметами и	1	1
325	о которых	1	1
326	их как	2	1
327	и определяет	1	1
328	не всегда	9	1
329	его и	2	1
330	чем в	1	1
331	это совершенно	1	1
332	в приложении	1	1
333	материал но	1	1
334	в один	3	1
335	понятия и	1	1
336	в саду	1	1
337	этот материал	1	1
338	известной степени	1	1
339	по ее	1	1
340	лежат в	1	1
341	именно и	1	1
342	наших дней	2	1
343	началу и	2	1
344	мы говорили	1	1
345	самого героя	1	1
346	оказывается что	1	1
347	нельзя было	2	1
348	точку зрения	1	1
349	которые в	1	1
350	но во	1	1
351	тесно связаны	1	1
352	его до	1	1
353	показать что	4	1
354	или отпускают	1	1
355	и точной	1	1
356	не любит	1	1
357	тому что	4	1
358	таких случаях	2	1
359	но они	1	1
360	до известной	1	1
361	всего это	1	1
362	она могла	1	1
363	самого начала	1	1
364	эти формы	2	1
365	не имеет	2	1
366	логической и	1	1
367	и притом	1	1
368	и сама	1	1
369	собою мы	1	1
370	его применение	1	1
371	не по	2	1
372	начинает с	1	1
373	в методах	1	1
374	не стремится	1	1
375	под углом	1	1
376	только и	1	1
377	это лицо	1	1
378	в другую	2	1
379	обобщения и	1	1
380	за исключением	1	1
381	через все	1	1
382	как будто	2	1
383	этом отношении	1	1
384	тяготеют к	1	1
385	с другом	1	1
386	сравнить с	1	1
387	такие же	1	1
388	и далее	1	1
389	один раз	1	1
390	но там	1	1
391	не могут	4	1
392	могут быть	16	1
393	хранится в	1	1
394	же самое	1	1
395	по характеру	1	1
396	к другу	2	1
397	к тому	4	1
398	в наши	1	1
399	здесь под	1	1
400	котором говорит	1	1
401	они и	3	1
402	если же	5	1
403	наши дни	1	1
404	он лишь	1	1
405	мы привели	1	1
406	а затем	4	1
407	в виду	1	1
408	здесь не	2	1
409	нами выше	1	1
410	может только	1	1
411	но мы	3	1
412	с самого	1	1
413	ряду с	1	1
414	огромное количество	1	1
415	касается только	2	1
416	на свой	1	1
417	его самого	4	1
418	мог бы	1	1
419	появляются в	1	1
420	которые он	1	1
421	еще в	1	1
422	к первому	1	1
423	даны в	1	1
424	в отдельных	3	1
425	но к	1	1
426	на вопрос	2	1
427	и что	2	1
428	на что	1	1
429	после того	1	1
430	что его	2	1
431	для нас	2	1
432	как эта	1	1
433	и по-видимому	1	1
434	там же	1	1
435	по их	3	1
436	не имеющий	1	1
437	том или	1	1
438	все события	1	1
439	и иных	2	1
440	из моментов	1	1
441	и она	1	1
442	в лице	1	1
443	человека а	1	1
444	быть и	2	1
445	в формах	1	1
446	лиц мы	1	1
447	в новой	1	1
448	том как	1	1
449	важное значение	1	1
450	дело с	1	1
451	природой и	1	1
452	вперед и	1	1
453	другой пример	1	1
454	что даже	1	1
455	углом зрения	1	1
456	у тебя	1	1
457	или же	6	1
458	никаких новых	2	1
459	и тем	2	1
460	что эта	2	1
461	со всеми	1	1
462	до наших	2	1
463	камень и	2	1
464	как нечто	1	1
465	вопроса о	1	1
466	указывая что	1	1
467	он непосредственно	1	1
468	действующего лица	1	1
469	в начале	3	1
470	кажется что	1	1
471	и показать	1	1
472	за ним	1	1
473	сразу до	1	1
474	одно из	1	1
475	никто не	3	1
