N	3gram	Tiupa_Anal_3	Otkroven
1	для того чтобы	1	3
2	в этом мире	1	2
3	не может быть	1	2
4	не могут быть	1	2
5	ни у кого	1	2
6	сказать что они	1	2
7	хотя и не	1	1
8	а в его	1	1
9	и вот о	1	1
10	по природе своей	1	1
11	не в том	1	1
12	одно из самых	1	1
13	в самом деле	1	1
14	все это было	1	1
15	как бы в	1	1
16	так и не	5	1
17	может быть осуществлено	1	1
18	и все же	1	1
19	во всяком случае	2	1
20	сам по себе	1	1
21	само по себе	1	1
22	тем что у	1	1
23	о том что	5	1
24	в этом отношении	3	1
25	и прежде всего	2	1
26	в том что	7	1
27	отличается в этом	1	1
28	в каждом из	1	1
29	в самом начале	1	1
30	как бы и	1	1
31	как и в	4	1
32	нигде и никогда	1	1
