N	3gram	Vinokur_Vv_1	RusskieA
1	в том что	12	15
2	в xix в	1	10
3	и т д	37	9
4	состоит в том	2	8
5	том что в	1	6
6	вместе с тем	3	6
7	в этом случае	6	5
8	в связи с	2	4
9	о том что	12	4
10	к тому что	1	4
11	в настоящее время	1	3
12	с точки зрения	2	3
13	тем не менее	8	3
14	в разных формах	1	3
15	что иное как	4	2
16	в области изучения	1	2
17	что в этом	2	2
18	не только по	1	2
19	может быть и	2	2
20	в свою очередь	1	2
21	половине xix в	2	2
22	к выводу что	5	2
23	но все же	3	2
24	после того как	2	2
25	по этому поводу	2	2
26	не значит что	1	2
27	не что иное	4	2
28	во многих случаях	1	2
29	по содержанию и	1	1
30	потому что он	2	1
31	только потому что	1	1
32	сказать что в	1	1
33	деле как мы	1	1
34	это как будто	1	1
35	одном и том	1	1
36	уже не имеет	1	1
37	и того же	2	1
38	как мы видим	1	1
39	по отношению к	4	1
40	по меньшей мере	2	1
41	точно так же	2	1
42	на самом деле	1	1
43	по его словам	1	1
44	подобно тому как	1	1
45	греков и римлян	3	1
46	дело не только	1	1
47	т д и	1	1
48	целом ряде других	1	1
49	и у древних	1	1
50	можно говорить о	1	1
51	и в дальнейшем	1	1
52	с русской историей	1	1
53	в них в	1	1
54	в этом отношении	3	1
55	что не только	1	1
56	в собственном смысле	2	1
57	и т п	5	1
58	можно было бы	3	1
59	на этот вопрос	3	1
60	но и как	1	1
61	в первой половине	1	1
62	не до конца	2	1
63	т е в	4	1
64	не потому что	1	1
65	не только в	4	1
66	как видно из	1	1
67	и том же	1	1
68	этот вопрос был	1	1
69	как будто бы	2	1
70	в отличие от	3	1
71	и в этом	3	1
72	т е с	1	1
73	сомнений в том	1	1
74	приходит к выводу	1	1
75	не только как	3	1
76	самом деле как	1	1
77	т е на	1	1
78	но вместе с	2	1
79	потому что она	1	1
80	во всяком случае	3	1
81	в одно целое	1	1
82	в целом ряде	2	1
83	представляют собой не	1	1
84	так же как	1	1
85	и в том	3	1
86	направление в изучении	1	1
87	мы уже знаем	1	1
88	в одном и	1	1
89	в русском языке	1	1
90	об этом сообщает	1	1
91	к этому времени	2	1
92	и что следовательно	1	1
93	никак не может	1	1
94	с тем что	3	1
95	вопрос о том	5	1
96	можно сказать что	3	1
97	первой половине xix	1	1
98	одного и того	2	1
99	во второй половине	2	1
100	в этих случаях	2	1
101	у разных народов	1	1
102	как мы уже	1	1
103	собой не что	1	1
104	второй половине xix	1	1
105	быть и не	1	1
106	только тогда когда	1	1
107	как мы знаем	1	1
108	и объяснить его	1	1
109	в данном случае	4	1
110	как мы видели	2	1
