N	2gram	Tiupa_Narr_1	PoTuStor
1	может быть	25	17
2	и в	19	16
3	и пр	1	12
4	в этом	17	9
5	таким образом	1	9
6	и только	2	9
7	мы можем	1	9
8	прежде всего	4	9
9	и с	4	8
10	точки зрения	10	8
11	и его	5	8
12	не может	10	8
13	совершенно не	2	8
14	с его	6	7
15	не только	32	7
16	сказать что	4	7
17	самом деле	2	6
18	при этом	9	6
19	с точки	2	6
20	для него	2	6
21	и к	1	6
22	еще не	7	5
23	в чем	1	5
24	отношение к	2	5
25	все эти	2	5
26	ни в	3	5
27	нуждается в	5	5
28	в него	1	5
29	как бы	4	5
30	на самом	1	4
31	и ее	2	4
32	и на	3	4
33	отнюдь не	5	4
34	и наконец	1	4
35	но в	6	4
36	в этой	5	4
37	в нем	4	4
38	и может	1	4
39	его в	2	4
40	в один	1	4
41	мысли и	1	4
42	как мы	3	4
43	с ее	3	4
44	так и	9	4
45	можно сказать	5	4
46	в его	9	4
47	с ними	1	4
48	только в	4	4
49	и даже	3	4
50	но и	23	4
51	и не	20	4
52	и все	2	4
53	хотя бы	4	4
54	отношения к	2	3
55	едва ли	1	3
56	во всех	1	3
57	в общем	1	3
58	и есть	1	3
59	и как	5	3
60	на две	1	3
61	их в	1	3
62	на этом	1	3
63	этом смысле	1	3
64	том что	14	3
65	сих пор	1	3
66	по крайней	1	3
67	в основе	5	3
68	до сих	1	3
69	и оно	1	3
70	к себе	5	3
71	те же	4	3
72	мира и	2	3
73	в конечном	3	3
74	с другими	1	3
75	крайней мере	1	3
76	в том	18	3
77	даже не	3	3
78	в области	2	3
79	и др	2	3
80	и потому	2	3
81	как это	6	3
82	могут быть	3	3
83	матери и	4	3
84	что в	3	3
85	а в	11	3
86	то что	11	3
87	между ними	2	3
88	жизни и	3	3
89	же как	3	2
90	в самом	1	2
91	мы уже	1	2
92	мы не	1	2
93	говорить о	2	2
94	того же	1	2
95	на них	1	2
96	между собой	2	2
97	из этих	3	2
98	совсем не	1	2
99	но как	2	2
100	конечном счете	2	2
101	нет и	2	2
102	что это	3	2
103	и через	1	2
104	он не	3	2
105	и по	1	2
106	то же	4	2
107	по своему	1	2
108	на протяжении	6	2
109	было бы	4	2
110	в них	1	2
111	как и	7	2
112	на первый	2	2
113	все и	1	2
114	возникает в	1	2
115	не менее	3	2
116	не нуждается	1	2
117	никогда не	3	2
118	сводится к	3	2
119	что на	2	2
120	все то	2	2
121	не могут	1	2
122	что оно	1	2
123	не будет	3	2
124	как не	1	2
125	только то	1	2
126	в пределах	2	2
127	по аналогии	1	2
128	быть может	2	2
129	и вообще	1	2
130	с ним	1	2
131	о том	6	2
132	аналогии с	1	2
133	для нас	1	2
134	что и	1	2
135	во всей	2	2
136	может иметь	1	2
137	один из	3	2
138	оно и	1	2
139	что он	6	2
140	поэтому и	1	2
141	всех его	2	2
142	со всеми	1	2
143	есть в	2	2
144	с нею	1	2
145	можно определить	1	2
146	в начале	1	2
147	цели и	1	2
148	при всей	4	2
149	у него	4	2
150	и т.п	8	2
151	в постель	1	2
152	характерно для	1	2
153	оно не	2	2
154	себя и	2	2
155	что не	4	2
156	а на	1	2
157	не на	2	2
158	в развитии	1	2
159	что мы	2	2
160	в частности	14	2
161	так же	2	2
162	в историю	1	2
163	в область	2	2
164	в мир	1	2
165	с этой	1	2
166	в свое	1	2
167	с историей	1	2
168	своей жизни	1	2
169	но это	1	2
170	и для	2	2
171	не существует	3	2
172	не удается	1	2
173	но зато	1	2
174	ни было	3	2
175	не есть	3	2
176	не знает	1	2
177	а может	1	2
178	во сне	1	2
179	можно назвать	1	2
180	они не	2	2
181	постель к	1	1
182	в дальнейшей	1	1
183	и то	1	1
184	он может	1	1
185	это и	3	1
186	жизни мы	1	1
187	некоторое преимущество	1	1
188	далее и	1	1
189	и чрезвычайно	1	1
190	в году	1	1
191	и могут	1	1
192	мы имеем	2	1
193	что если	1	1
194	мир не	1	1
195	оно есть	1	1
196	о роли	1	1
197	в ней	3	1
198	и самого	3	1
199	иное как	2	1
200	столь же	3	1
201	бы то	3	1
202	одним словом	1	1
203	но не	5	1
204	и три	1	1
205	не входит	1	1
206	с совершенно	1	1
207	иногда и	1	1
208	что они	3	1
209	первый взгляд	2	1
