N	2gram	Tiupa_Lite_1	DiskursI
1	в себе	7	19
2	при этом	19	17
3	в этом	12	16
4	как и	6	16
5	состоит в	11	16
6	и в	8	16
7	в качестве	17	16
8	может быть	13	16
9	и не	12	15
10	а не	16	14
11	отличие от	5	12
12	то есть	6	12
13	в отличие	5	12
14	и т.п	4	12
15	в частности	15	12
16	тогда как	13	11
17	но в	3	11
18	представляет собой	4	11
19	в мире	2	11
20	но и	17	11
21	со стороны	4	10
22	не только	24	10
23	том что	14	10
24	своего рода	11	10
25	так и	4	9
26	не может	5	9
27	такого рода	10	9
28	лирического субъекта	1	8
29	как в	5	8
30	в том	16	8
31	а также	5	8
32	но не	4	7
33	в данном	5	7
34	в рамках	6	7
35	в лирике	3	7
36	в нем	2	7
37	художественного письма	9	7
38	не менее	7	7
39	при всей	3	7
40	прежде всего	11	7
41	то же	5	6
42	еще не	4	6
43	с его	5	6
44	данном случае	4	6
45	себя в	6	6
46	отнюдь не	2	6
47	все же	4	6
48	по мысли	2	6
49	в своей	4	6
50	тем самым	5	6
51	по своей	3	6
52	в своих	4	6
53	и на	1	5
54	в своем	11	5
55	в противоположность	1	5
56	в то	5	5
57	коммуникативного события	7	5
58	нового времени	2	5
59	с другой	3	5
60	же время	5	5
61	что в	3	5
62	для него	2	5
63	то что	10	5
64	а с	1	5
65	я в	5	5
66	я и	7	4
67	в рассказе	1	4
68	и то	2	4
69	разумеется не	1	4
70	по отношению	3	4
71	в этой	4	4
72	роль в	2	4
73	человека в	1	4
74	с позиции	2	4
75	в оде	1	4
76	в основе	3	4
77	потому что	3	4
78	этом отношении	2	4
79	о том	2	4
80	в пределах	3	4
81	одного из	3	4
82	с одной	2	4
83	одно из	3	4
84	в одном	1	4
85	не сводится	3	4
86	картину мира	1	4
87	одной стороны	2	4
88	художественного целого	2	4
89	как бы	7	4
90	не является	2	4
91	точки зрения	6	4
92	к этому	1	4
93	отношению к	2	4
94	можно назвать	1	4
95	также и	3	3
96	например в	3	3
97	в становлении	1	3
98	жизненной позиции	1	3
99	столь же	4	3
100	к жизни	1	3
101	перед нами	1	3
