N	2gram	Losev_Dial_1	Hudozhes
1	и в	18	28
2	том что	9	19
3	в ее	1	18
4	и не	30	18
5	в том	9	15
6	а не	14	14
7	в этом	12	13
8	не в	6	13
9	о том	4	12
10	перед нами	1	11
11	не только	13	11
12	при этом	1	11
13	как и	2	11
14	в его	3	11
15	уже не	2	10
16	в себе	11	9
17	но и	7	9
18	так и	9	8
19	между тем	1	8
20	что он	11	8
21	себя в	1	8
22	в жизни	1	8
23	в душе	1	8
24	может быть	17	8
25	о чем	2	8
26	я не	5	7
27	казалось что	1	7
28	что она	7	7
29	в мире	2	7
30	об этом	4	7
31	к тому	4	7
32	в частности	2	7
33	как это	4	7
34	и все	3	7
35	с ним	6	7
36	жизни в	1	7
37	я и	1	6
38	в котором	4	6
39	то же	10	6
40	не было	6	6
41	и с	5	6
42	в своей	2	6
43	в то	6	6
44	если бы	12	6
45	можно сказать	6	6
46	это не	9	6
47	а в	5	6
48	то что	13	6
49	жизни и	3	6
50	в этой	1	5
51	как в	2	5
52	в самом	3	5
53	что это	11	5
54	не могла	1	5
55	в своем	5	5
56	не менее	2	5
57	у него	1	5
58	никогда не	9	5
59	ничего не	17	5
60	и его	1	5
61	она не	6	5
62	и сам	1	5
63	его жизни	1	5
64	только на	3	5
65	для него	2	5
66	наряду с	1	5
67	как бы	11	5
68	да и	6	5
69	что в	13	5
70	и другие	1	5
71	а между	1	4
72	и т	21	4
73	но не	4	4
74	то в	7	4
75	он не	3	4
76	и уже	1	4
77	тем не	1	4
78	для нее	2	4
79	тому что	3	4
80	же время	4	4
81	как будто	1	4
82	и о	3	4
83	того чтобы	1	4
84	вслед за	2	4
85	что они	3	4
86	только в	3	4
87	в качестве	2	4
88	что и	3	4
89	как раз	4	4
90	для того	2	4
91	говорит о	5	4
92	превращается в	1	4
93	то и	2	4
94	не может	12	4
95	у вас	1	4
96	о своем	2	4
97	бы и	2	4
98	была бы	3	3
99	чтобы не	2	3
100	и казалось	1	3
101	по преимуществу	1	3
102	по его	1	3
103	на себя	1	3
104	и он	5	3
105	в ней	3	3
106	но при	1	3
107	еще не	2	3
108	столь же	1	3
109	со стороны	2	3
110	следующим образом	1	3
111	бы не	1	3
112	как он	4	3
113	в нем	16	3
114	можно было	5	3
115	что все	1	3
116	мы уже	1	3
117	с другими	2	3
118	было бы	12	3
119	в них	3	3
120	несмотря на	10	3
121	мы с	1	3
122	в этих	5	3
123	этом и	1	3
