N	3gram	Propp_Isto_7	PoTuStor
1	с точки зрения	1	6
2	до сих пор	2	3
3	не может быть	3	3
4	может быть это	1	3
5	в большинстве случаев	1	3
6	и может быть	1	2
7	нам кажется что	1	2
8	друг на друга	1	2
9	так же как	4	2
10	в самом деле	1	2
11	о том что	5	2
12	уже знаем что	2	1
13	мы здесь имеем	2	1
14	а иногда и	1	1
15	это вытекает из	1	1
16	мы имеем в	4	1
17	в нем и	1	1
18	мы можем коснуться	1	1
19	то же самое	1	1
20	же как и	1	1
21	бы то ни	1	1
22	и та же	1	1
23	право на престол	1	1
24	совершенно так же	1	1
25	можно было бы	1	1
26	с этой точки	3	1
27	вместе с тем	1	1
28	так как он	2	1
29	отношение к отцу	1	1
30	в данном случае	3	1
31	то ни было	1	1
32	с одной стороны	4	1
33	в связи с	1	1
34	здесь имеем дело	1	1
35	имеем дело с	1	1
36	может быть сделан	1	1
37	в этом и	2	1
38	и она не	1	1
39	же самое и	1	1
40	в том что	4	1
41	на вопрос о	1	1
42	этой точки зрения	3	1
43	мы видим и	3	1
44	мы не можем	2	1
45	так и в	2	1
46	одна и та	1	1
47	по его мнению	1	1
48	мы знаем что	1	1
49	по женской линии	1	1
50	таким образом и	1	1
51	и что он	1	1
52	но мы уже	1	1
53	мы уже знаем	3	1
54	на первый взгляд	4	1
55	есть ли у	1	1
56	мы увидим что	2	1
57	что мы здесь	1	1
