N	2gram	Tiupa_Vved_1	BTomashe
1	у нас	1	3
2	и не	12	2
3	все это	1	2
4	в ней	4	2
5	можно было	2	2
6	крайней мере	1	1
7	же не	1	1
8	говорить о	2	1
9	будто бы	3	1
10	об этом	4	1
11	и в	13	1
12	слова иначе	1	1
13	не вполне	3	1
14	и о	1	1
15	в речи	2	1
16	что все	1	1
17	с другой	5	1
18	в своей	5	1
19	на самом	4	1
20	как будто	4	1
21	не следует	3	1
22	и нет	1	1
23	было бы	4	1
24	все же	6	1
25	всяком случае	1	1
26	а о	1	1
27	свести к	1	1
28	никак не	2	1
29	такое определение	1	1
30	между ними	1	1
31	словесного творчества	1	1
32	точке зрения	1	1
33	было и	1	1
34	еще не	7	1
35	и на	3	1
36	в пределах	2	1
37	должна быть	2	1
38	в значительной	1	1
39	забывать что	1	1
40	прежде всего	7	1
41	в данном	13	1
42	так и	8	1
43	о них	3	1
44	не было	2	1
45	о художественном	1	1
46	далеко не	4	1
47	не о	2	1
48	до конца	3	1
49	не со	1	1
50	а не	15	1
51	что в	3	1
52	в области	3	1
53	другой стороны	2	1
54	также не	1	1
55	и ее	1	1
56	не все	2	1
57	по крайней	1	1
58	отнюдь не	7	1
59	таким образом	4	1
60	и более	3	1
61	и потому	1	1
62	не только	20	1
63	значительной степени	1	1
64	во всяком	1	1
