N	4gram	Tiupa_Lite_3	Narrotol
1	состоит в том что	1	4
2	в то же время	7	3
3	с одной стороны и	2	1
4	выражение и продукт социального	1	1
5	едва ли не наиболее	1	1
6	слово есть выражение и	1	1
7	как раз в том	1	1
8	себя в другом и	1	1
9	и продукт социального взаимодействия	1	1
10	не что иное как	1	1
11	ком или о чем	1	1
12	с этой точки зрения	1	1
13	социального взаимодействия трех говорящего	1	1
14	о чем говорят героя	1	1
15	продукт социального взаимодействия трех	1	1
16	читателя и того о	1	1
17	только по отношению к	1	1
18	или о чем говорят	1	1
19	особое место в этой	1	1
20	в той или иной	1	1
21	взаимодействия трех говорящего автора	1	1
22	к жизни в целом	1	1
23	начинается с того что	1	1
24	того о ком или	1	1
25	есть выражение и продукт	1	1
26	о ком или о	1	1
27	и того о ком	1	1
