N	3gram	Bakhtin_KF_1	DiskursI
1	в том что	2	13
2	по отношению к	22	9
3	то же время	2	4
4	в то же	2	3
5	и как бы	1	3
6	той или иной	2	3
7	и т.п но	1	3
8	не в том	1	3
9	в свою очередь	1	3
10	не может быть	11	3
11	могла бы быть	3	2
12	то же самое	1	2
13	и того же	1	2
14	но отнюдь не	1	2
15	в значительной степени	1	2
16	в основе своей	1	2
17	одного и того	1	2
18	только в том	1	2
19	а не в	2	2
20	в соответствии с	2	2
21	может быть в	3	1
22	это отнюдь не	1	1
23	не было и	1	1
24	в том случае	1	1
25	в большинстве случаев	1	1
26	возможна только в	1	1
27	событие не есть	1	1
28	то что и	1	1
29	на этом пути	1	1
30	именно в этой	1	1
31	времени и пространства	1	1
32	в котором он	3	1
33	отношение к ценности	1	1
34	и не должно	1	1
35	пространственную и временную	1	1
36	в целом и	2	1
37	в этом смысле	3	1
38	и в то	1	1
39	к той же	1	1
40	никогда не было	1	1
41	не может стать	1	1
42	в противном случае	1	1
43	дело не в	1	1
44	оно лежит в	1	1
45	хотя бы и	1	1
46	тем или иным	1	1
47	то все же	1	1
48	ее а не	1	1
49	если бы я	1	1
50	мира в котором	2	1
51	только по отношению	2	1
52	потому что в	1	1
53	заключать в себе	1	1
54	того или иного	3	1
55	смысле можно говорить	1	1
56	на самом деле	3	1
57	и может быть	2	1
58	на то что	1	1
59	во всех его	1	1
60	он не может	1	1
61	нет и не	1	1
62	к чему не	2	1
63	в конечном счете	1	1
64	имеют дело с	1	1
65	в известном смысле	1	1
66	ни к чему	2	1
67	в этом последнем	1	1
68	теоретического познания в	1	1
69	в другом случае	1	1
70	не было он	1	1
71	с точки зрения	9	1
72	дело в том	1	1
73	на том что	1	1
74	всему что не	1	1
75	вместе с тем	1	1
76	во всех этих	2	1
77	ту или иную	1	1
78	тем не менее	2	1
79	в нем совершенно	1	1
80	а не как	1	1
81	она могла бы	2	1
82	во всяком случае	1	1
83	чему не обязывающий	1	1
84	и вследствие этого	1	1
