N	2gram	Bakhtin_KF_1	Literetu
1	а не	17	20
2	и в	24	19
3	может быть	45	17
4	то же	5	12
5	и не	26	11
6	как и	5	10
7	в том	6	10
8	лирический герой	1	10
9	и т.п	1	10
10	но и	9	10
11	в этом	14	9
12	в то	3	9
13	в мире	6	9
14	же время	2	9
15	не может	27	9
16	не только	5	8
17	и даже	1	8
18	слова и	1	7
19	том что	4	7
20	так и	2	7
21	и т.д	2	7
22	я в	1	7
23	то что	7	7
24	и на	3	6
25	в себе	21	6
26	при этом	4	6
27	не менее	3	6
28	себя в	8	6
29	я не	6	5
30	столь же	1	5
31	но не	12	5
32	конечном счете	1	5
33	в принципе	2	5
34	он не	6	5
35	одна из	1	5
36	в конечном	1	5
37	в качестве	2	5
38	то есть	1	5
39	того что	3	5
40	вместе с	1	5
41	я и	2	4
42	мы не	3	4
43	того же	1	4
44	по отношению	26	4
45	отнюдь не	6	4
46	едва ли	2	4
47	для него	8	4
48	точки зрения	12	4
49	не в	12	4
50	в области	2	4
51	в ней	3	4
52	в его	40	4
53	один из	2	4
54	и других	2	4
55	тем что	3	4
56	прежде всего	2	4
57	в искусстве	1	4
58	жизни в	5	4
59	со мной	4	4
60	жизни и	8	4
61	что в	4	4
62	причастности к	1	4
63	и то	2	3
64	тем же	1	3
65	как я	1	3
66	и он	1	3
67	во всех	11	3
68	как к	2	3
69	эстетической деятельности	1	3
70	в этой	2	3
71	в нем	28	3
72	всех своих	4	3
73	но лишь	6	3
74	перестает быть	1	3
75	такой же	1	3
76	в их	8	3
77	с точки	9	3
78	тем самым	4	3
79	никогда не	5	3
80	ничего не	3	3
81	сознания в	2	3
82	и его	17	3
83	в себя	7	3
84	всей своей	2	3
85	не с	1	3
86	и с	1	3
87	в другом	3	3
88	но с	1	3
89	а в	4	3
90	так как	1	3
91	себе и	3	3
92	и др	1	3
93	со стороны	7	3
94	и жизни	4	3
95	эстетического субъекта	1	3
96	в данном	2	3
97	а именно	1	3
98	но это	6	3
99	и для	9	3
100	и как	2	3
101	что он	2	3
102	отношению к	22	3
103	себя как	2	2
104	ту же	1	2
105	и до	1	2
106	и за	2	2
107	той же	1	2
108	на первом	2	2
109	с ее	2	2
110	жизни как	5	2
111	слово не	3	2
112	но как	5	2
113	в истории	1	2
114	все же	5	2
115	и наконец	1	2
116	и к	1	2
117	но в	5	2
118	в целом	10	2
119	жизнь как	6	2
120	в нашем	1	2
121	отказа от	1	2
122	культуры как	1	2
123	на этом	1	2
124	в каждом	3	2
125	а затем	1	2
126	и иных	1	2
127	в жизни	2	2
128	но уже	1	2
129	нет в	4	2
130	все равно	1	2
131	соответствии с	2	2
132	с тем	2	2
133	а за	1	2
134	он и	2	2
135	как бы	9	2
136	художественного творчества	1	2
137	не к	1	2
138	мысли и	1	2
139	что я	5	2
140	тем не	2	2
141	не раз	1	2
142	не по	4	2
143	в основе	5	2
144	но только	1	2
145	субъекта не	1	2
146	бытия не	2	2
147	могут быть	3	2
148	для того	3	2
149	для себя	5	2
