N	2gram	Berdyaev_M_1	Myslijsy
1	потому что	16	49
2	для нас	3	31
3	то есть	3	30
4	и в	28	24
5	в душе	1	23
6	может быть	30	23
7	то что	5	20
8	и не	11	19
9	в том	6	18
10	а не	25	18
11	что в	10	16
12	не только	29	15
13	не в	16	13
14	было бы	10	13
15	но не	8	12
16	не может	28	12
17	мы не	1	11
18	вместе с	6	11
19	если бы	2	11
20	что и	4	11
21	что мы	1	11
22	только в	6	11
23	как в	2	10
24	в себе	7	10
25	для него	11	10
26	так что	1	10
27	так как	3	10
28	в нем	13	9
29	вовсе не	1	9
30	то и	1	9
31	но и	25	9
32	как бы	2	9
33	и на	6	8
34	в этом	20	8
35	том что	3	8
36	могут быть	2	8
37	под влиянием	1	8
38	а в	4	8
39	во всех	1	7
40	с этим	3	7
41	как и	5	7
42	всяком случае	1	7
43	зрения и	1	7
44	не могут	5	7
45	быть может	7	7
46	прежде всего	10	7
47	тем что	4	7
48	душевной жизни	2	7
49	того что	7	7
50	во всяком	1	7
51	и т	1	6
52	между двумя	1	6
53	и как	2	6
54	в состоянии	1	6
55	в то	2	6
56	не имеет	3	6
57	есть только	2	6
58	между тем	1	6
59	и только	1	6
60	в одном	1	6
61	не было	18	6
62	в ряду	1	6
63	не есть	9	6
64	в свою	2	6
65	что они	1	5
66	все же	2	5
67	уже в	4	5
68	бы не	2	5
69	есть не	4	5
70	не от	1	5
71	не менее	1	5
72	и наоборот	1	5
73	с ним	2	5
74	так и	1	5
75	о том	2	5
76	бы ни	1	5
77	от того	1	5
78	в них	4	5
79	для того	2	5
80	что не	1	5
81	и их	3	5
82	только для	1	5
83	в которой	6	5
84	к другому	1	4
85	в самом	11	4
86	время как	2	4
87	еще не	1	4
88	одним словом	1	4
89	но в	7	4
90	уже не	4	4
91	только один	2	4
92	как он	2	4
93	заключает в	3	4
94	с тем	9	4
95	в котором	8	4
96	место в	2	4
97	том смысле	2	4
98	сих пор	2	4
99	стало быть	1	4
100	они не	1	4
101	то время	2	4
102	так в	1	4
103	никогда не	14	4
104	и что	2	4
105	свет и	2	4
106	что он	10	4
107	и вместе	4	4
108	до сих	2	4
109	влияние на	1	4
110	души и	1	4
111	если не	1	4
112	в человеке	8	4
113	от него	4	4
114	во время	1	4
115	мысли о	2	4
116	вряд ли	3	3
117	человека и	14	3
118	и то	1	3
119	с таким	1	3
120	но она	1	3
121	то это	1	3
122	если в	1	3
123	относится к	2	3
124	которые не	1	3
125	мы чувствуем	1	3
126	во многих	1	3
127	имеет для	1	3
128	что без	2	3
129	с чем	1	3
130	что она	1	3
131	слова а	1	3
132	не как	4	3
133	отношений между	1	3
134	в человеческой	4	3
135	человека в	13	3
136	его не	3	3
137	них не	1	3
138	на все	1	3
139	его в	3	3
140	от одного	1	3
141	это не	5	3
142	кажется что	1	3
143	рядом с	1	3
144	в этих	4	3
145	себе в	1	3
146	но во	1	3
147	быть не	2	3
148	бы быть	1	3
149	в ней	15	3
150	мысли в	1	3
151	в каком	2	3
152	только от	1	3
153	оно не	1	3
154	мог бы	4	3
155	находится в	1	3
156	от них	1	3
157	и во	2	3
158	и у	2	3
159	одно из	3	3
160	не так	3	3
161	т п	1	3
162	а от	1	3
163	есть явление	1	3
164	в самой	7	3
165	мы говорим	1	3
166	но это	1	3
167	и для	2	3
168	и от	2	3
169	и человек	2	3
170	то не	1	3
171	и все	10	3
172	или нет	1	3
173	все что	2	3
174	также что	1	2
175	самом деле	1	2
176	на самом	1	2
177	и есть	14	2
178	которое может	1	2
179	отношения к	4	2
180	человеческой природы	20	2
181	не во	1	2
182	вопрос о	2	2
183	с его	3	2
184	тем как	1	2
185	то мы	1	2
186	не все	2	2
187	по отношению	2	2
188	за пределы	4	2
189	показать в	1	2
190	что во	1	2
191	его на	1	2
192	все эти	2	2
193	сказать в	1	2
194	всех этих	1	2
195	и по	4	2
196	на этом	3	2
197	ни был	1	2
198	в каждом	1	2
199	в жизни	3	2
200	ни с	4	2
201	должно быть	3	2
202	что такое	1	2
203	не столько	1	2
204	но он	9	2
205	не должно	1	2
206	что есть	5	2
207	если и	1	2
208	без участия	1	2
209	и его	9	2
210	есть прежде	1	2
211	сказать что	2	2
212	что ему	1	2
213	знать что	1	2
214	для кого	1	2
215	того чтобы	2	2
216	все свои	1	2
217	явление совершенно	1	2
218	к ней	4	2
219	на природу	2	2
220	во всем	1	2
221	не знали	1	2
222	у нас	5	2
223	когда мы	2	2
224	его с	2	2
225	как для	2	2
226	существует только	1	2
227	и это	12	2
228	было в	1	2
229	может в	1	2
230	или от	2	2
231	и поэтому	1	2
232	нас в	1	2
233	это было	1	2
234	вообще и	1	2
235	движения в	2	2
236	один из	4	2
237	что только	1	2
238	мы видим	2	2
239	в обществе	1	2
240	с нею	1	2
241	в нашей	1	2
242	нужно знать	1	2
243	у него	17	2
244	связано с	2	2
245	к которому	1	2
246	себя и	3	2
247	света и	2	2
248	у человека	5	2
249	не на	1	2
250	было для	1	2
251	для их	1	2
252	имея в	1	2
253	с первого	1	2
254	так же	1	2
255	ко всем	3	2
256	и потому	10	2
257	влияния на	1	2
258	она есть	1	2
259	можно принять	1	2
260	что сознание	1	2
261	все это	6	2
262	сознании и	1	2
263	из себя	1	2
264	в его	9	2
265	а к	1	2
266	бы в	2	2
267	хотя бы	3	2
268	что вообще	1	2
269	отношении к	2	2
270	но если	3	2
271	одного к	1	2
272	даже и	2	2
273	к этому	2	2
274	можно назвать	1	2
275	я и	1	1
276	ту же	1	1
277	одним из	2	1
278	отношение к	4	1
279	чтобы не	2	1
280	с новыми	2	1
281	и действительно	1	1
282	по отдельным	1	1
283	тех же	1	1
284	переход от	1	1
285	и до	1	1
286	должна быть	6	1
287	организм не	1	1
288	мы уже	1	1
289	из всех	1	1
290	есть единственное	2	1
291	уже более	1	1
292	движение в	2	1
293	не была	3	1
294	человеку его	2	1
295	принадлежит к	1	1
296	оно есть	1	1
297	них человек	1	1
298	себе что	1	1
299	не иметь	2	1
300	на нем	1	1
301	в отличие	1	1
302	хотя с	1	1
303	будет видно	1	1
304	близко к	1	1
305	если так	1	1
306	не без	1	1
307	в ее	3	1
308	друг к	1	1
309	всякий раз	1	1
310	в сторону	1	1
311	для других	1	1
312	ответ на	1	1
313	должны были	1	1
314	он будет	1	1
315	себе и	2	1
316	быть так	1	1
317	отличие от	1	1
318	человек может	2	1
319	в истории	2	1
320	в одной	1	1
321	как к	1	1
322	ней в	1	1
323	его со	1	1
324	и наконец	1	1
325	духа и	4	1
326	он соединял	1	1
327	в противоположность	1	1
328	и свою	1	1
329	от этого	2	1
330	в этот	2	1
331	так человек	2	1
332	открывает в	1	1
333	мира то	1	1
334	бы и	3	1
335	и исчезает	1	1
336	есть для	1	1
337	он в	2	1
338	за этим	1	1
339	с их	2	1
340	человеке и	8	1
341	его и	1	1
342	и кто	1	1
343	имеем в	1	1
344	человек не	10	1
345	этим связано	1	1
346	он не	24	1
347	на том	3	1
348	он должен	3	1
349	к одному	1	1
350	не к	4	1
351	страдания и	2	1
352	своего пути	1	1
353	на земле	2	1
354	из него	1	1
355	его от	1	1
356	прежде чем	2	1
357	значительной степени	1	1
358	смысле в	2	1
359	как они	1	1
360	же не	1	1
361	различие между	2	1
362	том случае	1	1
363	об этом	1	1
364	и с	3	1
365	к другу	1	1
366	теми которые	1	1
367	лишь в	6	1
368	входит в	2	1
369	делает его	1	1
370	и истина	3	1
371	определяется тем	1	1
372	этим именем	1	1
373	вопрос и	2	1
374	основывается на	1	1
375	оно имеет	1	1
376	нужно искать	2	1
377	чем в	2	1
378	в царстве	1	1
379	же есть	1	1
380	лучше всего	1	1
381	можно найти	1	1
382	а как	2	1
383	в такой	1	1
384	и без	1	1
385	в их	4	1
386	прийти к	2	1
387	все и	1	1
388	в которых	4	1
389	мысли и	2	1
390	что я	1	1
391	ее он	1	1
392	всегда остается	2	1
393	поэтому в	1	1
394	мир и	1	1
395	и эти	1	1
396	и более	1	1
397	только те	1	1
398	природу и	2	1
399	этот мир	2	1
400	есть всегда	1	1
401	сам он	1	1
402	и вся	1	1
403	знал что	1	1
404	между людьми	1	1
405	эта мысль	1	1
406	человека есть	3	1
407	с которой	2	1
408	к этим	2	1
409	или лучше	1	1
410	в самых	1	1
411	он мог	2	1
412	ничего не	3	1
413	находятся в	1	1
414	с одним	1	1
415	показывает как	2	1
416	чем например	1	1
417	по своей	2	1
418	не нужен	1	1
419	всякий кто	1	1
420	которая не	1	1
421	что связывает	1	1
422	не потому	1	1
423	к себе	1	1
424	и сам	1	1
425	про себя	1	1
426	отличается от	2	1
427	к тому	3	1
428	бы он	1	1
429	он никогда	2	1
430	на это	1	1
431	него как	2	1
432	должен быть	2	1
433	и самое	1	1
434	из всего	1	1
435	не могло	1	1
436	лучше сказать	1	1
437	внутреннюю жизнь	1	1
438	ожидать от	1	1
439	для человеческого	3	1
440	на опыте	1	1
441	формальные и	1	1
442	сознания и	1	1
443	к тем	1	1
444	по сравнению	2	1
445	был не	2	1
446	и утверждение	1	1
447	в содержании	1	1
448	с человеком	1	1
449	истине но	1	1
450	все его	3	1
451	найти нельзя	1	1
452	каждый раз	1	1
453	человек есть	4	1
454	и та	1	1
455	при котором	1	1
456	одного из	1	1
457	от своего	1	1
458	любви к	7	1
459	самому себе	2	1
460	своему значению	2	1
461	заключается в	1	1
462	связанной с	1	1
463	переходит в	15	1
464	на одном	1	1
465	его мысль	2	1
466	все в	6	1
467	даже для	1	1
468	ее как	1	1
469	ней все	1	1
470	отлично от	1	1
471	душа получает	1	1
472	как явление	1	1
473	нас потому	1	1
474	же можно	2	1
475	к нему	7	1
476	и быть	1	1
477	была для	1	1
478	наше время	1	1
479	их жизни	1	1
480	к психологии	1	1
481	между этими	1	1
482	человека с	2	1
483	же и	1	1
484	конечно не	3	1
485	которому он	1	1
486	которой бы	1	1
487	душа его	2	1
