N	3gram	Vinokur_Vv_1	Formalny
1	с точки зрения	2	14
2	не может быть	8	14
3	на самом деле	1	12
4	в то же	5	7
5	то же время	5	7
6	во всяком случае	3	6
7	и т д	37	6
8	и т п	5	5
9	в зависимости от	1	5
10	с другой стороны	5	5
11	в самом деле	5	4
12	подобно тому как	1	4
13	в данном случае	4	4
14	в связи с	2	4
15	бы то ни	1	4
16	то ни было	1	4
17	для того чтобы	21	4
18	как мы знаем	1	4
19	потому что он	2	3
20	по отношению к	4	3
21	то же самое	2	3
22	в этом отношении	3	3
23	вместе с тем	3	3
24	и не могут	2	3
25	в том что	12	3
26	но уже в	1	2
27	в этом смысле	10	2
28	то или иное	1	2
29	и со стороны	1	2
30	в отличие от	3	2
31	т е с	1	2
32	только то что	1	2
33	дело в том	2	2
34	вовсе не в	2	2
35	между ними и	1	2
36	к тому что	1	2
37	тем не менее	8	2
38	дело не в	1	2
39	мы уже знаем	1	2
40	смысле этого слова	2	2
41	в конце концов	2	2
42	как мы видели	2	2
43	и того же	2	1
44	а потому что	1	1
45	что в этом	2	1
46	какой бы то	1	1
47	в действительности дело	1	1
48	имеем в виду	1	1
49	и составляет содержание	1	1
50	предполагает ту или	1	1
51	в настоящее время	1	1
52	т е не	2	1
53	свое выражение в	1	1
54	в том же	1	1
55	научной работы но	1	1
56	жизни и творчества	2	1
57	в этом случае	6	1
58	что же касается	2	1
59	в своей работе	1	1
60	не вытекает из	1	1
61	в том или	1	1
62	в лучшем случае	1	1
63	хотя бы и	2	1
64	это не просто	1	1
65	сам по себе	1	1
66	каждой из этих	1	1
67	потому что и	1	1
68	из того что	1	1
69	в собственном смысле	2	1
70	с тем что	3	1
71	в той мере	4	1
72	том или ином	1	1
73	как некоторое единство	1	1
74	в хорошем смысле	1	1
75	с этой точки	1	1
76	именно в этом	3	1
77	до сих пор	5	1
78	и тем не	3	1
79	ту или иную	1	1
80	так или иначе	4	1
81	и тогда когда	1	1
82	если же мы	1	1
83	в значительной степени	1	1
84	от того что	1	1
85	чтобы убедиться в	1	1
86	т е в	4	1
87	тот факт что	1	1
88	так же как	1	1
89	не потому что	1	1
90	между ними в	1	1
91	не только в	4	1
92	в самом процессе	1	1
93	только в этом	1	1
94	с одной стороны	4	1
95	а не иначе	1	1
96	можно говорить о	1	1
97	все это и	1	1
98	отсюда следует что	1	1
99	так а не	1	1
100	о языке как	1	1
101	т е на	1	1
102	не в том	2	1
103	т д таким	1	1
104	в самое понятие	1	1
105	о чем говорится	3	1
106	собственном смысле слова	1	1
107	а не только	1	1
108	о котором мы	1	1
109	мере в какой	4	1
110	и той же	2	1
111	все то что	1	1
112	этой точки зрения	1	1
113	о том что	12	1
114	того или иного	1	1
115	в частности в	1	1
116	языка и его	2	1
117	можно было бы	3	1
118	хорошем смысле этого	1	1
119	и никогда не	1	1
120	с самого начала	1	1
121	и в самом	3	1
122	зависимости от того	1	1
123	не соглашаться с	1	1
124	что же собственно	1	1
125	так как эта	1	1
126	той или иной	1	1
127	но все же	3	1
128	можно сказать что	3	1
129	мы имеем в	1	1
130	одного и того	2	1
131	в этих случаях	2	1
132	вовсе не вытекает	1	1
133	одной и той	2	1
134	не входят в	1	1
135	т е о	1	1
136	из необходимых условий	1	1
137	именно это понимание	1	1
138	тех или иных	3	1
139	сама по себе	3	1
140	и в том	3	1
141	одно из необходимых	1	1
142	той мере в	4	1
143	д таким образом	1	1
