N	4gram	Vinokur_Ku_2	StatiiOP
1	дело в том что	1	4
2	в той мере в	1	2
3	достаточно для того чтобы	1	2
4	той мере в какой	1	2
5	бы то ни было	1	2
6	в зависимости от степени	1	1
7	уже о том что	1	1
8	заключается в том что	1	1
9	только потому что они	1	1
10	говоря уже о том	1	1
11	и т п в	2	1
12	дело не в том	1	1
13	только потому что оно	1	1
14	точно так же как	2	1
15	то обстоятельство что в	1	1
16	было бы отрицать что	1	1
17	мере в какой они	1	1
18	иметь в виду что	1	1
19	в то же время	3	1
20	не говоря уже о	2	1
21	именно то обстоятельство что	1	1
22	и в том что	1	1
