N	2gram	Nazirov_Tr_1	Formalny
1	т е	1	34
2	и в	18	24
3	в его	3	23
4	прежде всего	4	22
5	и не	7	20
6	так и	5	18
7	не может	5	16
8	в этом	9	15
9	в нем	4	14
10	может быть	7	14
11	таким образом	1	13
12	и т	1	12
13	в своем	3	11
14	как и	5	11
15	в своей	1	11
16	не менее	1	11
17	должно быть	3	11
18	социальной жизни	1	11
19	в ней	1	10
20	то же	5	10
21	и ее	2	10
22	и его	6	10
23	и их	1	10
24	а не	1	10
25	в то	5	9
26	и потому	1	9
27	все это	4	9
28	и на	7	8
29	как в	3	8
30	и с	7	8
31	лишь в	1	8
32	не в	2	8
33	же время	6	8
34	в ее	2	8
35	именно в	1	8
36	то что	4	8
37	должна быть	1	7
38	с ее	3	7
39	не только	8	7
40	до конца	2	7
41	и от	1	7
42	но и	4	7
43	еще не	4	6
44	самом деле	1	6
45	отнюдь не	3	6
46	в целом	4	6
47	все эти	3	6
48	в этой	4	6
49	как бы	7	6
50	она не	1	6
51	и здесь	2	6
52	в том	2	6
53	как это	3	6
54	и все	4	6
55	хотя бы	1	5
56	во всех	1	5
57	но в	6	5
58	в самом	2	5
59	при этом	3	5
60	по себе	1	5
61	и до	2	5
62	как мы	1	5
63	в литературе	1	5
64	того что	1	5
65	только на	1	5
66	и др	1	5
67	на западе	1	4
68	с его	2	4
69	в истории	1	4
70	в которой	1	4
71	не как	1	4
72	не из	1	4
73	в мире	3	4
74	друг друга	2	4
75	при таком	1	4
76	никогда не	2	4
77	всяком случае	1	4
78	с одной	1	4
79	т п	1	4
80	в связи	1	4
81	в частности	2	4
82	с этой	1	4
83	что в	4	4
84	к этой	1	4
85	так же	4	4
86	во всяком	1	4
87	это и	1	3
88	но не	1	3
89	значение и	1	3
90	в общем	1	3
91	отношение к	2	3
92	все же	5	3
93	и как	3	3
94	и наконец	1	3
95	в себе	4	3
96	жизнь как	1	3
97	если он	1	3
98	их отношения	1	3
99	человек не	1	3
100	так сказать	1	3
101	он не	2	3
102	перестает быть	1	3
103	роли в	1	3
104	на все	1	3
105	его в	2	3
106	в них	1	3
107	тем самым	3	3
108	связи с	1	3
109	к тому	2	3
110	литературы на	1	3
111	жизнь и	3	3
112	бы в	1	3
113	говорит он	1	3
114	один из	3	3
115	для него	3	3
116	не для	1	3
117	в особенности	1	3
118	и даже	4	3
119	в области	1	3
120	не было	1	3
121	его как	1	3
122	в россии	1	3
123	смысле этого	1	3
124	ничем не	2	3
125	этого слова	1	3
126	в основном	3	3
127	но это	4	3
128	она должна	2	3
129	в западноевропейском	1	3
130	с помощью	1	3
131	что он	6	3
132	в применении	1	2
133	чтобы не	1	2
134	применении к	1	2
135	и это	2	2
