N	2gram	Ircho_Kome_1	StatiiOP
1	и в	22	29
2	том что	12	27
3	в том	11	27
4	в этом	3	21
5	не только	10	19
6	но и	11	19
7	что в	6	19
8	о том	8	17
9	в трагедии	2	17
10	в и	2	13
11	в его	5	13
12	что он	6	13
13	между прочим	2	12
14	в которой	6	11
15	то что	2	11
16	все это	5	11
17	таким образом	8	10
18	к тому	6	10
19	т е	13	10
20	и т	9	9
21	в своем	1	9
22	он не	3	9
23	потому что	5	9
24	так и	5	9
25	этом отношении	3	9
26	и не	8	9
27	как на	1	9
28	но в	4	8
29	как раз	3	8
30	по поводу	4	8
31	в ней	1	7
32	в самом	2	7
33	так например	1	7
34	но все	1	7
35	в г	11	7
36	в котором	4	7
37	тому что	1	7
38	того как	3	7
39	для того	1	7
40	с тем	1	7
41	вместе с	2	7
42	одним из	1	6
43	вопрос о	3	6
44	и на	3	6
45	все же	3	6
46	т д	4	6
47	вовсе не	2	6
48	того чтобы	1	6
49	и его	8	6
50	об этом	1	6
51	и что	1	6
52	в одном	8	6
53	до сих	2	6
54	в течение	3	6
55	г в	4	5
56	было бы	2	5
57	точки зрения	4	5
58	в русской	1	5
59	того что	1	5
60	между тем	5	5
61	в качестве	4	5
62	прежде всего	5	5
63	о чем	1	5
64	в той	1	5
65	как бы	1	5
66	сих пор	2	5
67	речь идет	3	4
68	хотя и	3	4
69	и к	1	4
70	не приходится	1	4
71	в нем	4	4
72	что у	2	4
73	в другом	4	4
74	и с	3	4
75	должен был	1	4
76	не в	6	4
77	ничего не	3	4
78	трагедии в	2	4
79	и о	3	4
80	времени и	2	4
81	после того	3	4
82	до того	1	4
83	с другой	5	4
84	именно в	4	4
85	действующих лиц	4	4
86	в частности	3	4
87	еще более	1	4
88	того времени	1	4
89	а как	1	4
90	к этому	4	4
91	же как	3	3
92	на самом	1	3
93	идет о	3	3
94	в году	3	3
95	в их	4	3
96	по его	1	3
97	хотя бы	1	3
98	и он	1	3
99	но не	2	3
100	в общем	1	3
101	как в	5	3
102	с этим	1	3
103	в полном	1	3
104	что это	1	3
105	в известном	2	3
106	тому же	6	3
107	в начале	3	3
108	из них	10	3
109	ни в	6	3
110	не мог	3	3
111	в эту	1	3
112	в этих	1	3
113	одном из	4	3
114	но он	2	3
115	по себе	1	3
116	не менее	3	3
117	в обоих	1	3
118	самого начала	1	3
119	одной из	3	3
120	нельзя не	2	3
121	на себя	2	3
122	и по	6	3
123	тем что	4	3
124	у нас	3	3
125	сомневаться в	1	3
126	ни у	1	3
127	с самого	1	3
128	в образе	3	3
129	и здесь	2	3
130	на вопрос	1	3
131	в пользу	1	3
132	как у	1	3
133	материал для	1	3
134	наконец в	1	3
135	но это	2	3
136	года в	1	3
137	так что	1	3
138	ни одного	1	3
139	всяком случае	2	3
140	т п	5	3
141	обращает на	1	3
142	что на	1	3
143	и даже	5	3
144	в предисловии	1	3
145	еще и	2	3
146	а с	1	3
147	до конца	2	3
148	так же	3	3
149	другой стороны	5	3
150	отношении к	1	3
151	во всяком	2	3
152	как известно	2	2
153	также и	1	2
154	по адресу	14	2
155	того же	2	2
156	такое же	1	2
157	тем же	1	2
158	из его	4	2
159	то же	6	2
160	и была	1	2
161	для своего	1	2
162	почти все	1	2
163	действующего лица	1	2
164	это время	2	2
165	при сравнении	1	2
166	бы то	2	2
167	отличие от	2	2
168	что они	4	2
169	на то	3	2
170	к сожалению	2	2
171	в истории	5	2
172	и как	3	2
173	оба раза	1	2
174	более или	1	2
175	с сюжетом	1	2
176	в этой	7	2
177	в себе	2	2
178	и те	1	2
179	как он	1	2
180	на его	5	2
181	больше всего	1	2
182	при этом	5	2
183	тем не	2	2
184	не к	2	2
185	и более	1	2
186	значительной степени	1	2
187	том же	1	2
188	то ни	2	2
189	конечно в	1	2
190	не дает	1	2
191	его в	3	2
192	это было	1	2
193	в это	1	2
194	о которых	5	2
195	как и	9	2
196	несмотря на	4	2
197	или менее	2	2
198	которую он	2	2
199	двадцатых годов	2	2
200	себя внимание	1	2
201	нас не	1	2
202	в отношении	6	2
203	в отличие	1	2
204	не представляется	1	2
205	политическом отношении	3	2
206	не раз	2	2
207	в политическом	4	2
208	не могли	1	2
209	даже в	3	2
210	но они	1	2
211	в то	10	2
212	это еще	2	2
213	и теперь	2	2
214	не может	2	2
215	не по	1	2
216	в области	2	2
217	в каком	1	2
218	или лучше	1	2
219	с и	1	2
220	в духе	1	2
221	на это	1	2
222	где он	2	2
223	и это	1	2
224	представляется возможным	1	2
225	него самого	1	2
226	и сам	3	2
227	к изданию	1	2
228	особенно в	1	2
229	свое мнение	1	2
230	еще в	5	2
231	к первому	1	2
232	он был	2	2
233	а также	4	2
234	в значительной	1	2
235	что и	4	2
236	отметить что	1	2
237	судить по	3	2
238	тоже по	1	2
239	только в	3	2
240	бы ни	1	2
241	свидетельствуют о	1	2
242	раз в	2	2
243	очевидно что	1	2
244	в конце	6	2
245	так как	4	2
246	может быть	9	2
247	в них	3	2
248	в особенности	1	2
249	со стороны	2	2
250	за пять	1	2
251	в период	2	2
252	ему не	1	2
253	обвинения в	4	2
254	и др	1	2
255	воспоминания о	1	2
256	на этот	1	2
257	его как	1	2
258	его друзья	1	2
259	мнение о	1	2
260	связь с	1	2
261	эти слова	1	2
262	должна была	2	2
263	и потому	1	2
264	как это	3	2
265	отрывок из	1	2
266	что именно	1	2
267	к своему	1	2
268	по своему	3	2
269	предисловии к	1	2
270	в данном	1	2
271	такого рода	6	2
272	в тех	3	2
273	по существу	1	2
274	это были	2	2
275	которой между	1	2
276	с этой	1	2
277	ее в	2	2
278	в первые	2	2
279	сцены в	1	2
280	в результате	4	2
281	а к	2	2
282	находим в	1	2
283	только что	2	2
284	во время	5	2
285	ни было	2	2
286	сказать что	1	2
287	совершенно не	1	2
288	с трагедией	1	2
289	и другие	1	2
290	они не	1	2
291	а между	1	1
292	берет под	1	1
293	выступление против	1	1
294	ту же	2	1
295	вокруг которого	1	1
296	зависимость от	1	1
297	сам по	1	1
298	нравов и	1	1
299	вторую половину	1	1
300	всего это	1	1
301	за все	1	1
302	это однако	2	1
303	в какой-то	1	1
304	народ на	1	1
305	высшей степени	1	1
306	в зависимости	1	1
307	той же	1	1
308	из всех	2	1
309	причем и	2	1
310	в защиту	1	1
311	мы не	3	1
312	число таких	1	1
313	новых идей	1	1
314	ссылки в	1	1
315	ответить на	1	1
316	в сущности	2	1
317	совпадает с	1	1
318	говорить о	1	1
319	эстетики и	1	1
320	нашего поэта	4	1
321	к началу	1	1
322	из того	1	1
323	ни малейшего	2	1
324	в каждой	1	1
325	думаю что	1	1
326	еще не	2	1
327	в последних	3	1
328	в чем	3	1
329	других источников	1	1
330	малейшего намека	1	1
331	при жизни	1	1
332	совсем не	2	1
333	ответ на	1	1
334	по отношению	3	1
335	в комедии	22	1
336	отношение к	3	1
337	г здесь	1	1
338	судить об	1	1
339	первые десятилетия	1	1
340	в поисках	1	1
341	чем же	2	1
342	что во	1	1
343	независимо от	2	1
344	под его	1	1
345	сцены и	1	1
346	для оценки	1	1
347	что касается	2	1
348	наиболее ярких	2	1
349	г под	1	1
350	когда он	1	1
351	целый ряд	1	1
352	времени когда	1	1
353	говорит что	1	1
354	нового и	1	1
355	и хотя	2	1
356	трагедии так	1	1
357	за собой	1	1
358	средство для	1	1
359	так или	1	1
360	представляет собой	1	1
361	в ответ	1	1
362	и насколько	1	1
363	из этих	1	1
364	с тех	1	1
365	что к	2	1
366	и тот	1	1
367	зависимости от	1	1
368	бы только	1	1
369	особое место	1	1
370	вв но	1	1
371	только один	2	1
372	когда писал	1	1
373	спустя после	1	1
374	к выводу	1	1
375	что она	1	1
376	идей и	1	1
377	не следует	2	1
378	а то	2	1
379	от которого	1	1
380	который сам	1	1
381	одному из	2	1
382	которой на	1	1
383	с именем	1	1
384	и еще	3	1
385	в первую	2	1
386	реального исторического	1	1
387	в принципе	2	1
388	к одному	1	1
389	очевидный факт	1	1
390	родовой аристократией	1	1
391	прошлого века	1	1
392	его от	1	1
393	на этом	2	1
394	они должны	1	1
395	в совершенно	1	1
396	раз против	1	1
397	же касается	1	1
398	те же	1	1
399	на этой	1	1
400	зрения на	1	1
401	обоих случаях	1	1
402	первую очередь	3	1
403	стиха в	1	1
404	известно что	4	1
405	роль в	1	1
406	и тем	2	1
407	был очень	1	1
408	для них	2	1
409	нет в	1	1
410	в высшей	1	1
411	к которым	1	1
412	на основании	3	1
413	в действии	2	1
414	и уже	1	1
415	мечтать о	1	1
416	мы видели	2	1
417	с такой	1	1
418	и богатая	1	1
419	со времени	1	1
420	такой же	2	1
421	печатное издание	1	1
422	в еще	1	1
423	сожалению не	1	1
424	но если	1	1
425	во второй	3	1
426	почти за	1	1
427	можно найти	1	1
428	ли можно	1	1
429	из лагеря	1	1
430	войну против	1	1
431	народ и	1	1
432	в город	1	1
433	был одним	1	1
434	место в	3	1
435	его современников	1	1
436	представление о	1	1
437	i с	3	1
438	в условиях	1	1
439	предположение и	1	1
440	вплоть до	1	1
441	том каким	1	1
442	и эти	1	1
443	и почти	1	1
444	заглядывали в	1	1
445	в трагедиях	2	1
446	намека на	1	1
447	и очень	1	1
448	власть в	2	1
449	при всех	1	1
450	народа это	1	1
451	который был	1	1
452	одна из	2	1
453	первая часть	1	1
454	в комических	1	1
455	к новым	1	1
456	на него	4	1
457	тех пор	1	1
458	которого он	1	1
459	можно судить	4	1
460	чем не	1	1
461	он с	1	1
462	л и	1	1
