N	3gram	Voloshinov_1	slovoVRo
1	той или иной	1	9
2	с точки зрения	6	8
3	во всех его	2	7
4	в большинстве случаев	3	6
5	во всяком случае	3	5
6	всех его моментах	1	4
7	как мы сказали	1	4
8	с одной стороны	1	4
9	в данном случае	1	3
10	так и в	1	3
11	в известной степени	1	2
12	и связанных с	1	2
13	до сих пор	3	2
14	в основе их	1	2
15	и др и	1	2
16	может быть только	1	2
17	и в этом	2	2
18	не могут быть	2	2
19	или во всяком	1	2
20	можно было бы	1	2
21	друг с другом	1	2
22	и на своем	1	1
23	всех его многообразных	1	1
24	своем месте и	1	1
25	и столь же	1	1
26	со всеми его	1	1
27	дело в том	1	1
28	имеем в виду	1	1
29	он может быть	1	1
30	в нем и	1	1
31	целиком во всех	1	1
32	бы то ни	1	1
33	в этом отношении	1	1
34	его моментах в	1	1
35	по аналогии с	2	1
36	во всех областях	1	1
37	рано или поздно	1	1
38	а иногда и	1	1
39	со всех сторон	1	1
40	с этой точки	1	1
41	по крайней мере	3	1
42	связанных с ними	2	1
43	то ни было	1	1
44	в каком направлении	1	1
45	на своем месте	1	1
46	мы имеем в	1	1
47	только в одном	1	1
48	лишь абстрактный момент	1	1
49	бы оно ни	1	1
50	не может быть	3	1
51	в свое время	1	1
52	форма и содержание	1	1
53	о том что	2	1
54	оно ни было	1	1
55	и связанная с	1	1
56	его отношение к	1	1
57	каждого из этих	1	1
58	и в тесной	1	1
59	этой точки зрения	1	1
60	с самого начала	4	1
61	и прежде всего	1	1
62	можно сказать что	3	1
63	но этим не	1	1
64	и борьба с	1	1
65	для того чтобы	1	1
66	в том что	1	1
67	таким образом с	1	1
