N	2gram	Trubetskoy_1	Marksizm
1	точки зрения	13	34
2	может быть	16	26
3	и не	8	26
4	не может	17	24
5	с точки	8	20
6	и в	23	19
7	и его	1	19
8	таким образом	31	17
9	в этом	12	16
10	как бы	10	15
11	в процессе	2	14
12	как мы	2	13
13	прежде всего	3	13
14	как и	9	12
15	социального общения	1	12
16	и пр	1	12
17	если мы	4	11
18	так и	10	11
19	связи с	4	11
20	и для	6	11
21	самом деле	12	10
22	в нем	3	10
23	ни было	2	10
24	в самом	8	10
25	лишь в	5	9
26	только в	6	9
27	для него	2	9
28	в результате	9	9
29	бы то	2	8
30	все же	13	8
31	не только	7	8
32	без исключения	1	8
33	при этом	9	8
34	то ни	3	8
35	друг друга	2	8
36	до сих	8	8
37	но и	9	8
38	сих пор	8	8
39	то что	18	8
40	во всех	10	7
41	но в	4	7
42	психологии и	1	7
43	все эти	19	7
44	и те	2	7
45	то же	4	7
46	в каждом	1	7
47	психики и	1	7
48	а не	1	7
49	в связи	3	7
50	так же	8	7
51	отнюдь не	2	6
52	кроме того	1	6
53	мы не	1	6
54	и того	3	6
55	в науке	1	6
56	ничего не	1	6
57	настоящее время	2	6
58	в его	5	6
59	на почве	3	6
60	в том	30	6
61	в настоящее	2	6
62	другой стороны	5	6
63	того же	9	6
64	отличие от	3	5
65	конечно не	3	5
66	входит в	1	5
67	рядом с	1	5
68	одного и	3	5
69	не в	8	5
70	необходимо чтобы	1	5
71	того чтобы	8	5
72	ничего общего	3	5
73	те же	2	5
74	и все	7	5
75	этот вопрос	2	5
76	ясно что	8	5
77	в начале	2	5
78	в конце	4	5
79	вовсе не	2	5
80	с другой	6	5
81	именно в	5	5
82	до конца	1	5
83	мы знаем	10	5
84	и потому	3	5
85	хотя бы	4	5
86	к этому	5	5
87	во всяком	2	5
88	оно может	1	4
89	вопрос о	3	4
90	и на	6	4
91	науки о	1	4
92	нет и	1	4
93	как в	1	4
94	к одному	1	4
95	лишь с	1	4
96	здесь мы	1	4
97	не будет	5	4
98	было бы	3	4
99	мысли и	1	4
100	не менее	7	4
101	психологии в	2	4
102	в отношении	1	4
103	самого начала	1	4
104	в ней	3	4
105	с самого	1	4
106	еще не	5	4
107	только на	1	4
108	от того	3	4
109	для того	8	4
110	далеко не	5	4
111	и между	1	4
112	как же	1	4
113	с этим	11	4
114	в данном	3	4
115	что же	2	4
116	дело идет	1	4
117	тот же	3	4
118	а в	3	4
119	жизни в	1	4
120	между ними	2	4
121	и эта	1	4
122	сказать что	1	4
123	что в	8	4
124	вопрос мы	1	3
125	на самом	7	3
126	он может	1	3
127	между двумя	5	3
128	высшей степени	1	3
129	а как	1	3
130	теперь мы	2	3
131	имеет свою	1	3
132	в сущности	2	3
133	по отношению	9	3
134	в истории	3	3
135	общего с	2	3
136	целый ряд	4	3
137	и как	1	3
138	и к	5	3
139	в первом	1	3
140	в которой	5	3
141	является лишь	1	3
142	этот процесс	2	3
143	в корне	1	3
144	действительности к	1	3
145	но все	5	3
146	различие между	1	3
147	его в	5	3
148	но именно	1	3
149	он не	3	3
150	в высшей	1	3
151	том что	19	3
152	в своей	1	3
153	и ее	2	3
154	в котором	2	3
155	мы говорили	7	3
156	в то	6	3
157	к этим	1	3
158	для каждого	1	3
159	все без	1	3
160	не имеет	1	3
161	же время	2	3
162	следует что	2	3
163	в области	4	3
164	не могут	4	3
165	же самое	1	3
166	должны быть	3	3
167	не есть	2	3
168	и это	3	3
169	вне этого	1	3
170	только при	2	3
171	в дальнейшем	2	3
172	сводится к	2	3
173	с другими	1	3
174	и следовательно	1	3
175	конце концов	4	3
176	того что	6	3
177	быть и	5	3
178	между тем	12	3
179	из них	5	3
180	в целях	1	3
181	или иной	1	3
182	социальной жизни	4	3
183	не было	2	3
184	все это	11	3
185	смысле этого	1	3
186	этом случае	4	3
187	и от	5	3
188	нет ничего	1	3
189	и при	6	3
190	совершенно не	3	3
191	мы должны	4	3
192	всех других	2	3
193	это и	1	3
194	вполне понятно	1	3
195	ту же	2	2
196	одним из	4	2
197	же как	3	2
198	все остальное	1	2
199	по которым	1	2
200	мы уже	4	2
201	той же	1	2
202	не приходится	1	2
203	зависимости от	1	2
204	свою очередь	2	2
205	но при	1	2
206	быть в	1	2
207	себе и	1	2
208	свои мысли	1	2
209	что во	1	2
210	данный момент	4	2
211	как к	5	2
212	в своем	10	2
213	все остальные	1	2
214	однако не	1	2
215	его к	1	2
216	от этого	1	2
217	то в	2	2
218	друга в	1	2
219	в нашем	3	2
220	из этих	8	2
221	в себе	5	2
222	если он	2	2
223	как оно	1	2
224	тем не	4	2
225	всех остальных	2	2
226	являются лишь	1	2
227	должна быть	5	2
228	в узком	1	2
229	одной и	2	2
230	из него	2	2
231	можно было	1	2
232	от нее	2	2
233	что все	5	2
234	в другом	2	2
235	в каком-нибудь	1	2
236	конечно в	2	2
237	и с	5	2
238	до тех	2	2
239	бы в	3	2
240	на этой	2	2
241	ведь в	1	2
242	разобранные нами	1	2
243	в общей	2	2
244	от него	3	2
245	должно быть	4	2
246	лучше всего	1	2
247	на первый	2	2
248	имеет место	2	2
249	общества и	1	2
250	это делает	1	2
251	и той	1	2
252	точку зрения	2	2
253	и более	2	2
254	тому что	2	2
255	этими двумя	2	2
256	что такое	1	2
257	и сама	1	2
258	в основе	2	2
259	следовательно и	1	2
260	одна из	2	2
261	в сознании	6	2
262	у нас	3	2
263	могут быть	1	2
264	числе и	1	2
265	является одним	1	2
266	к тому	8	2
267	они и	1	2
268	она не	2	2
269	с ее	2	2
270	в виду	2	2
271	и та	1	2
272	другими словами	2	2
273	язык и	1	2
274	они существуют	1	2
275	культуры и	9	2
276	как с	1	2
277	и которую	1	2
278	никогда не	4	2
279	между собой	4	2
280	если бы	8	2
281	и вообще	3	2
282	и даже	1	2
283	и т.д	4	2
284	о том	7	2
285	за пределами	1	2
286	все в	2	2
287	во втором	2	2
288	что и	7	2
289	и только	2	2
290	что он	7	2
291	целом ряде	3	2
292	деле ведь	1	2
293	между этими	2	2
294	в качестве	1	2
295	и других	2	2
296	к каким	1	2
297	школы и	1	2
298	же они	1	2
299	и их	5	2
300	всяком случае	2	2
301	себя от	1	2
302	так как	7	2
