N	2gram	Medvedev_F_2	UchenyiS
1	и в	38	14
2	формальный метод	10	11
3	а не	6	10
4	не только	9	10
5	формального метода	15	9
6	прежде всего	15	8
7	и не	20	8
8	не может	14	7
9	вот почему	1	7
10	в этом	27	7
11	то что	6	7
12	может быть	23	6
13	в искусстве	2	6
14	то же	6	5
15	и только	5	5
16	художественное произведение	2	5
17	в художественном	2	5
18	все это	3	5
19	хотя бы	6	5
20	с другой	3	4
21	но и	13	4
22	в их	6	4
23	в россии	1	4
24	в этой	6	4
25	конечно не	1	4
26	формалистическое мировоззрение	1	4
27	литературной науки	2	4
28	то ни	2	3
29	вряд ли	2	3
30	и то	2	3
31	это не	2	3
32	было бы	6	3
33	как и	9	3
34	для этого	2	3
35	в своей	7	3
36	материалом в	1	3
37	бы то	1	3
38	очевидно что	2	3
39	к сожалению	2	3
40	этой области	1	3
41	произведения искусства	2	3
42	в то	5	3
43	все же	8	3
44	но в	4	3
45	истории литературы	6	3
46	не следует	4	3
47	же время	5	3
48	в области	3	3
49	у нас	1	3
50	другой стороны	4	3
51	для него	7	3
52	формализм как	1	3
53	не как	4	3
54	не о	4	3
55	как такового	6	3
56	о формальном	3	3
57	крайней мере	1	2
58	же не	1	2
59	именно как	4	2
60	одним из	1	2
61	и с	9	2
62	художественного произведения	6	2
63	и через	1	2
64	художественном произведении	1	2
65	материала и	4	2
66	до сих	1	2
67	а как	3	2
68	это было	3	2
69	самом деле	8	2
70	художественных произведений	1	2
71	пишет он	1	2
72	и прием	3	2
73	противном случае	1	2
74	должна быть	5	2
75	в некоторых	4	2
76	превращается в	2	2
77	только прием	1	2
78	мы не	3	2
79	не приходится	3	2
80	о чем	1	2
81	является в	2	2
82	на эту	1	2
83	если бы	5	2
84	ничего не	4	2
85	как таковой	3	2
86	не столько	4	2
87	если не	1	2
88	должна была	2	2
89	том что	2	2
90	на первый	2	2
91	материал для	1	2
92	сводится к	5	2
93	но даже	1	2
94	этого термина	2	2
95	прием в	1	2
96	меньшей степени	1	2
97	литературы и	4	2
98	надо было	1	2
99	установку на	1	2
100	в широком	2	2
101	художественном творчестве	1	2
102	в шкловский	14	2
103	но конечно	1	2
104	с его	11	2
105	для поэзии	1	2
106	но не	2	2
107	в сторону	4	2
108	в его	10	2
109	по крайней	1	2
110	по существу	7	2
111	что и	8	2
112	по себе	7	2
113	конце концов	2	2
114	сих пор	1	2
115	по композиции	1	2
116	но это	2	2
117	этом смысле	2	2
118	в противном	1	2
119	в том	11	2
120	в шкловского	6	2
121	предмет изучения	2	2
122	с проблемой	3	2
123	и для	5	2
124	что он	5	2
125	поэтики на	2	2
126	теоретической поэтики	1	2
127	в себе	1	2
128	как прием	2	2
129	при таком	1	2
130	формы и	2	2
131	в самом	16	2
132	между тем	2	2
133	только в	6	2
134	материал как	2	2
135	не в	15	2
136	для всех	1	2
137	и является	1	2
138	вопроса о	2	2
139	все они	1	2
140	в системе	1	2
