N	3gram	Bakhtin_Pr_5	Psycholo
1	в самом деле	1	18
2	в том что	2	11
3	и в самом	3	10
4	с точки зрения	2	9
5	то же самое	1	8
6	для того чтобы	1	8
7	мы увидим что	2	7
8	с самого начала	8	6
9	до сих пор	1	5
10	с другой стороны	3	5
11	и в этом	2	3
12	мы могли бы	1	3
13	как если бы	1	3
14	и то что	1	3
15	мы уже говорили	5	3
16	о том что	1	3
17	о том как	1	2
18	увидим что это	1	2
19	а вовсе не	1	2
20	на самом деле	9	2
21	и та же	2	2
22	то что в	1	2
23	вместе с тем	1	2
24	одно и то	3	2
25	то время как	1	2
26	в данном случае	1	2
27	в один из	1	2
28	смысле этого слова	2	2
29	и как бы	1	2
30	все больше и	1	2
31	и то же	3	2
32	все более и	1	2
33	во всяком случае	4	2
34	то что он	1	2
35	я не могу	1	2
36	он не мог	1	2
37	потому что они	1	2
38	мы видели что	1	2
39	в то время	1	2
40	и вместе с	1	2
41	в свою очередь	1	2
42	больше и больше	1	2
43	более и более	1	2
44	к тому что	1	2
45	как мы видели	1	2
46	и в другом	1	2
47	на этом противоречии	1	1
48	то все же	2	1
49	обычном смысле этого	1	1
50	но все же	2	1
51	что он все	1	1
52	и столь же	1	1
53	но как мы	1	1
54	и в своей	1	1
55	потому что в	1	1
56	в одном слове	1	1
57	в том и	1	1
58	никак не может	1	1
59	в самом содержании	1	1
60	и что только	1	1
61	он не может	3	1
62	не кажется ли	2	1
63	как и все	2	1
64	что он не	1	1
65	все время старается	1	1
66	в отличие от	2	1
67	между этими двумя	1	1
68	бы сказать так	1	1
69	в этом отношении	1	1
70	к музыке и	1	1
71	все же все	1	1
72	заключает в себе	1	1
73	можно было бы	2	1
74	это вовсе не	1	1
75	может быть и	1	1
76	что дело идет	1	1
77	когда она в	1	1
78	уже говорили что	3	1
79	потому что тогда	1	1
80	не обращали внимания	1	1
81	мы сейчас увидим	1	1
82	там где он	2	1
83	тот же самый	1	1
84	в обычном смысле	2	1
85	не иначе как	1	1
86	противоречии с этой	1	1
87	и ничего не	1	1
88	каждый из них	1	1
89	во всех отношениях	1	1
90	в такой же	2	1
91	то есть такого	1	1
92	одна и та	2	1
93	мы уже указывали	1	1
94	то же слово	1	1
95	а между тем	3	1
96	в этом рассказе	1	1
97	не могла не	1	1
98	в каждой его	1	1
99	и тут же	1	1
100	что в сущности	1	1
101	имел в виду	1	1
102	все эти слова	1	1
103	он все время	1	1
104	мы можем сказать	2	1
105	не только не	1	1
106	и что все	2	1
107	и что из	1	1
108	он как бы	1	1
109	то есть введение	1	1
110	к тому чтобы	2	1
111	никогда не говорит	1	1
112	можно сказать что	1	1
113	о мире и	2	1
114	но и не	1	1
115	или во всяком	1	1
116	все время перед	1	1
117	будто бы не	1	1
118	как бы в	1	1
119	я не имел	1	1
120	могли бы сказать	1	1
121	не может быть	3	1
122	прямо говорит что	1	1
123	по его мнению	1	1
124	в высшей степени	3	1
125	и как будто	1	1
126	подобно тому как	2	1
127	к тому же	3	1
128	уже с самого	1	1
129	и каждое слово	1	1
