N	2gram	Medvedev_S_1	Mirosoze
1	может быть	2	30
2	не только	3	29
3	и в	3	28
4	не может	1	28
5	но и	2	25
6	в этом	5	20
7	не было	1	18
8	у него	1	17
9	не в	3	16
10	в своей	1	15
11	и есть	1	14
12	никогда не	1	14
13	и не	1	11
14	было бы	2	10
15	что в	2	10
16	в мире	1	10
17	прежде всего	1	10
18	что он	1	10
19	и потому	1	10
20	и его	1	9
21	в его	3	9
22	в котором	1	8
23	но не	1	8
24	в конце	2	7
25	должна быть	2	6
26	в этой	1	6
27	только в	2	6
28	все это	7	6
29	в том	5	6
30	это не	1	5
31	как и	1	5
32	то что	2	5
33	это и	2	4
34	за пределы	2	4
35	и по	1	4
36	в них	1	4
37	в этих	1	4
38	один из	1	4
39	а в	1	4
40	тем что	1	4
41	вряд ли	1	3
42	идей и	2	3
43	его в	1	3
44	том что	2	3
45	ничего не	1	3
46	в него	1	3
47	конечно не	1	3
48	это значит	1	3
49	для нас	3	3
50	хотя бы	1	3
51	литературы и	2	2
52	по отношению	2	2
53	все же	1	2
54	и как	1	2
55	все эти	1	2
56	он ни	1	2
57	него и	1	2
58	и мы	2	2
59	место в	1	2
60	в то	1	2
61	когда мы	1	2
62	в наше	1	2
63	и что	2	2
64	с ним	1	2
65	о том	1	2
66	может не	1	2
67	пишет он	1	2
68	ведь это	2	2
69	отношению к	2	2
70	как будто	2	2
71	мы еще	1	2
72	на этот	1	2
73	и границы	1	2
74	как бы	2	2
75	быть не	1	2
76	она может	2	2
77	бы в	1	2
78	конце концов	2	2
79	что без	1	2
80	у которых	1	2
81	я и	1	1
82	мы не	1	1
83	но она	1	1
84	не способен	1	1
85	еще не	2	1
86	не без	1	1
87	в свои	1	1
88	более чем	3	1
89	стало быть	1	1
90	кто не	1	1
91	но ведь	3	1
92	в силу	1	1
93	и заключается	2	1
94	в каждом	1	1
95	же не	1	1
96	на все	1	1
97	нельзя мыслить	1	1
98	одно дело	2	1
99	не от	1	1
100	и более	1	1
101	вовсе не	1	1
102	мысли в	1	1
103	в области	1	1
104	всему этому	1	1
105	все то	1	1
106	и о	1	1
107	так и	1	1
108	по природе	2	1
109	нужно было	2	1
110	но одно	1	1
111	с увлечением	1	1
112	и только	3	1
113	которая должна	1	1
114	и наконец	1	1
115	же этот	1	1
116	наше время	1	1
117	между тем	1	1
118	него для	1	1
119	всяком случае	1	1
120	что она	1	1
121	наука о	1	1
122	выходит за	1	1
123	и русская	1	1
124	к которому	2	1
125	хотелось бы	1	1
126	вступает в	1	1
127	в частности	2	1
128	можно принять	1	1
129	только для	1	1
130	в смысле	2	1
131	из себя	1	1
132	бы он	1	1
133	или нет	1	1
134	ним все	1	1
135	тем более	2	1
136	как живой	1	1
137	перейдет в	1	1
138	во всяком	1	1
139	они не	1	1
140	в цельном	1	1
