N	3gram	Tiupa_Narr_1	RusskieA
1	в том что	5	15
2	и т д	1	9
3	состоит в том	2	8
4	как мы увидим	1	5
5	в связи с	2	4
6	о том что	2	4
7	к тому что	1	4
8	с точки зрения	1	3
9	мы не можем	1	3
10	тем не менее	3	3
11	что иное как	1	2
12	в е годы	1	2
13	но и на	2	2
14	с этого момента	1	2
15	может быть и	1	2
16	и потому что	1	2
17	в равной степени	2	2
18	в свою очередь	2	2
19	не только на	2	2
20	но все же	1	2
21	ни о каких	1	1
22	что каждый из	1	1
23	в нашем сознании	1	1
24	только потому что	1	1
25	на себя внимание	3	1
26	и того же	1	1
27	хотя они и	1	1
28	по отношению к	3	1
29	в глаза что	1	1
30	точно так же	1	1
31	на самом деле	1	1
32	подобно тому как	3	1
33	дело не только	1	1
34	точки зрения в	1	1
35	же как и	1	1
36	и не только	1	1
37	и та же	1	1
38	в этом отношении	3	1
39	что не только	1	1
40	так же в	1	1
41	подробнее об этом	1	1
42	перекликаясь друг с	1	1
43	обращает на себя	3	1
44	у него нет	1	1
45	в своего рода	2	1
46	не только в	6	1
47	в отличие от	2	1
48	значения и смысла	1	1
49	и как бы	1	1
50	во всяком случае	2	1
51	одна и та	1	1
52	бросается в глаза	1	1
53	интерес к ним	1	1
54	мы уже знаем	1	1
55	к этому времени	1	1
56	так как это	1	1
57	ни одна из	1	1
58	между тем это	1	1
59	на другой день	3	1
60	можно сказать что	2	1
61	на то что	2	1
62	одного и того	1	1
63	в этих случаях	1	1
64	которая представляет собой	1	1
65	друг с другом	1	1
66	а в тех	1	1
67	быть и не	1	1
68	как и в	1	1
69	в данном случае	8	1
70	как мы видели	1	1
71	что она в	1	1
