N	3gram	Vinokur_Vv_1	DiskursI
1	в том что	12	13
2	по отношению к	4	9
3	с одной стороны	4	9
4	о том что	12	5
5	в отличие от	3	4
6	то же время	5	4
7	не в том	2	3
8	той или иной	1	3
9	не может быть	8	3
10	в свою очередь	1	3
11	с другой стороны	5	3
12	в то же	5	3
13	по себе не	1	2
14	что же касается	2	2
15	мы имеем дело	1	2
16	и того же	2	2
17	том что в	1	2
18	не говоря уже	2	2
19	и в особенности	4	2
20	подобно тому как	1	2
21	в соответствии с	2	2
22	то же самое	2	2
23	а в том	1	2
24	одной стороны и	3	2
25	говоря уже о	1	2
26	значении этого термина	1	2
27	обратить внимание на	2	2
28	по крайней мере	4	2
29	в значительной степени	1	2
30	большей или меньшей	2	2
31	а не только	1	2
32	в данном случае	4	2
33	в том чтобы	5	2
34	не только в	4	2
35	состоит в том	2	2
36	в каждой области	1	2
37	в частности в	1	2
38	можно сказать что	3	2
39	только в том	2	2
40	одного и того	2	2
41	литературы во всем	1	1
42	том что с	1	1
43	в этом случае	6	1
44	на том что	2	1
45	и даже к	1	1
46	это как будто	1	1
47	не только по	1	1
48	нами не как	1	1
49	прежде всего в	1	1
50	дело в том	2	1
51	может быть названа	1	1
52	не только о	1	1
53	на самом деле	1	1
54	также и в	2	1
55	в этом смысле	10	1
56	имеют дело с	1	1
57	данной точки зрения	1	1
58	в этом пункте	1	1
59	с точки зрения	2	1
60	до сих пор	5	1
61	хотя бы и	2	1
62	сам по себе	1	1
63	в котором они	1	1
64	в строгом смысле	3	1
65	только то что	1	1
66	из того что	1	1
67	том или ином	1	1
68	том что не	1	1
69	принципе не может	1	1
70	в тех или	1	1
71	и что это	1	1
72	вместе с тем	3	1
73	ту или иную	1	1
74	одно и то	1	1
75	только потому что	1	1
76	как мы видели	2	1
77	соответствии с правилами	1	1
78	дело не с	1	1
79	и в том	3	1
80	именно в этой	1	1
81	с данной точки	1	1
82	один из наиболее	1	1
83	как будто бы	2	1
84	в известном смысле	3	1
85	одним из наиболее	1	1
86	имеем дело с	1	1
87	потому что в	1	1
88	в большей или	1	1
89	что представляет собой	3	1
90	или меньшей степени	1	1
91	в связи с	2	1
92	тем или иным	1	1
93	составляет один из	1	1
94	во всяком случае	3	1
95	хотя бы на	1	1
96	или иных отношениях	1	1
97	в целом ряде	2	1
98	лежит в основании	2	1
99	в свое время	2	1
100	до наших дней	1	1
101	того или иного	1	1
102	в этом отношении	3	1
103	значение в истории	1	1
104	служит одновременно и	1	1
105	в новейшее время	1	1
106	имея в виду	1	1
107	хотя оба они	1	1
108	к этому времени	2	1
109	прежде всего к	1	1
110	с самого начала	1	1
111	заключается в том	3	1
112	один из важнейших	1	1
113	в данном отношении	2	1
114	и все прочие	1	1
115	к одной из	1	1
116	на этом пути	1	1
117	и то же	1	1
118	и прежде всего	1	1
119	тех или иных	3	1
120	тем не менее	8	1
121	но все же	3	1
122	дело не в	1	1
123	лицом к лицу	1	1
124	во всех его	1	1
125	в принципе не	1	1
126	может быть в	2	1
127	в том или	1	1
128	что не только	1	1
