N	3gram	Tiupa_Lite_2	Stilisti
1	в то же	9	9
2	то же время	9	7
3	для того чтобы	1	7
4	с точки зрения	3	5
5	и т.д и	1	5
6	и то же	2	4
7	прежде всего в	1	4
8	то же самое	1	4
9	одно и то	2	4
10	в свою очередь	1	4
11	той или иной	1	4
12	на самом деле	1	3
13	в этом случае	2	3
14	в конце концов	1	3
15	внутренней и внешней	1	3
16	как мы видели	1	3
17	и в то	1	2
18	вместе с тем	1	2
19	в этом отношении	3	2
20	не может быть	7	2
21	о том что	2	2
22	к тому что	1	2
23	тех или иных	1	2
24	все то что	1	2
25	не так как	2	2
26	того что было	1	1
27	нет и не	1	1
28	в хх веке	4	1
29	особое место в	1	1
30	по отношению к	3	1
31	не говоря уже	2	1
32	звонкую силу поэта	1	1
33	в себе и	1	1
34	можно было бы	1	1
35	по крайней мере	2	1
36	жизни и в	1	1
37	вновь и вновь	1	1
38	может быть сказано	1	1
39	это прежде всего	2	1
40	и не было	1	1
41	тем не менее	2	1
42	но даже и	1	1
43	в нашем случае	1	1
44	свою звонкую силу	1	1
45	но и его	1	1
46	так и от	1	1
47	личность не знает	1	1
48	мы не можем	1	1
49	но то что	1	1
50	в конечном счете	5	1
51	не только не	1	1
52	и не может	1	1
53	в русской литературе	2	1
54	с другой стороны	4	1
55	для этого необходимо	1	1
56	в исторической жизни	1	1
57	всю свою звонкую	1	1
58	вовсе не является	1	1
59	в том что	5	1
60	если б мы	1	1
61	в разговоре с	2	1
62	на наш взгляд	3	1
