N	2gram	Bakhtin_Fr_1	IolandNe
1	и с	3	3
2	и не	22	2
3	в этом	15	2
4	он не	2	2
5	что в	3	2
6	ничего не	3	2
7	же это	1	1
8	все это	9	1
9	и др	24	1
10	эти произведения	2	1
11	и в	65	1
12	в эту	1	1
13	то и	1	1
14	них не	1	1
15	бы в	1	1
16	не остается	1	1
17	многое другое	1	1
18	значительной мере	2	1
19	с другой	3	1
20	и та	1	1
21	др он	1	1
22	это было	2	1
23	вплоть до	1	1
24	того что	2	1
25	понимания жизни	1	1
26	стороны он	1	1
27	и без	2	1
28	это был	1	1
29	на котором	3	1
30	другой стороны	1	1
31	утверждает что	1	1
32	и еще	4	1
33	не чужд	1	1
34	для него	5	1
35	нам в	1	1
36	его ученики	1	1
37	в основе	8	1
38	что при	1	1
39	в значительной	6	1
40	говорить о	1	1
41	и сам	1	1
42	есть только	2	1
43	видит в	1	1
44	отношению к	1	1
45	так и	10	1
46	от этого	1	1
47	того чтобы	1	1
48	во многом	2	1
49	никогда не	6	1
50	только для	1	1
51	жизни и	7	1
52	и очень	2	1
53	и ничего	1	1
54	не увидел	1	1
55	тех же	1	1
56	тем что	1	1
57	в целом	2	1
58	и многое	1	1
59	по отношению	1	1
60	в них	5	1
61	все эти	10	1
62	для того	1	1
63	без этого	1	1
