N	3gram	Losev_Vesc_1	KulturaY
1	с точки зрения	3	16
2	в самом деле	4	11
3	для того чтобы	2	11
4	можно было бы	1	10
5	тем не менее	3	9
6	до сих пор	1	8
7	в том что	4	8
8	и т д	19	8
9	в зависимости от	1	7
10	в данном случае	2	4
11	с одной стороны	3	4
12	и в самом	1	4
13	только тогда когда	2	4
14	сам по себе	3	3
15	можно говорить о	2	3
16	бы сказать что	2	3
17	было бы сказать	2	3
18	и тем не	1	3
19	в том чтобы	1	3
20	не только в	4	3
21	с другой стороны	2	3
22	не может быть	6	3
23	о том что	4	3
24	в той или	2	2
25	и того же	1	2
26	как раз и	1	2
27	это и значит	2	2
28	но если это	2	2
29	только то что	2	2
30	от того что	1	2
31	в первом случае	2	2
32	не в том	1	2
33	более или менее	1	2
34	одного и того	1	2
35	сама по себе	3	2
36	тот или иной	1	2
37	что и в	1	2
38	в свое время	2	2
39	по существу же	1	1
40	но тут же	1	1
41	я мог бы	4	1
42	было бы и	3	1
43	есть один из	1	1
44	у нас в	2	1
45	мы говорим что	3	1
46	это так то	1	1
47	в чем же	3	1
48	т е она	1	1
49	есть прежде всего	2	1
50	при таких условиях	1	1
51	то же самое	1	1
52	т д и	5	1
53	может быть совершенно	1	1
54	конечно можно и	1	1
55	что она есть	2	1
56	не иметь никакого	1	1
57	ли в этом	1	1
58	то что мы	2	1
59	ни в коем	1	1
60	нельзя было бы	2	1
61	вовсе не потому	1	1
62	бы то ни	4	1
63	каждой из этих	1	1
64	можно только тогда	1	1
65	а так как	2	1
66	из того что	2	1
67	в собственном смысле	2	1
68	перейти уже к	1	1
69	с тем что	1	1
70	по крайней мере	4	1
71	имеют в виду	1	1
72	что я хочу	3	1
73	не только не	2	1
74	с этой точки	1	1
75	вместе с тем	1	1
76	не то что	1	1
77	что она сама	1	1
78	но что значит	1	1
79	в коем случае	1	1
80	ту или иную	2	1
81	было бы вообще	1	1
82	ясно также что	1	1
83	не может обойтись	1	1
84	чтобы она была	1	1
85	в то время	1	1
86	так же как	1	1
87	есть собственно говоря	1	1
88	не потому что	4	1
89	заключается в том	1	1
90	отношении они как	1	1
91	и собственном смысле	1	1
92	форма и т	1	1
93	поэтому когда мы	1	1
94	т е если	2	1
95	по природе своей	1	1
96	если это так	1	1
97	и с совершенно	1	1
98	когда имеется в	1	1
99	в одном случае	1	1
100	до каких угодно	1	1
101	т е в	7	1
102	это не значит	1	1
103	в каком-то отношении	1	1
104	во всяком случае	2	1
105	нас в россии	2	1
106	в данной области	1	1
107	когда мы говорим	1	1
108	только о том	1	1
109	самом деле в	1	1
110	этой точки зрения	1	1
111	это потому что	1	1
112	а в том	1	1
113	если мы возьмем	2	1
114	по меньшей мере	1	1
115	д и т	5	1
116	мы не можем	1	1
117	том смысле что	1	1
118	в свою очередь	4	1
119	что в ней	1	1
120	само по себе	1	1
121	первом случае мы	1	1
122	что есть еще	1	1
123	есть еще и	2	1
124	же мы говорим	1	1
125	со стороны ее	1	1
126	видно уже из	1	1
127	такой смысл который	1	1
128	еще ничего не	1	1
129	такие-то и такие-то	1	1
130	и как именно	1	1
131	она не могла	1	1
132	в то же	1	1
133	в то или	1	1
134	не будет уже	1	1
135	к тому что	2	1
136	в том смысле	1	1
137	в своем месте	1	1
138	тех или иных	1	1
139	имеется в виду	1	1
140	смысла и понимания	1	1
141	то ясно что	1	1
142	это не есть	1	1
143	вовсе еще не	1	1
144	один из самых	1	1
145	я и хочу	2	1
