N	3gram	Tiupa_Lite_2	VrazhdaK
1	то же время	9	4
2	в то же	9	4
3	имел в виду	1	3
4	в русской литературе	2	3
5	что в начале	1	2
6	с точки зрения	3	2
7	в ноябре года	1	2
8	не может быть	7	2
9	в том что	5	2
10	в е годы	2	1
11	х годов в	1	1
12	в соответствии с	1	1
13	и не может	1	1
14	в этом отношении	3	1
15	говорит о себе	1	1
16	начале х годов	1	1
17	по крайней мере	2	1
18	и то что	1	1
19	и в то	1	1
20	одно и то	2	1
21	едва ли не	4	1
22	в конце концов	1	1
23	и то же	2	1
24	по нашему мнению	1	1
25	ее и в	1	1
26	а с другой	1	1
27	не только как	1	1
28	с другой стороны	4	1
29	в мире а	1	1
30	тем не менее	2	1
31	в свою очередь	1	1
32	что в ней	1	1
33	о том что	2	1
34	не только не	1	1
35	в начале х	1	1
36	что уже в	1	1
37	речь идет о	3	1
