N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	45
2	и т.п	2	16
3	и не	5	15
4	в этом	8	14
5	но в	6	14
6	не только	9	14
7	во всех	1	13
8	и его	3	13
9	в его	3	13
10	как бы	4	12
11	во время	2	12
12	что в	7	12
13	то же	5	11
14	в своем	3	11
15	в то	5	11
16	в романе	6	11
17	в нем	6	10
18	и с	6	10
19	как и	6	10
20	в том	3	10
21	но и	7	10
22	прежде всего	1	10
23	в эпизоде	1	9
24	же время	5	9
25	в ней	4	8
26	таким образом	2	8
27	жизни и	1	8
28	так же	4	8
29	также и	1	7
30	он был	3	7
31	с его	3	7
32	том что	3	7
33	потому что	1	7
34	в конце	3	7
35	и все	7	7
36	все это	4	7
37	в этой	2	6
38	он не	3	6
39	всех этих	1	6
40	в них	2	6
41	связи с	3	6
42	так и	1	6
43	что он	4	6
44	одним из	3	5
45	это и	1	5
46	с ее	1	5
47	хотя и	1	5
48	и как	3	5
49	и у	3	5
50	его в	3	5
51	и образы	2	5
52	с ним	4	5
53	этом отношении	1	5
54	человека с	2	5
55	и их	1	5
56	как раз	2	5
57	в связи	3	5
58	не может	2	5
59	но это	2	5
60	же как	2	4
61	той же	1	4
62	и о	3	4
63	но не	1	4
64	в самом	1	4
65	тому же	1	4
66	по своему	1	4
67	об этом	5	4
68	это было	1	4
69	не мог	2	4
70	точки зрения	2	4
71	в их	1	4
72	своего рода	1	4
73	у него	5	4
74	и это	2	4
75	ничего не	1	4
76	о том	4	4
77	и во	3	4
78	в первой	1	4
79	с этим	1	4
80	мы находим	1	4
81	и даже	6	4
82	и от	1	4
83	бы в	1	4
84	а также	2	4
85	а в	2	4
86	как на	1	4
87	такой же	1	4
88	того же	1	3
89	и он	2	3
90	как в	1	3
91	роль играет	1	3
92	как он	1	3
93	но на	1	3
94	об этой	2	3
95	этой традиции	1	3
96	на пиру	1	3
97	он и	1	3
98	до сих	1	3
99	в своей	2	3
100	не менее	2	3
101	но они	1	3
102	не имеет	1	3
103	от того	1	3
104	и образ	1	3
105	не могло	1	3
106	то время	1	3
107	этот момент	2	3
108	это не	4	3
109	именно в	1	3
110	того что	1	3
