N	2gram	Medvedev_I_1	Literetu
1	и не	2	22
2	и в	1	16
3	в этом	2	14
4	так и	1	9
5	того что	1	9
6	себя в	1	7
7	с другой	1	6
8	в целом	1	5
9	а в	1	5
10	в основе	1	5
11	отношению к	1	4
12	никогда не	1	4
13	по отношению	1	4
14	с жизнью	1	4
15	а также	1	4
16	по существу	1	4
17	жизни и	1	3
18	не случайно	1	3
19	только для	1	3
20	и с	3	2
21	другой стороны	1	2
22	художественного творчества	1	2
23	того чтобы	1	2
24	вплоть до	1	2
25	для него	1	2
26	со всеми	1	2
27	что в	2	2
28	а по	1	2
29	и сам	1	2
30	для того	1	2
31	автора и	1	2
32	то она	1	2
33	того же	1	2
34	если бы	1	2
35	я не	1	2
36	тем что	1	2
37	как о	1	2
38	в первую	1	1
39	в значительной	1	1
40	самого себя	2	1
41	бы в	1	1
42	о ней	1	1
43	говорить о	1	1
44	тех же	1	1
45	и со	1	1
46	нисколько не	1	1
47	то и	1	1
48	первую очередь	1	1
49	что для	1	1
50	и о	1	1
51	он с	1	1
52	и еще	1	1
53	очевидно что	1	1
54	как только	1	1
55	в художественном	1	1
56	его личности	1	1
57	и дети	1	1
58	в них	1	1
59	точно и	1	1
60	он не	2	1
61	и и	1	1
62	бы его	1	1
63	все это	1	1
64	автор и	1	1
65	есть только	1	1
66	нее и	1	1
67	а с	1	1
