N	2gram	Savitsky_E_1	Myslijsy
1	то есть	6	34
2	потому что	3	33
3	то что	6	29
4	может быть	6	26
5	таким образом	2	24
6	в этом	12	23
7	в том	11	23
8	и в	37	23
9	и не	14	18
10	что в	21	17
11	при этом	1	15
12	только в	9	15
13	то же	15	14
14	в себе	9	14
15	как и	7	14
16	того что	7	14
17	так как	7	14
18	для нас	4	14
19	если бы	2	13
20	не было	1	12
21	а не	2	12
22	том что	6	12
23	не в	5	11
24	по себе	4	11
25	но и	14	11
26	не может	9	11
27	по отношению	1	10
28	не только	18	10
29	мы можем	3	10
30	тем что	3	10
31	что мы	1	10
32	и потому	5	10
33	между тем	8	9
34	не есть	2	9
35	мы не	4	8
36	то это	1	8
37	в своем	14	8
38	но в	14	8
39	заключает в	3	8
40	было бы	8	8
41	тогда когда	2	8
42	о том	3	8
43	сказать что	4	8
44	и т	1	7
45	поэзии и	1	7
46	очевидно что	3	7
47	как в	3	7
48	с этим	2	7
49	что это	2	7
50	на то	6	7
51	в нем	1	7
52	в силу	2	7
53	и что	2	7
54	что и	3	7
55	вовсе не	6	7
56	с тем	3	7
57	могут быть	2	7
58	этого слова	1	7
59	что если	2	6
60	независимо от	4	6
61	и к	3	6
62	когда мы	1	6
63	мысль о	1	6
64	так и	10	6
65	что не	1	6
66	заметить что	2	6
67	для того	6	6
68	вместе с	2	6
69	и то	2	5
70	есть нечто	1	5
71	говорить о	1	5
72	один и	1	5
73	хотя и	2	5
74	бы и	3	5
75	как бы	6	5
76	имеет для	1	5
77	и мы	3	5
78	должно быть	1	5
79	не менее	1	5
80	с ним	1	5
81	не имеет	4	5
82	такие же	1	5
83	есть только	1	5
84	внимание на	1	5
85	к нему	2	5
86	есть в	2	5
87	не можем	2	5
88	уже в	1	5
89	только тогда	1	5
90	в его	2	5
91	для него	1	5
92	само по	4	5
93	не из	3	5
94	что же	2	5
95	слова и	1	5
96	тем более	4	5
97	а в	2	5
98	во всяком	3	5
99	есть не	2	4
100	и о	1	4
101	в истории	2	4
102	что как	1	4
103	могли бы	1	4
104	думать что	8	4
105	что все	2	4
106	и с	2	4
107	с другими	2	4
108	и тем	3	4
109	точки зрения	23	4
110	в котором	2	4
111	и более	2	4
112	в то	16	4
113	того чтобы	6	4
114	со своим	1	4
115	в сознании	1	4
116	в каком	4	4
117	быть может	1	4
118	на вопрос	1	4
119	и та	2	4
120	можно сказать	4	4
121	хотя бы	15	4
122	то и	1	4
123	в одном	2	4
124	тогда как	1	4
125	от того	1	4
126	а именно	2	4
127	как же	2	4
128	на основании	2	4
129	так же	9	4
130	в данном	3	4
131	в той	5	4
132	новое слово	3	4
133	и все	2	4
134	между ними	2	4
135	есть то	1	4
136	тем самым	5	4
137	в таком	3	4
138	например в	1	3
139	и до	1	3
140	что эти	2	3
141	той же	1	3
142	что между	1	3
143	ответить на	1	3
144	которое в	2	3
145	и на	6	3
146	то мы	1	3
147	там где	3	3
148	в самом	4	3
149	все эти	1	3
150	и тот	1	3
151	и если	2	3
152	на его	1	3
153	т д	1	3
154	и по	5	3
155	не будет	3	3
156	том случае	1	3
157	лишь в	1	3
158	в них	3	3
159	к которым	5	3
160	с точки	17	3
161	но это	1	3
162	в которых	3	3
