N	3gram	Savitsky_E_1	Literetu
1	в том что	6	11
2	в отличие от	1	5
3	то же время	14	5
4	в то же	15	5
5	в данном случае	2	4
6	не только в	4	4
7	в связи с	1	4
8	прежде всего в	2	3
9	с этой точки	5	3
10	не сводится к	1	3
11	этой точки зрения	5	3
12	и прежде всего	3	3
13	в том же	1	3
14	дело в том	1	2
15	не говоря уже	2	2
16	с точки зрения	16	2
17	только в том	2	2
18	в этом отношении	3	2
19	из того что	2	2
20	ту или иную	3	2
21	с одной стороны	8	2
22	чуть ли не	1	2
23	во всяком случае	3	2
24	и тем самым	1	2
25	в последнее время	1	1
26	европы но и	1	1
27	между прочим и	2	1
28	говоря уже об	1	1
29	на то что	2	1
30	во многих случаях	1	1
31	в соответствии с	1	1
32	в одной из	1	1
33	и не только	1	1
34	бы то ни	4	1
35	к тому чтобы	2	1
36	можно было бы	3	1
37	оно определяется в	1	1
38	не есть ли	1	1
39	в лучшем случае	1	1
40	в духовной жизни	1	1
41	и в частности	2	1
42	в значительной степени	1	1
43	но в то	2	1
44	в отношении к	12	1
45	говоря уже о	1	1
46	а также и	1	1
47	и в этом	4	1
48	же время многие	1	1
49	по большей части	1	1
50	и всякая иная	1	1
51	всякая иная культурная	1	1
52	тем что для	1	1
53	же время не	1	1
54	с другой стороны	2	1
55	не может быть	2	1
56	это должно быть	1	1
57	каждого из них	1	1
58	только в качестве	1	1
59	в свою очередь	2	1
60	и того же	1	1
61	то ни было	4	1
62	одного и того	1	1
63	во второй половине	2	1
64	в большинстве случаев	2	1
65	в том числе	1	1
66	тех или иных	1	1
67	в полной мере	1	1
68	культуры и в	1	1
69	к тому же	1	1
70	и тем более	1	1
