N	2gram	Medvedev_S_1	Problemy
1	и в	3	34
2	и не	1	29
3	как бы	2	27
4	что он	1	23
5	в его	3	22
6	может быть	2	19
7	не может	1	19
8	как и	1	18
9	в этом	5	16
10	и его	1	16
11	все это	7	16
12	прежде всего	1	15
13	то же	2	14
14	в то	1	12
15	же время	1	12
16	но и	2	12
17	в сущности	1	11
18	вовсе не	1	11
19	то что	2	11
20	не только	3	10
21	не в	3	9
22	никогда не	1	8
23	с ним	1	8
24	как будто	2	7
25	все же	1	7
26	что в	2	7
27	так и	1	6
28	только в	2	6
29	отношению к	2	6
30	в чем	1	5
31	по отношению	2	5
32	и наконец	1	5
33	что это	1	5
34	в целом	1	5
35	в конце	2	5
36	даже в	1	5
37	таким образом	2	5
38	и что	2	5
39	это не	1	5
40	всяком случае	1	5
41	мы должны	1	5
42	хотя бы	1	5
43	а в	1	5
44	во всяком	1	5
45	еще не	2	4
46	но не	1	4
47	но как	1	4
48	все эти	1	4
49	что все	1	4
50	в мире	1	4
51	его в	1	4
52	переходим к	1	4
53	ничего не	1	4
54	тотчас же	1	4
55	в виде	1	4
56	у него	1	4
57	с другой	1	4
58	тем что	1	4
59	бы он	1	4
60	а между	1	3
61	и как	1	3
62	он ни	1	3
63	в каждом	1	3
64	далеко не	2	3
65	в своей	1	3
66	в котором	1	3
67	по крайней	1	3
68	по себе	1	3
69	том что	2	3
70	для этого	1	3
71	между тем	1	3
72	крайней мере	1	3
73	наконец в	1	3
74	в него	1	3
75	в том	5	3
76	а с	1	3
77	это как	1	3
78	бы в	1	3
79	конце концов	2	3
80	я и	1	2
81	это и	2	2
82	столь же	1	2
83	за пределы	2	2
84	сама по	1	2
85	бы они	1	2
86	же не	1	2
87	те же	1	2
88	было бы	2	2
89	в них	1	2
90	тому что	1	2
91	тогда и	1	2
92	но только	1	2
93	отнюдь не	1	2
94	этого и	1	2
95	и должно	1	2
96	о том	1	2
97	и только	3	2
98	один из	1	2
99	конечно не	1	2
100	него и	1	2
101	выходит за	1	2
102	к которому	2	2
103	не было	1	2
104	их друг	1	2
105	вступает в	1	2
106	и потому	1	2
107	правда он	1	2
108	остается в	1	2
109	благодаря этому	1	2
110	в заключение	1	2
111	но именно	1	2
112	что эти	1	1
113	и цельного	1	1
114	так кто	1	1
115	благодаря тому	1	1
116	но она	1	1
117	не способен	1	1
118	сказать и	1	1
119	не исчерпываются	1	1
120	они ни	1	1
121	перед нами	1	1
122	в этой	1	1
123	но ведь	3	1
124	главным образом	2	1
125	же это	1	1
126	собой не	1	1
127	и заключается	2	1
128	и мы	2	1
129	со своими	1	1
130	их на	1	1
131	в этих	1	1
132	придется не	1	1
133	его построения	1	1
134	стало быть	1	1
135	и более	1	1
136	том и	1	1
137	ни были	1	1
138	в процессе	1	1
139	к изучению	1	1
140	мысли в	1	1
141	образом в	1	1
142	и по	1	1
143	связи с	1	1
144	вот в	1	1
145	когда мы	1	1
146	и о	1	1
147	ни одно	1	1
148	это вовсе	1	1
149	между собой	1	1
150	на все	1	1
151	тех кто	1	1
152	никак не	1	1
153	каждом своем	1	1
154	должно было	1	1
155	связь между	1	1
156	ними в	1	1
157	нельзя делая	1	1
158	всего не	1	1
159	с одной	1	1
160	или не	1	1
161	это неизбежно	1	1
162	ведь это	2	1
163	нет его	1	1
164	что на	1	1
165	еще и	1	1
166	мы еще	1	1
167	на этот	1	1
168	основной вопрос	1	1
169	в те	1	1
170	ни на	1	1
171	в строгом	1	1
172	в данном	1	1
173	его собственные	1	1
174	быть не	1	1
175	эти вопросы	1	1
176	только для	1	1
177	слова но	1	1
178	между ними	1	1
179	своих мыслей	1	1
180	из тех	1	1
181	на следующий	1	1
