N	2gram	Medvedev_V_1	VLabPisa
1	в этом	1	26
2	и в	2	25
3	хотя бы	1	20
4	и не	1	19
5	в том	2	13
6	все это	1	12
7	в частности	1	12
8	то же	1	9
9	к этому	1	9
10	том что	2	7
11	главным образом	1	6
12	и его	1	6
13	том же	1	6
14	в их	1	5
15	только в	1	5
16	в самом	1	4
17	и сводится	1	4
18	в значительной	1	3
19	в конце	2	3
20	сводится к	1	3
21	а значит	1	3
22	значит и	1	3
23	именно в	1	3
24	далеко не	1	3
25	по существу	1	3
26	в которых	1	3
27	говоря иначе	1	3
28	по поводу	1	3
29	в другом	1	2
30	конце концов	2	2
31	что образы	1	2
32	даже не	1	2
33	крайней мере	1	2
34	по крайней	1	2
35	другом месте	1	2
36	этом и	1	2
37	одном и	1	2
38	в книге	3	2
39	и том	1	2
40	и заключается	1	2
41	ни к	1	1
42	в сугубо	1	1
43	одно и	1	1
44	этому и	1	1
45	для них	1	1
46	в устах	1	1
47	в теории	1	1
48	самом деле	1	1
49	а только	1	1
50	все то	1	1
51	потому что	1	1
52	теснейшим образом	1	1
53	в шкловский	2	1
54	жизнь их	1	1
55	материалов и	1	1
56	сводится в	1	1
57	говоря о	1	1
58	и составляет	1	1
59	на одном	1	1
60	да и	1	1
61	как же	1	1
62	а отсюда	1	1
63	образы которые	1	1
64	бы уже	1	1
65	и то	1	1
66	но это	1	1
