N	2gram	Bakhtin_fo_1	Myslijsy
1	потому что	4	49
2	для нас	2	31
3	то есть	33	30
4	и в	50	24
5	может быть	11	23
6	то что	6	20
7	и не	14	19
8	в том	9	18
9	а не	3	18
10	что в	5	16
11	не только	9	15
12	по себе	2	15
13	того же	8	14
14	при этом	3	13
15	не в	5	13
16	было бы	2	13
17	то же	11	12
18	но не	5	12
19	мы можем	1	12
20	не может	6	12
21	мы не	3	11
22	таким образом	11	11
23	вместе с	3	11
24	если бы	5	11
25	что и	3	11
26	что мы	2	11
27	только в	4	11
28	как в	6	10
29	в себе	3	10
30	для него	2	10
31	и проч	4	10
32	тогда когда	2	10
33	так что	1	10
34	так как	6	10
35	независимо от	1	9
36	в нем	24	9
37	вовсе не	13	9
38	то и	1	9
39	но и	8	9
40	как бы	2	9
41	и на	8	8
42	а только	2	8
43	в этом	25	8
44	том что	4	8
45	в одно	3	8
46	могут быть	5	8
47	а в	3	8
48	в чем	2	7
49	во всех	6	7
50	с этим	6	7
51	как и	8	7
52	между собою	1	7
53	всяком случае	1	7
54	не могут	3	7
55	прежде всего	15	7
56	сами по	1	7
57	тем что	2	7
58	того что	2	7
59	во всяком	3	7
60	и т	8	6
61	между двумя	6	6
62	и как	10	6
63	и того	6	6
64	одного и	5	6
65	в то	9	6
66	не имеет	4	6
67	связи с	6	6
68	есть только	2	6
69	свою очередь	1	6
70	и только	1	6
71	в одном	3	6
72	с другой	2	6
73	не было	7	6
74	в ряду	1	6
75	этого слова	1	6
76	в свою	2	6
77	все же	6	5
78	уже в	2	5
79	бы не	1	5
80	на то	1	5
81	есть не	3	5
82	и уже	3	5
83	с ним	2	5
84	так и	12	5
85	о том	1	5
86	с другими	3	5
87	тот же	1	5
88	из них	1	5
89	в них	4	5
90	для того	5	5
91	что не	3	5
92	и их	8	5
93	или не	2	5
94	же в	3	5
95	в которой	2	5
96	к другому	2	4
97	в самом	8	4
98	время как	5	4
99	еще не	5	4
100	но в	10	4
101	уже не	2	4
102	из этих	1	4
103	как он	2	4
104	так сказать	7	4
105	главным образом	1	4
106	с тем	3	4
107	в котором	4	4
108	место в	2	4
109	сих пор	3	4
110	между прочим	1	4
111	они не	3	4
112	образом в	1	4
113	одна из	2	4
114	от их	1	4
115	должны быть	1	4
116	и сами	1	4
117	в некоторых	2	4
118	то время	4	4
119	так в	1	4
120	никогда не	2	4
121	что он	1	4
122	с одной	3	4
123	которые могут	1	4
124	в других	9	4
125	до сих	3	4
126	влияние на	4	4
127	там где	2	4
128	если не	1	4
129	что оно	1	4
130	от него	1	4
131	во время	1	4
132	себе не	1	4
133	в таком	3	4
134	например в	6	3
135	человека и	11	3
136	и то	4	3
137	на деле	1	3
138	тем же	1	3
139	той же	2	3
140	но она	2	3
141	не совсем	1	3
142	же что	2	3
143	хотя и	3	3
144	что это	1	3
145	в целом	2	3
146	с чем	1	3
147	о которой	1	3
148	не как	2	3
149	оно должно	1	3
150	в человеческой	1	3
151	человека в	17	3
152	могла бы	1	3
153	и может	2	3
154	них не	1	3
155	его в	3	3
156	это не	6	3
157	о которых	1	3
158	рядом с	2	3
159	далеко не	2	3
160	и тогда	1	3
161	в эту	1	3
162	в этих	3	3
163	и при	1	3
164	в ней	4	3
165	которых мы	1	3
166	в каком	2	3
167	оно не	2	3
168	если мы	2	3
169	те же	2	3
170	в словах	1	3
171	и вообще	2	3
172	находится в	1	3
173	от них	1	3
174	и во	7	3
175	которое мы	1	3
176	и у	5	3
177	одно из	3	3
178	т п	8	3
179	входят в	1	3
180	они с	2	3
181	это будет	1	3
182	на ней	1	3
183	одной стороны	2	3
184	в самой	2	3
185	мы говорим	1	3
186	смысле этого	1	3
187	слова и	2	3
188	к другим	1	3
189	и для	4	3
190	и от	1	3
191	и человек	1	3
192	и все	6	3
193	с ними	1	3
194	нет но	2	3
195	в движение	3	2
196	самом деле	1	2
197	и есть	1	2
198	не имеют	3	2
199	когда это	1	2
200	отношения к	3	2
201	вопрос о	2	2
202	без которой	1	2
203	с его	9	2
204	совсем не	2	2
205	они имеют	1	2
206	значение и	3	2
207	по отношению	3	2
208	сама по	1	2
209	что во	1	2
210	его на	2	2
211	могли бы	1	2
212	все эти	9	2
213	в нашем	2	2
214	и тот	1	2
215	но на	4	2
216	как оно	2	2
217	сказать в	1	2
218	время и	4	2
219	всех этих	5	2
220	поэтому оно	2	2
221	но вместе	1	2
222	и по	2	2
223	одно и	3	2
224	ни был	1	2
225	но все	5	2
226	такого же	1	2
227	в каждом	1	2
228	факт что	1	2
229	связанные с	1	2
230	в другом	1	2
231	вместе со	1	2
232	например с	1	2
233	нам по	1	2
234	в жизни	6	2
235	ни с	2	2
236	должно быть	1	2
237	не столько	1	2
238	на такие	1	2
239	мы находим	2	2
240	но он	2	2
241	с такою	1	2
242	их в	3	2
243	не должно	1	2
244	для нее	1	2
245	и его	16	2
246	сказать что	3	2
247	самого начала	2	2
248	определенности и	1	2
249	например что	1	2
250	того чтобы	5	2
251	же время	9	2
252	с нами	1	2
253	к ней	2	2
254	на природу	1	2
255	во всем	2	2
256	животных и	1	2
257	у нас	1	2
258	пространство и	1	2
259	когда мы	1	2
260	во все	2	2
261	его с	1	2
262	и это	4	2
263	действует на	1	2
264	что все	2	2
265	и образ	3	2
266	на другой	2	2
267	в себя	1	2
268	с самого	2	2
269	было в	1	2
270	можно бы	1	2
271	и здесь	1	2
272	слагаются в	2	2
273	и поэтому	1	2
274	внимание на	1	2
275	нас в	3	2
276	это было	1	2
277	связь между	2	2
278	которой мы	1	2
279	и следовательно	4	2
280	не зная	2	2
281	эти последние	1	2
282	один из	3	2
283	мы видим	3	2
284	во времени	3	2
285	есть в	2	2
286	с нею	1	2
287	и они	1	2
288	и других	3	2
289	о причинах	1	2
290	в пространстве	5	2
291	к первой	1	2
292	друг друга	3	2
293	у него	6	2
294	быть для	1	2
295	себя и	3	2
296	между ними	3	2
297	не на	1	2
298	и силы	1	2
299	в связи	5	2
300	так же	6	2
301	и потому	3	2
302	влияния на	2	2
303	она есть	1	2
304	быть только	3	2
305	все это	4	2
306	слова но	1	2
307	из себя	1	2
308	в его	13	2
309	или в	3	2
310	в данное	1	2
311	бы в	1	2
312	мы должны	2	2
313	касается до	1	2
314	хотя бы	2	2
315	имеет место	3	2
316	но эти	1	2
317	к этому	3	2
318	можно назвать	2	2
319	образ того	1	1
320	я и	1	1
321	ту же	2	1
322	одним из	1	1
323	отношение к	2	1
324	он произносит	1	1
325	он может	1	1
326	тех же	2	1
327	которого никто	1	1
328	они бегут	1	1
329	по которым	1	1
330	и до	5	1
331	и за	1	1
332	которыми он	2	1
333	мы уже	11	1
334	из всех	1	1
335	для своего	1	1
336	и само	1	1
337	пути или	1	1
338	единство и	1	1
339	эта форма	2	1
340	само слово	1	1
341	принадлежит к	2	1
342	указывает ему	1	1
343	как я	1	1
344	из того	1	1
345	они были	2	1
346	существенное значение	1	1
347	мы и	4	1
348	для нашей	1	1
349	для наших	1	1
350	в народных	1	1
351	всех сторон	1	1
352	и совсем	1	1
353	в отличие	2	1
354	не без	2	1
355	но конечно	2	1
356	в ее	6	1
357	друг к	2	1
358	могло быть	4	1
359	которые связаны	1	1
360	мы будем	2	1
361	но как	1	1
362	друг на	2	1
363	одном и	1	1
364	для других	4	1
365	и чужой	1	1
366	должны были	1	1
367	себе и	3	1
368	отличие от	2	1
369	значение имеет	1	1
370	человек может	1	1
371	в истории	2	1
372	для всех	2	1
373	стороны и	2	1
374	однако не	1	1
375	мы положим	1	1
376	перед нами	1	1
377	и наконец	1	1
378	никаких следов	2	1
379	другу и	1	1
380	имеет в	2	1
381	дальнейшем развитии	2	1
382	и свою	1	1
383	от этого	2	1
384	в этот	2	1
385	сливается с	1	1
386	бы и	1	1
387	в разнообразных	1	1
388	есть для	1	1
389	такое значение	1	1
390	только на	3	1
391	с их	2	1
392	нами в	1	1
393	человеке и	1	1
394	его и	2	1
395	пространстве но	1	1
