N	2gram	Nazirov_Vr_1	Sovremen
1	таким образом	2	8
2	в этом	8	5
3	не может	2	5
4	и наконец	1	4
5	как бы	4	4
6	в целом	1	3
7	мы получаем	1	3
8	в развитии	1	3
9	из двух	1	3
10	с помощью	1	3
11	такие же	1	2
12	как известно	1	2
13	это за	1	2
14	в одном	1	2
15	все же	6	2
16	и в	8	2
17	но в	6	2
18	же это	1	2
19	что же	1	2
20	на этот	1	2
21	все это	4	2
22	по мнению	2	2
23	и все	7	2
24	прежде всего	1	2
25	не только	9	2
26	точки зрения	2	2
27	то же	5	2
28	некоторое время	1	2
29	из которых	1	2
30	помощью которых	1	2
31	при этом	4	2
32	уже на	1	1
33	и не	5	1
34	совпадают с	1	1
35	в процессе	1	1
36	и из	1	1
37	это и	1	1
38	он не	3	1
39	этот раз	1	1
40	еще раз	1	1
41	роль в	1	1
42	он ставит	1	1
43	их в	2	1
44	а в	2	1
45	представление о	1	1
46	в то	5	1
47	по его	1	1
48	в своих	4	1
49	что уже	1	1
50	как он	1	1
51	но они	1	1
52	этот процесс	1	1
53	свою очередь	1	1
54	за шагом	1	1
55	с другой	1	1
56	и т.п	2	1
57	как и	6	1
58	еще не	2	1
59	независимо от	1	1
60	шаг за	1	1
61	жизни и	1	1
62	еще более	1	1
63	о том	4	1
64	пока не	1	1
65	того же	1	1
66	через несколько	1	1
67	один из	1	1
68	его с	2	1
69	это как	1	1
70	с тою	1	1
71	же в	2	1
72	ничего не	1	1
73	в миниатюре	1	1
74	же время	5	1
75	так же	4	1
76	для нас	4	1
77	и у	3	1
78	что в	7	1
79	ясно что	1	1
80	на это	2	1
81	на них	1	1
82	той же	1	1
83	может быть	4	1
84	все равно	1	1
85	которых он	1	1
86	свое первое	1	1
87	в том	3	1
88	не будем	1	1
89	и т.д	1	1
90	это не	4	1
91	уже в	4	1
92	в себе	2	1
93	больших и	1	1
94	одна из	2	1
95	и даже	6	1
96	и от	1	1
97	в этой	2	1
98	но это	2	1
99	у него	5	1
100	по преимуществу	1	1
101	что это	1	1
102	же как	2	1
103	в нем	6	1
104	чтобы он	3	1
105	общим характером	1	1
106	дает нам	1	1
107	что эта	1	1
108	идет о	1	1
109	в конце	3	1
110	себе очень	1	1
111	они не	1	1
112	в свою	2	1
113	том что	3	1
114	в своем	3	1
