N	3gram	Losev_Vesc_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	3	5
3	в зависимости от	1	4
4	не может быть	6	4
5	не может не	1	3
6	мы видели что	1	3
7	тем не менее	3	2
8	друг с другом	1	2
9	во всяком случае	2	2
10	в свою очередь	4	2
11	то же самое	1	2
12	в результате мы	1	1
13	точки зрения и	1	1
14	и для ее	2	1
15	что иное как	7	1
16	и есть то	2	1
17	одной стороны и	1	1
18	по крайней мере	4	1
19	и есть не	2	1
20	в одном случае	1	1
21	не в том	1	1
22	оно может быть	1	1
23	и пр но	1	1
24	хотя и эта	1	1
25	дело в том	2	1
26	равно как и	2	1
27	как и во	1	1
28	в данной области	1	1
29	в новое время	1	1
30	когда мы говорим	1	1
31	так же как	1	1
32	в свое время	2	1
33	и еще более	1	1
34	до сих пор	1	1
35	и во всех	1	1
36	принципиально не может	1	1
37	тот или иной	1	1
38	только одна из	1	1
39	сами по себе	3	1
40	есть не что	5	1
41	что в ней	1	1
42	бы то ни	4	1
43	такие-то и такие-то	1	1
44	мы не знаем	1	1
45	возможность и для	1	1
46	это значит что	19	1
47	что необходимо для	1	1
48	значит что она	3	1
49	можно было бы	1	1
50	в самом деле	4	1
51	к одному и	1	1
52	и ничего не	1	1
53	может быть только	3	1
54	по самому своему	1	1
55	и что она	1	1
56	в то же	1	1
57	как и вся	1	1
58	мы видим что	1	1
59	не что иное	7	1
60	и эта сторона	1	1
61	в себе в	2	1
62	в том что	4	1
63	и во всей	1	1
64	в данном случае	2	1
65	на этой стадии	1	1
66	может не быть	1	1
67	можем ли мы	1	1
68	она не может	2	1
69	то ни было	4	1
70	с одной стороны	3	1
